timestamp,time_estimate,safe_time_estimate,valid
207832000,8.111798,108.92298,1
208840000,7.2270613,107.94977,1
209848000,6.361079,106.997185,1
210856000,5.153777,105.66916,1
211864000,4.240563,104.66462,1
212872000,6.4879947,107.136795,1
213880000,2.6189494,102.880844,1
214888000,3.7012377,104.071365,1
215904000,7.3826942,108.120964,1
216912000,7.3418665,108.07605,1
217920000,6.7311177,107.40423,1
218928000,5.0048537,105.50534,1
219940000,4.6613445,105.12748,1
220948000,7.333001,108.0663,1
221972000,0.03706564,100.04077,1
