timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
19512000,19432000,1311004,-0.0013865762,-0.0060133333,0.0006198374,0.34906584,2.9928265e-07,2.9805423e-07,1.6515018e-05,1311004,-0.010605376,0.010963059,-0.12098138,0.4,0.0047844034,0.0047857077,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
20312000,20232000,1311004,-0.0013889824,-0.006012429,0.00059802254,0.34906584,3.0348772e-07,3.0226352e-07,1.6447219e-05,1311004,-0.01119298,0.011018278,-0.119582884,0.4,0.004325465,0.004326593,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
20712000,20632000,1311004,-0.0013896989,-0.006013386,0.00060700485,0.34906584,3.057691e-07,3.045481e-07,1.639164e-05,1311004,-0.012276387,0.010951947,-0.119190685,0.4,0.004167755,0.004168844,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
21112000,21032000,1311004,-0.0013898953,-0.006014312,0.00059983274,0.34906584,3.082079e-07,3.0698962e-07,1.6334636e-05,1311004,-0.013323669,0.01023796,-0.1186774,0.4,0.0040481803,0.0040492467,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
21512000,21432000,1311004,-0.0013904652,-0.0060148197,0.0006044534,0.34906584,3.107827e-07,3.0956903e-07,1.6251093e-05,1311004,-0.013564719,0.010112319,-0.11713593,0.4,0.0039512417,0.003952292,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
21912000,21832000,1311004,-0.0013895222,-0.00601471,0.00059269636,0.34906584,3.134902e-07,3.1228882e-07,1.6169195e-05,1311004,-0.013651256,0.008742085,-0.11664758,0.4,0.0038666392,0.0038679468,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
22312000,22232000,1311004,-0.0013886429,-0.006015243,0.00062092027,0.34906584,3.1635946e-07,3.1517723e-07,1.605216e-05,1311004,-0.013811746,0.007829544,-0.11582595,0.4,0.0038061268,0.003807996,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
22712000,22632000,1311004,-0.0013892743,-0.0060148123,0.0005956611,0.34906584,3.19333e-07,3.1815864e-07,1.5940423e-05,1311004,-0.013948417,0.008525499,-0.114982575,0.4,0.0037616598,0.0037636748,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
23512000,23432000,1311004,-0.0013867957,-0.006014672,0.0005823212,0.34906584,3.2526418e-07,3.2410733e-07,1.5626378e-05,1311004,-0.013775551,0.009787901,-0.113713406,0.4,0.003705895,0.0037074606,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
23912000,23832000,1311004,-0.001382419,-0.0060135103,0.0005815593,0.34906584,3.2804147e-07,3.269697e-07,1.545453e-05,1311004,-0.014037252,0.010674537,-0.112930514,0.4,0.00368902,0.0036909627,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
24320000,24240000,1311004,-0.0013749633,-0.0060120276,0.00059416774,0.34906584,3.3058166e-07,3.297197e-07,1.5198924e-05,1311004,-0.01425948,0.011542929,-0.112477615,0.4,0.0036772715,0.0036800802,0.00078124576,197388,0.0,0.0,0.0,0.5,0.0025000002,0.0025000002,0.0025000002,1,0,1,0,1,0
24712000,24632000,1311004,-0.0013653211,-0.006007602,0.0006623283,0.34906584,3.324865e-07,3.3204682e-07,1.4902087e-05,1311004,-0.0147754485,0.012124415,-0.11160675,0.4,0.0036643753,0.003668835,0.00078124576,197388,-0.00045128455,6.982742e-05,0.0008615907,0.5,0.0012682199,0.0016679269,0.0016664866,1,0,1,0,1,0
24776000,24696000,1311004,-0.0013651008,-0.0060071764,0.0006712796,0.34906584,3.329743e-07,3.325378e-07,1.4893239e-05,1311004,-0.014652884,0.012113716,-0.11161368,0.4,0.0036626386,0.00366791,0.0007812477,197388,0.0013849296,0.00013777074,-3.2266544e-05,0.5,0.0008655841,0.0015018095,0.0014996969,1,0,1,0,1,0
24920000,24840000,1311004,-0.0013651715,-0.0060074055,0.0006666675,0.34906584,3.3410709e-07,3.336709e-07,1.4886247e-05,1311004,-0.014711462,0.01210829,-0.111560754,0.4,0.003661265,0.003667292,0.00078124576,197388,0.000479596,0.0003237724,-0.0007590515,0.5,0.0005463182,0.001391118,0.0013884784,1,0,1,0,1,0
25208000,25128000,1311004,-0.0013580973,-0.006002154,0.0007227998,0.34906584,3.3481257e-07,3.349787e-07,1.476573e-05,1311004,-0.015151327,0.012375668,-0.11081893,0.4,0.0036553382,0.0036630402,0.00078124576,197388,-0.00079176336,0.00061386253,-0.0001792739,0.5,0.00033302166,0.0013257442,0.0013228761,1,0,1,0,1,0
25760000,25680000,1311004,-0.0013507562,-0.0059894854,0.0008342392,0.34906584,3.3702153e-07,3.379949e-07,1.4656552e-05,1311004,-0.015639318,0.012519629,-0.10990514,0.4,0.003651899,0.0036606942,0.00078124576,197388,-0.001196651,0.00037855006,0.0002997012,0.5,0.00021589154,0.0012842314,0.0012814088,1,0,1,0,1,0
25936000,25856000,1311004,-0.0013468188,-0.0059768665,0.00090989104,0.34906584,3.355683e-07,3.374125e-07,1.4591974e-05,1311004,-0.015833734,0.012596805,-0.10891949,0.4,0.0036502704,0.0036594633,0.00078124576,197388,-0.0010148986,-0.00042847905,0.00031417265,0.5,0.0001908917,0.00126497,0.0012622358,1,0,1,0,1,0
26536000,26456000,1311004,-0.0013545566,-0.005964551,0.0009285283,0.34906584,3.3672063e-07,3.392558e-07,1.4564128e-05,1311004,-0.01597481,0.012657493,-0.10791341,0.4,0.003649149,0.0036580656,0.00078124576,197388,-0.0016218084,-0.00073463545,0.0005839234,0.5,0.00015355338,0.0011706417,0.0011681437,1,0,1,0,1,0
26712000,26632000,1311004,-0.0013659155,-0.0059533515,0.00091259205,0.34906584,3.337368e-07,3.363198e-07,1.4551325e-05,1311004,-0.015990807,0.012886972,-0.106149845,0.4,0.0036484683,0.0036569189,0.00078124576,197388,-0.0019815038,-0.0009859126,0.0008722821,0.5,0.00014733573,0.001135825,0.0011334788,1,0,1,0,1,0
27112000,27032000,1311004,-0.0013856926,-0.005940446,0.0008731616,0.34906584,3.316164e-07,3.3338378e-07,1.4442735e-05,1311004,-0.015932271,0.013225579,-0.10424136,0.4,0.0036474604,0.0036547752,0.00078124576,197388,-0.0021107872,-0.00056332676,0.0008886649,0.5,0.00013408384,0.0010205888,0.0010188177,1,0,1,0,1,0
27512000,27432000,1311004,-0.0014006925,-0.0059355814,0.00084642833,0.34906584,3.2857534e-07,3.287748e-07,1.4172771e-05,1311004,-0.015912427,0.013546345,-0.10284917,0.4,0.003646043,0.0036519554,0.00078124576,197388,-0.0021991804,-0.00040123536,0.0009300633,0.5,0.00012497089,0.0009134079,0.00091231795,1,0,1,0,1,0
27912000,27832000,1311004,-0.0014173086,-0.0059391567,0.0008579602,0.34906584,3.2465292e-07,3.2318988e-07,1.37610405e-05,1311004,-0.016002228,0.0139034465,-0.10162234,0.4,0.0036442084,0.0036486157,0.00078124576,197388,-0.0024107588,0.00013656402,0.00066038105,0.5,0.00011889976,0.00084371964,0.00084314146,1,0,1,0,1,0
28312000,28232000,1311004,-0.0014257968,-0.0059421244,0.0008659206,0.34906584,3.1987614e-07,3.1745506e-07,1.3275533e-05,1311004,-0.016080044,0.014135331,-0.10056164,0.4,0.0036418757,0.0036445768,0.00078124576,197388,-0.002552434,7.7751414e-05,0.0012242324,0.5,0.000113087044,0.0007914858,0.0007914089,1,0,1,0,1,0
28712000,28632000,1311004,-0.0014221063,-0.0059424173,0.0008887916,0.34906584,3.1440672e-07,3.1203734e-07,1.2863896e-05,1311004,-0.016066238,0.014075126,-0.09892611,0.4,0.0036390892,0.0036400487,0.00078124576,197388,-0.0024835886,0.00044495062,0.0013023178,0.5,0.000109138105,0.0007720496,0.00077220955,1,0,1,0,1,0
