timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
29288000,29284000,0.69420826,0.004950868,-0.013322743,0.7196339,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
29788000,29784000,0.69304186,0.04211673,0.023374321,0.7192863,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
30288000,30284000,0.6908361,0.068102986,0.049745906,0.7180758,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
30788000,30784000,0.68990684,0.07725249,0.061425142,0.71713847,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
31288000,31284000,0.6910719,0.068826,0.056916315,0.71724695,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
31788000,31784000,0.6929808,0.042708013,0.03443371,0.71886575,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
32288000,32284000,0.69413126,0.0052868216,-0.0004707296,0.71982896,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
32788000,32784000,0.69308966,-0.03259753,-0.03875016,0.7190706,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
33288000,33284000,0.6907063,-0.06142329,-0.06950833,0.7171614,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
33788000,33784000,0.6890731,-0.0758985,-0.085768886,0.71558464,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
34288000,34284000,0.6894683,-0.07404388,-0.08386807,0.7156236,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
34788000,34784000,0.69173133,-0.05322594,-0.06495617,0.7172556,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
35288000,35284000,0.69381213,-0.017508168,-0.0328519,0.7191933,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
35788000,35784000,0.6936884,0.021818353,0.006009693,0.7199196,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
36288000,36284000,0.6922831,0.05456718,0.03725496,0.71859485,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
36788000,36784000,0.6903361,0.07409601,0.056614272,0.7174543,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
37288000,37284000,0.68982834,0.0769992,0.06045379,0.7173237,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
37788000,37784000,0.6914917,0.0620784,0.047014643,0.7181749,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
38288000,38284000,0.69342595,0.029860206,0.01922586,0.7196521,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
38788000,38784000,0.6939537,-0.008149224,-0.018106477,0.7197458,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
39288000,39284000,0.6924997,-0.043543335,-0.053443816,0.71811694,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
39788000,39784000,0.6905507,-0.067712605,-0.07751564,0.71592325,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
40288000,40284000,0.689529,-0.07590123,-0.085055046,0.71523035,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
40788000,40788000,0.69054896,-0.0662438,-0.076504566,0.7161711,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
41288000,41288000,0.6927445,-0.038927685,-0.050767865,0.71834,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
41788000,41788000,0.6941328,-0.00050179235,-0.015038217,0.7196897,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
42288000,42288000,0.693193,0.03843384,0.021158747,0.7194155,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
42788000,42788000,0.69096905,0.066693425,0.04929157,0.7181115,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
43288000,43288000,0.6896017,0.07892414,0.061565384,0.7172379,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
43788000,43788000,0.6898479,0.07442772,0.05747185,0.7178213,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
44288000,44288000,0.6917919,0.051597066,0.035836272,0.71935916,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
44788000,44788000,0.69347817,0.016410798,0.0019915577,0.720288,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
45288000,45288000,0.69350123,-0.022738235,-0.035930738,0.7191996,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
45788000,45788000,0.69182956,-0.055416655,-0.06620476,0.7168806,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
46288000,46288000,0.6902019,-0.07329535,-0.08263406,0.71513695,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
46788000,46788000,0.6900138,-0.07401654,-0.0830543,0.7151955,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
47288000,47288000,0.69187903,-0.05518221,-0.06585524,0.7168831,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
47788000,47788000,0.6937212,-0.021692928,-0.03532318,0.7190498,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
48288000,48288000,0.69386625,0.019117055,0.0036128068,0.71984106,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
48788000,48788000,0.6921433,0.05279352,0.036415882,0.718905,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
49288000,49288000,0.690099,0.07392413,0.057754014,0.7176093,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
49788000,49788000,0.6894745,0.07881357,0.062673785,0.71727633,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
50288000,50288000,0.69065475,0.066379845,0.050454818,0.71836215,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
50788000,50788000,0.6925403,0.037904922,0.022830078,0.72002083,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
51288000,51288000,0.6936823,-0.00015996792,-0.014446373,0.7201362,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
51788000,51788000,0.69283724,-0.037615817,-0.05010774,0.7183668,0.99999994,3.7252903e-09,2.9831426e-10,-0.0003220141,3
