timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
26016000,11904000,3,1311004,6620172,1311004,197388,0.029636243,0.030619618,0.03147475,nan,nan,nan,nan,nan,nan,1.0,0.5222325,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
27024000,11904000,3,1311004,6620172,1311004,197388,0.03214349,0.032417897,0.032601625,nan,nan,nan,nan,nan,nan,1.0,0.52587277,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
28032000,11904000,3,1311004,6620172,1311004,197388,0.020088116,0.022936547,0.022426462,nan,nan,nan,nan,nan,nan,1.0,0.5340343,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
29040000,11904000,3,1311004,6620172,1311004,197388,0.02516045,0.025943374,0.026015181,nan,nan,nan,nan,nan,nan,1.0,0.5513776,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
30048000,11904000,3,1311004,6620172,1311004,197388,0.023533063,0.024275372,0.024335744,nan,nan,nan,nan,nan,nan,1.0,0.5513776,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
31056000,11904000,3,1311004,6620172,1311004,197388,0.02366932,0.03023025,0.030367645,nan,nan,nan,nan,nan,nan,1.0,0.5513776,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
32064000,11904000,3,1311004,6620172,1311004,197388,0.03310611,0.039423417,0.039080333,nan,nan,nan,nan,nan,nan,1.0,0.57157844,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
33072000,11904000,3,1311004,6620172,1311004,197388,0.035684083,0.035484202,0.035177495,nan,nan,nan,nan,nan,nan,1.0,0.61514926,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
34080000,11904000,3,1311004,6620172,1311004,197388,0.025861109,0.026118534,0.025504876,nan,nan,nan,nan,nan,nan,1.0,0.69146305,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
35088000,11904000,3,1311004,6620172,1311004,197388,0.011762877,0.011830291,0.011762816,nan,nan,nan,nan,nan,nan,1.0,0.76252276,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
36096000,11904000,3,1311004,6620172,1311004,197388,0.010137291,0.012160548,0.012814,nan,nan,nan,nan,nan,nan,1.0,0.78215736,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
37104000,11904000,3,1311004,6620172,1311004,197388,0.013338526,0.019100972,0.018752001,nan,nan,nan,nan,nan,nan,1.0,0.7996066,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
38112000,11904000,3,1311004,6620172,1311004,197388,0.026726043,0.03157619,0.03103696,nan,nan,nan,nan,nan,nan,1.0,0.8419809,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
39120000,11904000,3,1311004,6620172,1311004,197388,0.031512164,0.032376602,0.032199986,nan,nan,nan,nan,nan,nan,1.0,0.88945246,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
40128000,11904000,3,1311004,6620172,1311004,197388,0.029277967,0.030127987,0.029936997,nan,nan,nan,nan,nan,nan,1.0,0.93706334,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
41136000,11904000,3,1311004,6620172,1311004,197388,0.03104379,0.030107904,0.029896598,nan,nan,nan,nan,nan,nan,1.0,0.96219075,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
42144000,11904000,3,1311004,6620172,1311004,197388,0.020927502,0.02294763,0.023521338,nan,nan,nan,nan,nan,nan,1.0,0.98293436,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
43152000,11904000,3,1311004,6620172,1311004,197388,0.022078717,0.025550276,0.026038721,nan,nan,nan,nan,nan,nan,1.0,0.98626924,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
44160000,11904000,3,1311004,6620172,1311004,197388,0.026098566,0.027356684,0.02730882,nan,nan,nan,nan,nan,nan,1.0,0.988392,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
45168000,11904000,3,1311004,6620172,1311004,197388,0.02443126,0.022447681,0.02205574,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
46176000,11904000,3,1311004,6620172,1311004,197388,0.03254362,0.032570288,0.032382585,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
47184000,11904000,3,1311004,6620172,1311004,197388,0.023175173,0.023062754,0.022687834,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
48192000,11904000,3,1311004,6620172,1311004,197388,0.028376525,0.029318001,0.029682407,nan,nan,nan,nan,nan,nan,1.0,1.0,0.0,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,2,3,1,1,1,0,0,0,0,0,0,0,0
