timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping,accel_calibration_count,gyro_calibration_count
8824000,-0.00061439973,-0.0060780663,0.0021558912,4000,0,-0.21538472,0.1723245,-9.928681,4000,0,0,0
8828000,-0.00217106,-0.005249234,-5.1216895e-05,4000,0,-0.21926595,0.1736988,-9.958401,4000,0,0,0
8836000,-0.0014216678,-0.008625997,-0.0025668268,4000,0,-0.19071814,0.16773957,-9.936815,4000,0,0,0
8844000,-0.0009301927,-0.007843256,-0.00083234604,4000,0,-0.18854949,0.15674873,-9.930955,4000,0,0,0
8848000,-0.000112936366,-0.00860418,0.0006429134,4000,0,-0.21349454,0.16791382,-9.889843,4000,0,0,0
8856000,0.0021126124,-0.0035721094,-0.00046441547,4000,0,-0.16496973,0.13945869,-9.94766,4000,0,0,0
8860000,0.0025184094,-0.0071174614,-0.0021671045,4000,0,-0.18488342,0.12945363,-9.91707,4000,0,0,0
8864000,-0.0012912177,-0.008443089,-0.0036483486,4000,0,-0.20890403,0.15821159,-9.916891,4000,0,0,0
8872000,0.00115796,-0.0075545283,0.002780876,4000,0,-0.16966918,0.16340403,-9.9218,4000,0,0,0
8876000,0.0010837301,-0.0047455234,0.00067309884,4000,0,-0.20207252,0.16801545,-9.91887,4000,0,0,0
8880000,-0.0012695773,-0.00431037,-0.0016508467,4000,0,-0.22374867,0.17534812,-9.9501295,4000,0,0,0
8884000,-0.0037237632,-0.005719639,-0.0021073823,4000,0,-0.21132746,0.16298199,-9.954439,4000,0,0,0
8892000,-0.0009231068,-0.006183178,-0.0012636532,4000,0,-0.20893136,0.1429296,-9.93347,4000,0,0,0
8900000,-0.0021880344,-0.009344819,-0.0007002126,4000,0,-0.1838761,0.15700975,-9.888549,4000,0,0,0
8908000,-0.0025979795,-0.00748665,0.00040233554,4000,0,-0.18923417,0.19988069,-9.932432,4000,0,0,0
8916000,-0.0012979599,-0.005727993,-0.0027634788,4000,0,-0.22118467,0.15571335,-9.95763,4000,0,0,0
8924000,0.0013132521,-0.009590714,-0.00056372845,4000,0,-0.16989638,0.16572633,-9.892405,4000,0,0,0
8928000,0.00065329275,-0.005659908,-0.003541058,4000,0,-0.18034646,0.1470393,-9.913971,4000,0,0,0
8932000,0.00029124305,-0.0066484283,-0.0022446113,4000,0,-0.19383529,0.16339543,-9.928957,4000,0,0,0
8936000,0.0004748165,-0.007550802,-0.00013641373,4000,0,-0.21990249,0.17394838,-9.919269,4000,0,0,0
8940000,-0.0012938613,-0.0041643023,0.0005617622,4000,0,-0.21293485,0.18107957,-9.940771,4000,0,0,0
8948000,0.00042021894,-0.0073634917,0.0017077393,4000,0,-0.1919696,0.1480526,-9.989109,4000,0,0,0
8952000,0.0015470843,-0.0066811447,0.0017340853,4000,0,-0.20021138,0.14681466,-9.9596815,4000,0,0,0
8956000,-0.0014458768,-0.0037195713,-0.001399981,4000,0,-0.1781274,0.17915486,-9.917904,4000,0,0,0
8964000,-0.0018895777,-0.008283297,-0.00047815195,4000,0,-0.21966618,0.17739816,-9.929865,4000,0,0,0
8968000,-0.0034609833,-0.0075571397,0.0037465068,4000,0,-0.22338021,0.14939635,-9.949223,4000,0,0,0
8976000,-0.0009161269,-0.004814323,-0.004569959,4000,0,-0.16413796,0.152789,-9.948744,4000,0,0,0
8980000,0.0005296047,-0.0057502813,0.0022584624,4000,0,-0.17597103,0.16459537,-9.939842,4000,0,0,0
8988000,-0.0033059635,-0.010146037,0.0005812903,4000,0,-0.1873276,0.14988983,-9.906642,4000,0,0,0
8992000,-0.0013619098,-0.008393599,0.00013772362,4000,0,-0.19775553,0.15620174,-9.903779,4000,0,0,0
8996000,-0.0016387608,-0.0066024996,-0.0034886017,4000,0,-0.18817663,0.13655236,-9.916239,4000,0,0,0
9000000,-0.00050890335,-0.0026706518,-0.0009383489,4000,0,-0.15866432,0.121785074,-9.939852,4000,0,0,0
9008000,-0.003458361,-0.009192952,-0.0023361852,4000,0,-0.19697621,0.13842279,-9.942316,4000,0,0,0
9012000,-0.004712,-0.01015816,0.00016607951,4000,0,-0.20016809,0.17629568,-9.956301,4000,0,0,0
9016000,0.000576791,-0.006615041,-0.0005026709,4000,0,-0.20423907,0.17844181,-9.898342,4000,0,0,0
9020000,0.0010342377,-0.006690359,-0.00059243635,4000,0,-0.21896538,0.1537908,-9.901353,4000,0,0,0
9028000,0.0031766053,-0.0013145305,0.0005713007,4000,0,-0.2036407,0.1670477,-9.894638,4000,0,0,0
9032000,0.0024867388,-0.00010716439,0.0017371827,4000,0,-0.23822822,0.16499384,-9.913283,4000,0,0,0
9036000,-0.0037198984,-0.00388631,0.00047453874,4000,0,-0.21225494,0.16726834,-9.980172,4000,0,0,0
9044000,-0.0030700208,-0.00991342,-0.0012130286,4000,0,-0.1922799,0.1760419,-9.9096985,4000,0,0,0
9048000,-0.0012297601,-0.009409819,-7.356103e-05,4000,0,-0.1953542,0.15229142,-9.945365,4000,0,0,0
9056000,-0.0033341164,-0.008711156,0.0038446297,4000,0,-0.16717786,0.1649542,-9.937925,4000,0,0,0
