timestamp,load,ram_usage
8504000,0.13725491,0.19512084
9004000,0.15686275,0.19511789
9504000,0.14,0.19512232
10004000,0.16,0.19511174
10504000,0.18,0.19510867
11004000,0.14,0.19510756
11504000,0.15384616,0.19510289
12004000,0.14285715,0.19509932
12504000,0.15686275,0.19508198
13004000,0.1632653,0.1950799
13504000,0.16,0.19508186
14004000,0.15686275,0.19507879
14504000,0.12244898,0.19505936
15004000,0.15686275,0.19514506
15504000,0.15686275,0.19514321
16004000,0.1632653,0.1951415
16504000,0.13461539,0.19513805
17004000,0.16666667,0.19512796
17504000,0.14,0.19513042
18004000,0.15384616,0.19512723
18504000,0.16,0.19512354
19004000,0.14,0.19512157
19504000,0.15686275,0.19508395
20004000,0.14285715,0.19506685
20504000,0.1632653,0.19505346
21004000,0.1764706,0.19505297
21504000,0.16,0.19504608
22004000,0.16,0.19503243
22508000,0.14,0.19502948
23004000,0.18,0.19502763
23504000,0.16,0.19502161
24004000,0.15686275,0.19502002
24504000,0.13725491,0.1949835
25004000,0.18,0.19497956
25504000,0.14285715,0.1949824
26004000,0.1764706,0.1949872
26504000,0.18,0.19512267
27004000,0.1632653,0.19563279
27504000,0.18,0.19563451
28004000,0.1764706,0.19563943
28504000,0.16,0.19564742
29004000,0.15686275,0.19564472
29504000,0.18367347,0.19563538
30004000,0.14,0.19563906
30504000,0.18,0.1956398
31004000,0.15686275,0.19505247
31504000,0.15686275,0.19504313
32004000,0.18,0.19505568
32504000,0.15686275,0.19505948
33004000,0.13725491,0.19506367
33504000,0.18,0.19506022
34004000,0.1632653,0.19506046
34504000,0.16,0.19423708
35004000,0.15686275,0.19416368
35504000,0.18,0.19416663
36004000,0.1764706,0.19416443
36504000,0.14583333,0.19415852
37004000,0.15686275,0.19414525
37504000,0.16,0.194145
38004000,0.16,0.1941434
38504000,0.16,0.19413823
39004000,0.15686275,0.19412717
39504000,0.1632653,0.19413085
40004000,0.1764706,0.19412778
40504000,0.18,0.19412263
41004000,0.15686275,0.19411954
41504000,0.18,0.19409324
42004000,0.14285715,0.19410627
42504000,0.18,0.19410233
43004000,0.14285715,0.19410013
43504000,0.1764706,0.1941032
44004000,0.15384616,0.19407898
44504000,0.16,0.19408205
45004000,0.1632653,0.19408758
45504000,0.1632653,0.19409016
46004000,0.15686275,0.19408685
46504000,0.16,0.19407369
47004000,0.17307693,0.1940711
47504000,0.1632653,0.19407369
48004000,0.16,0.19407147
48504000,0.1632653,0.19406667
49004000,0.15384616,0.1940614
49504000,0.18,0.19405168
50004000,0.16,0.19404984
50504000,0.15686275,0.19405192
51004000,0.14285715,0.19405672
51504000,0.16,0.19402082
52004000,0.15686275,0.19401836
52504000,0.18367347,0.19401406
53004000,0.15686275,0.19401787
53504000,0.14285715,0.19399242
54004000,0.16,0.19400544
54504000,0.15384616,0.1939987
55004000,0.18367347,0.19400336
55504000,0.13725491,0.19399881
56004000,0.18367347,0.19397472
56504000,0.15686275,0.19397545
57004000,0.16,0.19398811
57504000,0.16666667,0.19398394
58004000,0.15384616,0.19398123
58504000,0.16,0.1939773
59004000,0.18,0.19397496
59504000,0.15686275,0.1939698
60004000,0.1764706,0.1939827
60504000,0.16666667,0.19397914
61004000,0.14,0.1939613
61504000,0.15384616,0.19396292
62004000,0.16,0.19397669
62504000,0.15686275,0.19397987
63004000,0.1632653,0.19396292
63504000,0.16,0.19396451
64004000,0.18,0.19396341
64504000,0.16,0.1939805
65004000,0.15686275,0.19398493
65504000,0.1764706,0.19399624
66004000,0.16,0.1939934
66504000,0.14285715,0.1939886
67004000,0.18,0.19398652
67504000,0.16,0.19399033
68004000,0.13461539,0.19398701
68504000,0.1632653,0.1939993
69004000,0.18,0.19399685
69504000,0.1632653,0.19399856
