timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
8824000,8824000,-0.088708706,-0.12505859,0.12945867
8828000,8828000,0.008813661,-0.16354105,0.23925799
8836000,8836000,0.03032248,-0.15513568,-0.1539559
8844000,8844000,0.06011159,-0.1894238,-0.008578863
8856000,8856000,0.16231307,0.24143314,0.07861603
8864000,8864000,0.0527947,-0.03546838,-0.2002183
8876000,8876000,0.028735615,0.038541198,0.26982284
8884000,8884000,-0.16627917,0.1661039,-0.12839293
8896000,8896000,0.057741717,-0.08951813,-0.0061397343
8904000,8904000,-0.082917355,-0.071120255,0.14886114
8916000,8916000,0.064166754,-0.032432042,-0.05091121
8924000,8924000,0.20370966,-0.097470626,-0.09975957
8936000,8936000,0.029776197,0.077976,0.005281118
8944000,8944000,-0.14607923,0.2006112,0.15569927
8956000,8956000,0.08315863,-0.008933243,0.04072916
8964000,8964000,-0.15845653,-0.11904709,-0.16288881
8976000,8976000,-0.017836496,-0.0028573324,-0.15251034
8980000,8980000,0.14813395,0.15830068,-0.14893696
8996000,8996000,-0.03737311,0.019735934,-0.1170375
9004000,9004000,0.14365168,0.42078072,-0.08159589
9016000,9016000,-0.13189001,-0.27340585,0.07853588
9024000,9024000,0.1907965,0.08569369,0.07886708
9036000,9036000,-0.0045435876,0.34178734,0.07861882
9044000,9044000,-0.36169928,-0.42092073,-0.17808147
9056000,9056000,0.09618821,-0.043904502,0.1624446
9064000,9064000,0.04214155,0.072390564,0.11717725
9076000,9076000,0.024727583,0.20964196,0.17027417
9084000,9084000,-0.13750413,0.06754608,0.115490735
9092000,9092000,0.32148916,-0.2997903,-0.32648766
9104000,9104000,-0.1912378,0.10105003,-0.07747998
9116000,9116000,0.05409143,-0.055811796,-0.111398086
9124000,9124000,-0.16269004,0.20657481,-0.31950372
9136000,9136000,-0.016132869,-0.026391406,0.18784979
9144000,9144000,-0.022705257,-0.39444497,0.0850825
9156000,9156000,0.0067660175,0.12690532,0.047798052
9164000,9164000,0.1360267,-0.10323492,0.0012008977
9176000,9176000,-0.1429678,0.23518822,0.13728133
9180000,9180000,-0.1656631,0.11264597,-0.19353192
9196000,9196000,-0.08299912,0.11129246,-0.019345395
9204000,9204000,0.16954301,0.15294644,0.15262279
9216000,9216000,-0.11974771,0.28382227,-0.12619738
9224000,9224000,-0.11476956,0.03410882,0.121752515
9236000,9236000,0.25984937,-0.11093925,-0.07893103
9244000,9244000,-0.19541046,-0.11617662,-0.20204407
9256000,9256000,0.09184384,0.00870589,-0.017881945
9264000,9264000,-0.261168,0.030416252,0.26770157
9276000,9276000,0.12721598,-0.028518723,-0.15134092
9284000,9284000,-0.062229596,-0.22270444,-0.088641696
9296000,9296000,0.13066626,0.13563684,0.13373134
9304000,9304000,0.12624286,0.05328413,-0.18162917
9316000,9316000,0.04588338,-0.00068268616,-0.1767829
9324000,9324000,-0.036041692,0.35819077,0.08875922
9336000,9336000,-0.23626764,-0.17104466,0.065962486
9344000,9344000,0.022877648,-0.0204214,-0.22825003
9356000,9356000,0.02037514,-0.10995956,0.20932242
9364000,9364000,-0.17733806,0.047718737,0.4236467
9372000,9372000,-0.180482,0.11095207,-0.11914021
9380000,9380000,0.08787353,-0.13905518,-0.18363436
9396000,9396000,-0.2551707,0.093384825,-0.10786781
9404000,9404000,0.24776262,-0.3232203,-0.07901339
9416000,9416000,-0.0139097795,-0.054504406,0.10683844
9424000,9424000,0.2222354,0.3259522,-0.26705152
9436000,9436000,-0.21240552,0.10804638,-0.01717619
9444000,9444000,-0.3690953,0.039450254,0.20643121
9456000,9456000,0.3730919,0.08299565,-0.027678402
9464000,9464000,0.1730245,-0.15268232,-0.17539848
9476000,9476000,-0.07601577,-0.34059483,0.18141165
9484000,9484000,0.005772056,0.23890832,0.12644938
9496000,9496000,-0.15525967,0.1292576,-0.036889408
9504000,9504000,0.3018152,-0.26854235,0.09546082
9516000,9516000,-0.031221524,0.03866521,-0.18539622
9524000,9524000,-0.00033045933,0.37285513,-0.3522955
9536000,9536000,-0.11527618,-0.15397115,-0.12617429
9544000,9544000,-0.014083914,-0.13785993,0.037303913
9556000,9556000,0.09419391,0.1602439,0.058836076
9564000,9564000,-0.20717852,-0.29086164,0.12835352
9572000,9572000,-0.0004868731,-0.15289083,0.06472666
9584000,9584000,-0.1830751,0.17652062,0.21736717
9596000,9596000,0.09342652,-0.07754037,-0.17347226
9604000,9604000,0.21844235,-0.12860717,-0.31361088
9616000,9616000,-0.13322964,0.15451263,0.37471992
9624000,9624000,0.19969779,0.3667974,0.07182258
9632000,9632000,-0.03362368,-0.014466134,-0.1719475
9644000,9644000,-0.100207046,0.07900749,-0.06425693
9652000,9652000,-0.020647574,0.039746154,-0.19139752
9664000,9664000,-0.053287376,-0.10838788,0.24334332
9672000,9672000,-0.22439869,-0.006025082,-0.086995915
9684000,9684000,0.11292294,-0.13918291,-0.17148471
9696000,9696000,0.09344535,0.28259367,0.07328562
9704000,9704000,0.008216821,-0.04545371,-0.010643532
9716000,9716000,0.1226485,-0.17861645,0.12340605
9724000,9724000,-0.17619105,-0.10918754,0.10217915
9736000,9736000,-0.11088284,0.058439363,-0.13166088
9744000,9744000,0.06894822,-0.20024501,-0.07309815
9756000,9756000,0.0876289,0.11456125,0.14259924
9764000,9764000,-0.08491595,0.06078706,0.053446706
9776000,9776000,-0.06644911,0.1637854,0.124473415
9784000,9784000,0.058375824,-0.037910152,-0.16494551
9796000,9796000,0.051639214,-0.29000628,-0.046143558
9804000,9804000,0.24243575,0.38609248,-0.24222447
9816000,9816000,-0.023460016,-0.18640119,0.4217887
9824000,9824000,-0.2523675,-0.06794698,-0.08362029
9836000,9836000,-0.00030826405,-0.28736815,-0.04491331
9844000,9844000,-0.18963711,-0.14580742,-0.15603389
9856000,9856000,0.1498341,0.255898,0.09653627
9864000,9864000,-0.10491551,0.47889274,-0.13248865
9876000,9876000,0.08020769,-0.0624489,-0.18466347
9884000,9884000,-0.10145836,-0.09529853,0.106276244
9896000,9896000,-0.0167128,0.021529157,0.16092113
9904000,9904000,-0.25390387,-0.013269832,-0.100931615
9916000,9916000,0.10466471,0.0062000593,0.046732705
9924000,9924000,-0.22038661,0.0050983056,-0.275675
9936000,9936000,0.28466174,-0.008731092,0.1317258
9944000,9944000,-0.17566139,0.06931175,0.0822285
9956000,9956000,0.07296577,0.15356857,-0.022026595
9964000,9964000,-0.06250324,-0.07011464,-0.13329098
9976000,9976000,-0.020429831,-0.18565781,-0.03288629
9984000,9984000,0.25719553,-0.088579915,0.24548534
9996000,9996000,-0.1992706,0.124280885,-0.27941248
10004000,10004000,0.097318195,0.26162672,-0.2029961
10016000,10016000,0.058289737,-0.14381015,0.08776361
10024000,10024000,-0.22118722,0.124429755,0.010156044
10036000,10036000,0.05485747,-0.107801795,-0.23346645
10044000,10044000,-0.23472452,-0.01402939,0.3994335
10056000,10056000,0.21292931,-0.099397674,-0.09196318
10064000,10064000,0.11657961,-0.0014540253,-0.01471914
10076000,10076000,-0.007095146,0.041940942,0.019364204
10084000,10084000,-0.1232854,0.39021492,0.39585248
10092000,10092000,-0.15558332,0.13499019,-0.08762318
10104000,10104000,0.3188885,-0.25349408,-0.1093108
10116000,10116000,-0.006229192,-0.065730594,0.08543172
10120000,10120000,-0.13557856,-0.052661955,-0.0067487704
