timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
29320000,29240000,1.5690573,0.036151618,2.3307383,-0.23483565,1.2877069,1.5404427,1.7050482,-0.63753474,-2.529739,-0.2987901,-0.142869,-0.1552316,1.13908,-1.7056642,-0.56085056,-0.13938704,0.19329032,7.5280346e-05,7.5280346e-05,0.0044055595,0.81439656,0.18104738
30320000,30240000,1.5720013,0.034114346,2.2926095,-0.20726067,1.3089037,1.545385,1.6995258,-0.32464468,0.041901827,-0.45859292,-0.44564018,-0.4510693,-0.43338338,0.24885005,0.064795785,-0.07515041,-0.13358307,7.7347446e-05,8.069562e-05,0.003986744,0.81660277,0.1792524
31320000,31240000,1.567852,0.030440401,2.2354026,-0.09994592,1.3291895,1.5443865,1.6868771,0.1653158,1.7302423,-0.22512758,-0.25881732,-0.252936,-1.2574012,1.5234885,0.37176633,-0.05067894,-0.30490273,7.5701995e-05,7.5701995e-05,0.0037818374,0.82523507,0.17083174
32320000,32240000,1.558171,0.023735426,2.1074665,0.12560046,1.3720859,1.5412482,1.6552382,0.6241524,1.6205364,0.26859725,0.2724265,0.28928506,-1.0342638,1.5423441,0.21753252,-0.10047354,-0.29356465,7.5361124e-05,7.5361124e-05,0.0034470146,0.84237283,0.15402943
33320000,33240000,1.555239,0.023219002,2.0917766,0.15383287,1.3765429,1.5394346,1.6496814,0.6790051,0.4317118,0.46518368,0.51134723,0.53275234,-0.2535892,0.22327086,-0.08710185,-0.14469723,-0.16429643,8.002488e-05,8.002488e-05,0.0036150555,0.8470538,0.14917113
34320000,34240000,1.5629305,0.020817338,2.0621238,0.23302874,1.3961132,1.5477802,1.6489434,0.22468948,-1.5148084,0.21729982,0.30264688,0.3243767,0.6907606,-1.8424389,-0.5608282,-0.285762,-0.08340955,7.809529e-05,7.809529e-05,0.003231966,0.84151554,0.15509635
35320000,35240000,1.5743393,0.01807837,2.0155482,0.35194635,1.4259996,1.5604188,1.6486968,-0.14853954,-1.7373576,-0.13358438,-0.065763116,-0.05048704,0.67203313,-1.9595942,-0.53066754,-0.2629538,-0.07226363,7.45719e-05,7.45719e-05,0.0026538018,0.83495265,0.16224433
36320000,36240000,1.5835727,0.017200474,1.9980439,0.4016594,1.4430069,1.570023,1.6526798,-0.4214912,-0.71047664,-0.50764894,-0.48358738,-0.47395194,-0.11639873,-0.19357488,-0.16661578,-0.16183397,-0.15106143,7.897754e-05,7.897754e-05,0.002346904,0.82939154,0.16810359
37320000,37240000,1.5833176,0.016661854,1.9890717,0.4255578,1.4464426,1.5702701,1.6511611,-0.23743373,0.3325882,-0.41181874,-0.40805542,-0.39766687,-0.6982444,1.1984882,0.06519503,-0.11819106,-0.23271343,7.7505254e-05,7.7505254e-05,0.002371343,0.8319808,0.16549285
38320000,38240000,1.574236,0.014301209,1.9327403,0.5470973,1.4564701,1.5636235,1.6342759,0.2786417,0.9691726,0.092397094,0.09349477,0.1046139,-0.85539967,1.5778891,0.0917649,-0.13006543,-0.2728211,7.3075375e-05,7.3075375e-05,0.0024470452,0.8429204,0.15448645
