timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
8824000,0.10980504,0.12716883,0.00043475628,0.0,0.0,-0.001
8828000,0.109841414,0.12715855,0.0004606247,0.0,0.0,-0.001
8844000,0.10985982,0.12739806,0.00046896935,0.0,0.0,-0.001
8864000,0.10963775,0.12752308,0.0005198717,0.0,0.0,-0.001
8880000,0.109549,0.127536,0.0004940033,0.0,0.0,-0.001
8900000,0.109668255,0.12771246,0.00048065186,0.0,0.0,-0.001
8924000,0.1096552,0.12798946,0.00047898293,0.0,0.0,-0.001
8940000,0.10944262,0.12803197,0.00046813488,0.0,0.0,-0.001
8964000,0.109273344,0.12813371,0.00048732758,0.0,0.0,-0.001
8980000,0.10922852,0.12824568,0.00045603514,0.0,0.0,-0.001
9000000,0.1091714,0.12852144,0.0005482435,0.0,0.0,-0.001
9020000,0.10904628,0.12872435,0.00040012598,0.0,0.0,-0.001
9044000,0.10890329,0.12859026,0.00040137768,0.0,0.0,-0.001
9060000,0.10889532,0.12887593,0.00035881996,0.0,0.0,-0.001
9084000,0.10874125,0.12871206,0.0003542304,0.0,0.0,-0.001
9100000,0.10845959,0.12885271,0.00041139126,0.0,0.0,-0.001
9124000,0.108366914,0.12886018,0.000459373,0.0,0.0,-0.001
9144000,0.108182155,0.1289008,0.0004005432,0.0,0.0,-0.001
9164000,0.10805779,0.1292062,0.0004259944,0.0,0.0,-0.001
9180000,0.10809556,0.12929536,0.00047147274,0.0,0.0,-0.001
9204000,0.10819216,0.12943453,0.00044435263,0.0,0.0,-0.001
9220000,0.108460635,0.12906691,0.00046646595,0.0,0.0,-0.001
9240000,0.10843997,0.1288968,0.00046730042,0.0,0.0,-0.001
9260000,0.10845953,0.12887123,0.00046145916,0.0,0.0,-0.001
9284000,0.1086029,0.12879814,0.0004852414,0.0,0.0,-0.001
9300000,0.10854943,0.12876308,0.00049859285,0.0,0.0,-0.001
9324000,0.108204134,0.12862575,0.0005645156,0.0,0.0,-0.001
9344000,0.10838569,0.1285179,0.0007389188,0.0,0.0,-0.001
9364000,0.10850097,0.12847045,0.0005111098,0.0,0.0,-0.001
9380000,0.108777165,0.1284419,0.00058454275,0.0,0.0,-0.001
9404000,0.109147884,0.12845658,0.0005532503,0.0,0.0,-0.001
9420000,0.10924983,0.12865704,0.0005941391,0.0,0.0,-0.001
9444000,0.10964631,0.12842071,0.000513196,0.0,0.0,-0.001
9460000,0.10966977,0.12819085,0.0006058216,0.0,0.0,-0.001
9480000,0.10975321,0.1284045,0.0007030368,0.0,0.0,-0.001
9500000,0.10993062,0.12823755,0.0005532503,0.0,0.0,-0.001
9524000,0.1097039,0.1281661,0.00057536364,0.0,0.0,-0.001
9540000,0.109696865,0.12811217,0.00059372187,0.0,0.0,-0.001
9564000,0.10974905,0.12811694,0.0005019307,0.0,0.0,-0.001
9584000,0.109930456,0.12816973,0.00052779913,0.0,0.0,-0.001
9604000,0.10982009,0.1281957,0.00052529573,0.0,0.0,-0.001
9620000,0.10985239,0.12803836,0.00045770407,0.0,0.0,-0.001
9644000,0.10982032,0.12774009,0.0004877448,0.0,0.0,-0.001
9660000,0.10979563,0.12769538,0.00043141842,0.0,0.0,-0.001
9680000,0.10995425,0.12790605,0.00043976307,0.0,0.0,-0.001
9700000,0.11006066,0.1276297,0.00045895576,0.0,0.0,-0.001
9720000,0.11008039,0.12758671,0.00037258863,0.0,0.0,-0.001
9744000,0.110525735,0.12767038,0.00053822994,0.0,0.0,-0.001
9760000,0.11054224,0.12747316,0.00048315525,0.0,0.0,-0.001
9784000,0.1107368,0.12723126,0.0005557537,0.0,0.0,-0.001
9800000,0.11067562,0.12740204,0.00062167645,0.0,0.0,-0.001
9820000,0.11033293,0.12746818,0.0005031824,0.0,0.0,-0.001
9844000,0.110257074,0.12782139,0.00047272444,0.0,0.0,-0.001
9860000,0.11012283,0.1278077,0.0004902482,0.0,0.0,-0.001
9880000,0.11014528,0.12759113,0.0005428195,0.0,0.0,-0.001
9900000,0.11005092,0.12753196,0.0005019307,0.0,0.0,-0.001
9920000,0.1102037,0.12754361,0.00053071976,0.0,0.0,-0.001
9940000,0.110150084,0.1274871,0.00047439337,0.0,0.0,-0.001
9964000,0.110240474,0.12722123,0.0005065203,0.0,0.0,-0.001
9984000,0.11017186,0.127345,0.00045228004,0.0,0.0,-0.001
10004000,0.11020717,0.12715775,0.00044852495,0.0,0.0,-0.001
10024000,0.11022992,0.12703939,0.00041139126,0.0,0.0,-0.001
10044000,0.11046698,0.12690844,0.00041013956,0.0,0.0,-0.001
10064000,0.11040431,0.12686114,0.00038927794,0.0,0.0,-0.001
10084000,0.11045929,0.12644,0.00034213066,0.0,0.0,-0.001
10100000,0.11056984,0.12610908,0.00042641163,0.0,0.0,-0.001
10120000,0.11046195,0.12612219,0.0003938675,0.0,0.0,-0.001
10144000,0.11059776,0.12617652,0.00036257505,0.0,0.0,-0.001
10160000,0.11086707,0.12605241,0.0004977584,0.0,0.0,-0.001
10184000,0.11101967,0.12593496,0.0005695224,0.0,0.0,-0.001
10200000,0.11100162,0.12593727,0.00054365396,0.0,0.0,-0.001
10220000,0.1108497,0.12600963,0.00050735474,0.0,0.0,-0.001
10244000,0.11101507,0.12613852,0.00048565865,0.0,0.0,-0.001
10260000,0.11120517,0.12601306,0.0005298853,0.0,0.0,-0.001
10280000,0.111083075,0.12606503,0.00051903725,0.0,0.0,-0.001
10300000,0.1108263,0.12580484,0.0005515814,0.0,0.0,-0.001
