timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
9472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033902578,0.0034562598,3.1491726e-11,-0.20032331,0.1744186,-9.925846,-0.0016023957,-0.006379723,-0.00058142643,0.0010439738,0.0013385491,0.00073220214,1.0474433e-05,1.0380065e-05,1.2927366e-05,11.832729,11.832729
10472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033241104,0.0034613227,2.6836982e-11,-0.20736916,0.1707766,-9.930812,-0.0013272028,-0.0059186616,-0.00029562606,0.0008064431,0.0009998071,0.000769987,8.273677e-06,8.925213e-06,1.1424718e-05,11.832729,11.832729
11472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034894634,0.0033016466,2.2482035e-11,-0.19030844,0.17159197,-9.928682,-0.0010304478,-0.0046350346,-1.2634083e-05,0.0009008883,0.00049116276,0.0011184702,1.016187e-05,9.072726e-06,1.4025768e-05,11.832729,11.832729
12472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032438204,0.0034036273,2.1977817e-11,-0.17977637,0.15641811,-9.932928,-0.00027951648,-0.005431938,0.0004413162,0.00069086376,0.00095750496,0.0006091538,8.37608e-06,7.814162e-06,1.0194346e-05,11.832729,11.832729
13472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03251917,0.0032490392,2.0242065e-11,-0.17593744,0.14914727,-9.919687,-0.0019992753,-0.0057054074,-8.093793e-05,0.0007733195,0.00084989687,0.0007143086,4.335868e-06,8.832234e-06,9.364895e-06,11.832729,11.832729
14472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.036435857,0.0040877555,9.24241e-10,-0.06068658,-0.003281094,-10.126905,0.13230798,0.15961657,0.040020358,0.0017050426,0.0032250958,0.0008411075,1.4442506e-05,0.0004898838,2.5465444e-05,11.832653,11.832653
15472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033268675,0.0037910717,1.528994e-10,-0.12455215,0.11234169,-10.289702,-0.025724662,-0.029069483,-0.0030878668,0.00052965136,0.0009851665,0.0007543139,1.6097847e-05,5.7427524e-06,1.2602285e-05,11.831088,11.831088
16472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032838713,0.0033386983,3.1104216e-11,-0.17007108,0.1758205,-10.136761,0.008533791,0.0036638197,-0.0005669909,0.001002392,0.00087339286,0.0006802245,1.9240546e-05,5.849326e-06,1.06633415e-05,11.82721,11.82721
17472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032537017,0.0033072298,1.3187476e-11,-0.19942355,0.20672777,-10.061451,0.0029098704,-0.00082317664,-0.00078862044,0.0006933924,0.0004925133,0.0011088707,1.1535889e-05,8.09155e-06,1.090205e-05,11.821892,11.821892
18472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0341907,0.0031841216,1.5340066e-11,-0.20136105,0.19974628,-9.952862,0.0019785594,-0.0018609434,-0.0003105712,0.0010323086,0.00049836334,0.0013573617,1.3204434e-05,1.12376665e-05,8.898132e-06,11.815719,11.815719
19472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034297235,0.0035704975,2.6014956e-11,-0.1721742,0.17216846,-9.95745,0.005900142,0.00010282087,-0.0012600248,0.00076272263,0.0010893748,0.0010154536,7.890306e-06,2.2470227e-05,5.8413316e-06,11.809134,11.809134
20472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032501098,0.003328664,3.1731173e-11,-0.14747903,0.15787974,-9.936577,-0.0043601487,-0.00654442,-0.0027336888,0.0007218219,0.0007261004,0.0010903683,1.2943854e-05,6.710993e-06,9.735435e-06,11.802272,11.802272
21472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.043705814,0.0042596133,2.5427602e-10,-0.15536511,0.15671952,-7.1293106,-0.09651347,-0.000113558955,0.0007391916,0.000849915,0.0010198937,0.0578793,0.0025425695,1.0153008e-05,3.1338195e-06,11.795475,11.795475
22472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.039199952,0.0039051059,1.6969874e-10,-0.15435585,0.47091475,-9.782897,0.05072233,-0.012300931,0.00079978665,0.0007457226,0.00052785163,0.002206969,7.593575e-05,8.943839e-06,6.2842405e-06,11.794577,11.794577
23472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.035327632,0.00366705,9.066712e-10,-0.16818094,0.5492884,-9.910751,0.21057364,-0.017412277,0.00079844444,0.0012389821,0.0005924645,0.0010207619,1.1558798e-05,1.4462162e-05,1.0268658e-05,11.794399,11.794399
24472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033696566,0.0035956134,2.531368e-10,-0.19939698,0.040861495,-10.067067,0.060314327,-0.0051982114,0.0014725139,0.0010940487,0.00086489134,0.00056593894,1.1532592e-05,1.2310458e-05,1.3322899e-05,11.794399,11.794399
25472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032340426,0.0035579996,5.897831e-10,-0.22517104,-0.4601682,-9.900543,-0.15243842,0.0049991617,0.0009900312,0.000944711,0.0010128986,0.0006976166,4.3052914e-05,2.0209158e-05,1.1172181e-05,11.794277,11.794277
26472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.0336019,0.003647146,8.627186e-10,-0.2002325,-0.39276645,-9.967003,-0.21488757,-0.0045897085,0.0038639586,0.00083543797,0.0009233101,0.0012024,1.4883605e-05,3.4024713e-05,1.1059964e-05,11.7940855,11.7940855
27472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031639013,0.0035628686,2.6933192e-10,-0.14925346,0.22796215,-10.030701,-0.069249764,-0.008163837,0.00012502066,0.0008248423,0.0014845274,0.00062499,4.0092058e-05,1.9381716e-05,6.8023587e-06,11.793758,11.793758
28472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031259634,0.003500664,5.0790205e-10,-0.14000385,0.7963918,-9.886085,0.14025508,-0.01715372,-0.0013164021,0.000684819,0.0005441055,0.00080863095,1.9197527e-05,1.2463042e-05,8.740697e-06,11.793667,11.793667
29472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03328085,0.003498712,8.376113e-10,-0.17055984,0.7881616,-9.892779,0.21679366,-0.010759874,0.00066024583,0.0007408547,0.0008754238,0.00096392515,4.532904e-05,1.1589183e-05,9.39674e-06,11.793758,11.793758
30472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034091055,0.0035470354,3.1848243e-10,-0.23012303,0.19472575,-10.123098,0.08200874,0.0003011945,0.00011170968,0.0009815937,0.0010973507,0.0010244439,1.0761211e-05,2.6840677e-05,7.0575493e-06,11.793865,11.793865
31472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032944415,0.0032670652,3.814739e-10,-0.24666816,-0.42025432,-9.93687,-0.119722776,0.009527035,0.0058460156,0.0006588636,0.00076059595,0.0009454082,5.1097843e-05,1.8874973e-05,8.243186e-06,11.793922,11.793922
32472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031724382,0.0036109716,9.019937e-10,-0.21846657,-0.5190289,-9.8922,-0.23481943,-0.004426914,0.007721384,0.0014134651,0.0008824064,0.0006310483,3.5990954e-05,4.368131e-05,1.2841692e-05,11.794094,11.794094
33472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03399805,0.0035502913,4.2488255e-10,-0.18532032,0.039211165,-10.100302,-0.114041865,-0.010913319,0.00016336764,0.0007849255,0.0009036296,0.0005817827,7.550481e-05,1.08020295e-05,1.0382201e-05,11.794186,11.794186
34472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034406826,0.0034335607,2.63193e-10,-0.16476086,0.6848514,-9.909907,0.095136814,-0.014140416,-0.0033752879,0.00073967205,0.001487852,0.0013058736,1.0218953e-05,7.961764e-06,5.9763306e-06,11.794186,11.794186
35472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03400934,0.0033832751,7.976029e-10,-0.16551405,0.8724121,-9.850206,0.21752608,-0.01355559,-0.0024766023,0.0008993097,0.00088912825,0.0013252196,1.0702688e-05,8.459019e-06,7.2910357e-06,11.794316,11.794316
36472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033139635,0.0036189372,5.558638e-10,-0.18921894,0.40127954,-10.093434,0.13018885,-0.006739589,0.0016004656,0.00086687726,0.0011095912,0.0010964833,5.448011e-06,2.3510991e-05,1.0104011e-05,11.794369,11.794369
37472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032720774,0.0035837796,2.6752034e-10,-0.24271914,-0.28561416,-9.957082,-0.061158393,-0.0027544864,0.0025363304,0.00048877223,0.0012048281,0.00057754345,7.4832074e-05,1.4133955e-05,1.5234479e-05,11.79416,11.79416
38472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033980597,0.0035167278,7.1237705e-10,-0.22667573,-0.5576027,-9.842462,-0.21487847,-0.0011955238,0.0036423507,0.00037622373,0.0007874975,0.0009726463,1.0372594e-05,2.0337553e-05,9.737007e-06,11.793963,11.793963
39472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.030698225,0.003660115,4.8456206e-10,-0.20190531,-0.16337813,-9.999879,-0.15395284,-0.00021076927,0.0022636107,0.0009911425,0.0012618789,0.0011802736,7.313917e-05,9.529021e-06,8.030986e-06,11.793667,11.793667
40472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.030178433,0.0035235637,1.2869615e-10,-0.1700627,0.5241143,-9.931744,0.031525243,-0.0100309905,-0.0021678812,0.0007037998,0.0011661901,0.0009693898,2.5209612e-05,7.786307e-06,1.0341298e-05,11.793362,11.793362
41472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034552727,0.003517768,7.3719353e-10,-0.16339172,0.8766573,-9.781715,0.20019402,-0.016333176,-0.0024463595,0.0009795222,0.0008415862,0.0008822731,1.5496491e-05,8.591296e-06,9.621963e-06,11.793301,11.793301
42472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032618023,0.0034915283,6.4586453e-10,-0.18691845,0.5728457,-9.984282,0.17691067,-0.010997537,0.0015590247,0.0013338224,0.0005873936,0.0007576519,1.6772527e-05,1.5021412e-05,7.4646796e-06,11.793392,11.793392
43472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033072647,0.0032388098,2.9057128e-11,-0.2013302,-0.1366379,-9.976772,0.00037135085,-0.0048701437,0.002271575,0.0012428046,0.0008261045,0.000808419,9.9225006e-05,9.269146e-06,6.7796377e-06,11.793392,11.793392
44472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.035125617,0.003507953,8.0810086e-10,-0.22950436,-0.5649742,-9.810306,-0.18977664,0.0014379445,0.0004575816,0.0010448059,0.0008097661,0.0008816096,2.0654064e-05,2.4274137e-05,1.0605633e-05,11.793454,11.793454
45472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032814942,0.003502509,8.164166e-10,-0.23376451,-0.36240155,-9.954807,-0.19001815,0.0048817997,0.0013960738,0.0010267321,0.0014983881,0.0007979344,2.7362936e-05,1.5392336e-05,1.0432652e-05,11.793509,11.793509
46472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033912767,0.00322191,1.0864488e-10,-0.20386317,0.33003333,-9.945513,-0.027644942,-0.004702842,-0.0002781255,0.00089215796,0.0008553656,0.0011092264,2.4813362e-05,1.42687395e-05,8.4200965e-06,11.793331,11.793331
47472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032714564,0.0032605762,6.6485517e-10,-0.17541678,0.8384169,-9.799953,0.16709659,-0.019880777,-0.0016032194,0.00085484696,0.0004272085,0.0011485745,1.8638957e-05,1.4563272e-05,1.0174371e-05,11.793363,11.793363
48472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031819507,0.0036565366,7.067619e-10,-0.18201917,0.71215844,-9.873331,0.19797611,-0.013034296,-6.116105e-05,0.0014396472,0.0009485458,0.00051142555,9.049946e-06,2.0747017e-05,3.7997406e-06,11.793543,11.793543
49472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033324014,0.0034427752,1.5556421e-10,-0.19449268,0.068303145,-9.981743,0.048925187,-0.0089898305,0.0012819758,0.00076525606,0.0010913989,0.0006629166,4.8511367e-05,6.0237207e-06,5.9753656e-06,11.793557,11.793557
50472000,1310996,1310996,0,0,0,0,0,250.0,250.0,250.0,250.0,0.037147727,0.003696374,6.6378875e-10,-0.22147116,-0.50242865,-9.796744,-0.14582793,-0.0013315873,0.0004099052,0.0011242675,0.0012006377,0.0010637072,2.0482506e-05,2.7327202e-05,1.0271209e-05,11.793514,11.793514
