timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
12216000,12136000,0.00065413397,0.00041833599,0.0006962984,1049239,0,0.34302765,0.25196692,0.028714253,0.00886632,0.0004419324,0.0046614227,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12416000,12336000,0.00078540767,0.00030821035,0.00040923696,1049239,0,0.3334148,0.24943419,0.0013299625,0.017187908,0.00047246588,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12616000,12536000,9.768399e-05,0.0004015342,0.0004586988,1049239,0,0.33359188,0.2476802,0.010767326,0.017187908,0.00047246588,0.0006279562,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12816000,12736000,0.0002523298,0.00042114986,0.0006277522,1049239,0,0.32505286,0.24611533,0.007770332,0.0014063104,0.0003807738,0.0040688035,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13016000,12936000,0.00012225057,0.00042337144,0.00032432083,1049239,0,0.32577,0.24422085,0.0050706947,0.0014063104,0.0003807738,0.0016926434,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13216000,13136000,0.00020644284,0.00034882966,0.00040895146,1049239,0,0.31856045,0.243271,0.0010880106,0.0033039092,0.00013121878,0.0030426474,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13424000,13344000,0.00020810388,0.0003502644,0.00077811925,1049239,0,0.3204445,0.24225615,0.013246456,0.0033039092,0.00013121878,0.0028321978,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13624000,13544000,0.00022033068,0.0007131799,0.00083729415,1049239,0,0.31490505,0.24228315,0.023775162,0.024915606,0.00038173478,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13824000,13744000,0.0005807963,0.00030198134,0.0004434279,1049239,0,0.31850228,0.24301349,0.005247896,0.024915606,0.00038173478,5.9148857e-05,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14024000,13944000,5.0104572e-05,0.0003973009,0.00071982533,1049239,0,0.31482825,0.24374345,0.00027804347,0.0071111517,0.00089081185,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14216000,14136000,0.00027389248,0.00023647012,0.0004878807,1049239,0,0.32063216,0.2458814,0.003360828,0.0071111517,0.00089081185,0.0005549235,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14416000,14336000,0.0006029011,0.0003913623,0.00071452005,1049239,0,0.3187011,0.2486928,0.0043293345,0.0048436895,0.001650409,0.0029414939,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14616000,14536000,0.00014017426,0.00092277565,0.00034959125,1049239,0,0.32778504,0.25223145,0.0036039387,0.0048436895,0.001650409,0.00011479624,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14824000,14744000,0.0003568217,0.0012149634,0.0014771397,1049239,0,0.32758412,0.2562284,0.0050612837,0.011514216,0.0021762787,1.1754944e-38,0.0,0.0,0.0,0.0,1310996,1310996,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
