timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
9516000,9516000,1310988,-0.0005326322,-0.0053263223,-0.004261058,11.832727,0,1
10516000,10516000,1310988,-0.0026631611,-0.00479369,0.0015978967,11.832727,0,1
11516000,11516000,1310988,0.0,-0.009054748,0.0015978967,11.832727,0,1
12516000,12516000,1310988,-0.002130529,-0.0058589545,-0.0010652645,11.832727,0,1
13516000,13516000,1310988,-0.0015978967,-0.0058589545,0.0037284256,11.832727,0,1
14516000,14516000,1310988,0.123038046,0.18642128,0.016511599,11.832605,0,1
15516000,15516000,1310988,-0.013848438,-0.02396845,-0.004261058,11.830835,0,1
16516000,16516000,1310988,0.008522116,0.0053263223,-0.0015978967,11.826746,0,1
17516000,17516000,1310988,0.0053263223,0.0005326322,0.0,11.821405,0,1
18516000,18516000,1310988,0.002130529,0.0005326322,-0.0005326322,11.815119,0,1
19516000,19516000,1310988,0.0015978967,-0.0063915867,-0.0010652645,11.808466,0,1
20516000,20516000,1310988,-0.002130529,-0.0026631611,-0.002130529,11.801722,0,1
21516000,21516000,1310988,-0.26205507,-0.004261058,-0.002130529,11.795099,0,1
22516000,22516000,1310988,0.07403588,-0.009054748,-0.002130529,11.794519,0,1
23516000,23516000,1310988,0.19547603,-0.014913702,-0.0005326322,11.794397,0,1
24516000,24516000,1310988,0.053795855,-0.0026631611,0.0,11.794397,0,1
25516000,25516000,1310988,-0.17097494,0.0,0.0010652645,11.794275,0,1
26516000,26516000,1310988,-0.21198763,0.0031957934,0.007456851,11.794062,0,1
27516000,27516000,1310988,-0.048469532,-0.010120012,0.0005326322,11.793726,0,1
28516000,28516000,1310988,0.15393071,-0.020240024,0.0010652645,11.793665,0,1
29516000,29516000,1310988,0.19973709,-0.0127831735,0.0031957934,11.7937565,0,1
30516000,30516000,1310988,0.075101145,0.010120012,0.0015978967,11.793879,0,1
31516000,31516000,1310988,-0.13795175,-0.0026631611,0.0053263223,11.79394,0,1
32516000,32516000,1310988,-0.2412824,0.011717909,0.00479369,11.794092,0,1
33516000,33516000,1310988,-0.084155895,-0.018109497,0.0010652645,11.794184,0,1
34516000,34516000,1310988,0.10546118,-0.004261058,-0.0031957934,11.794184,0,1
35516000,35516000,1310988,0.2247708,-0.01438107,-0.0005326322,11.794336,0,1
36516000,36516000,1310988,0.123038046,-0.009054748,0.0010652645,11.794367,0,1
37516000,37516000,1310988,-0.083090626,-0.00479369,0.0015978967,11.794123,0,1
38516000,38516000,1310988,-0.21678132,0.002130529,0.0053263223,11.79394,0,1
39516000,39516000,1310988,-0.13635385,-0.004261058,0.0005326322,11.793634,0,1
40516000,40516000,1310988,0.03781689,-0.0058589545,0.0,11.79336,0,1
41516000,41516000,1310988,0.20080236,-0.020240024,-0.004261058,11.793299,0,1
42516000,42516000,1310988,0.17896444,-0.010652645,0.0,11.79339,0,1
43516000,43516000,1310988,-0.027164243,-0.0015978967,0.002130529,11.79339,0,1
44516000,44516000,1310988,-0.19281286,0.004261058,-0.0010652645,11.793482,0,1
45516000,45516000,1310988,-0.17630127,0.0015978967,0.002130529,11.793482,0,1
46516000,46516000,1310988,-0.014913702,-0.0005326322,-0.0015978967,11.793329,0,1
47516000,47516000,1310988,0.17417073,-0.02396845,-0.0015978967,11.79339,0,1
48516000,48516000,1310988,0.20026971,-0.006924219,-0.002130529,11.793543,0,1
49516000,49516000,1310988,0.02396845,-0.0053263223,0.0015978967,11.793543,0,1
50516000,50516000,1310988,-0.15286545,-0.0010652645,0.0005326322,11.793512,0,1
51516000,51516000,1310988,-0.20133498,0.0010652645,0.0015978967,11.793543,0,1
52516000,52516000,1310988,-0.05752428,-0.002130529,-0.0037284256,11.793512,0,1
53516000,53516000,1310988,0.12942964,-0.007989483,-0.0037284256,11.793421,0,1
54516000,54516000,1310988,0.22849922,-0.01917476,-0.00479369,11.793573,0,1
55516000,55516000,1310988,0.080960095,-0.010120012,-0.002130529,11.7937565,0,1
56516000,56516000,1310988,-0.10865697,0.0005326322,-0.0005326322,11.793909,0,1
57516000,57516000,1310988,-0.22370553,-0.0037284256,-0.002130529,11.794031,0,1
58516000,58516000,1310988,-0.123038046,-0.0015978967,-0.0010652645,11.79394,0,1
59516000,59516000,1310988,0.08681905,-0.011717909,-0.0010652645,11.793787,0,1
60516000,60516000,1310988,0.21092236,-0.00958738,0.0010652645,11.7937565,0,1
61516000,61516000,1310988,0.13741912,-0.008522116,0.0010652645,11.793848,0,1
62516000,62516000,1310988,-0.051665325,0.0,-0.0005326322,11.793848,0,1
63516000,63516000,1310988,-0.20932446,0.013848438,0.002130529,11.79397,0,1
64516000,64516000,1310988,-0.17204021,-0.0031957934,0.0010652645,11.794123,0,1
65516000,65516000,1310988,0.017576864,-0.006924219,-0.0026631611,11.794214,0,1
66516000,66516000,1310988,0.19014971,-0.020240024,-0.0026631611,11.79455,0,1
67516000,67516000,1310988,0.17576863,-0.009054748,0.0,11.795038,0,1
68516000,68516000,1310988,0.017576864,-0.010120012,-0.0010652645,11.795191,0,1
69516000,69516000,1310988,-0.18642128,0.004261058,-0.0005326322,11.795221,0,1
70516000,70516000,1310988,-0.20240025,0.016511599,0.004261058,11.795374,0,1
71516000,71516000,1310988,-0.027696876,-0.00958738,0.0,11.795404,0,1
72516000,72516000,1310988,0.15606125,-0.01917476,-0.0010652645,11.795435,0,1
73516000,73516000,1310988,0.20080236,-0.015978966,-0.0010652645,11.795496,0,1
74516000,74516000,1310988,0.066046394,-0.0026631611,0.0005326322,11.795496,0,1
