timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl,hagl_rate
18648000,18568000,0.11007241,0.11007335,0.21978852,1.1025102,1.1025118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.418644,0.0,0.0,nan,0.0,0.0,0.0936431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19144000,19064000,0.120103,0.12009693,0.21998154,1.1078055,1.1078075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.425488,0.0,0.0,nan,0.0,0.0,0.092851736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19648000,19568000,0.12301314,0.12300674,0.21985751,1.1097549,1.1097568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.435185,0.0,0.0,nan,0.0,0.0,0.09235185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20144000,20064000,0.12389038,0.12388475,0.21970055,1.111469,1.1114706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.446237,0.0,0.0,nan,0.0,0.0,0.09201024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20640000,20560000,0.1232959,0.12328963,0.21970832,1.1129903,1.1129916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.453589,0.0,0.0,nan,0.0,0.0,0.09176471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21144000,21064000,0.12000671,0.12000401,0.21938775,1.1154941,1.1154948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.451236,0.0,0.0,nan,0.0,0.0,0.09158212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21640000,21560000,0.11771097,0.117709436,0.21925984,1.1165503,1.1165507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.456802,0.0,0.0,nan,0.0,0.0,0.09144319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22144000,22064000,0.11541514,0.11546561,0.21915205,1.1173863,1.117388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.462095,0.0,0.0,nan,0.0,0.0,0.091335125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22640000,22560000,0.11403024,0.114525825,0.2190756,1.1180121,1.1180189,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464586,0.0,0.0,nan,0.0,0.0,0.09125689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23144000,23064000,0.11137782,0.11208582,0.21919261,1.1189662,1.1189682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.458983,0.0,0.0,nan,0.0,0.0,0.09116606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23640000,23560000,0.110304624,0.11053164,0.21920222,1.1192869,1.1192985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461214,0.0,0.0,nan,0.0,0.0,0.09111541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24144000,24064000,0.109381475,0.10954185,0.21922375,1.1195215,1.1195549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464956,0.0,0.0,nan,0.0,0.0,0.09107608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24640000,24560000,0.10860954,0.10954064,0.21940482,1.119679,1.1197265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.467277,0.0,0.0,nan,0.0,0.0,0.091037594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25144000,25064000,0.10747734,0.11082284,0.21946232,1.1197921,1.119811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.460834,0.0,0.0,nan,0.0,0.0,0.091037594,0.0028587617,0.0028849079,0.0028847894,0.0,0.0,0.0,0.0,0.0,0.0
25648000,25568000,0.1071056,0.11065526,0.21951786,1.1197666,1.1197792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461347,0.0,0.0,nan,0.0,0.0,0.091037594,0.0026792989,0.0026894403,0.0026893406,0.0,0.0,0.0,0.0,0.0,0.0
26144000,26064000,0.10684752,0.10944193,0.2195951,1.1196992,1.1197516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.463061,0.0,0.0,nan,0.0,0.0,0.091037594,0.0026199447,0.0026403202,0.0026402345,0.0,0.0,0.0,0.0,0.0,0.0
26648000,26568000,0.1066807,0.10777964,0.21966764,1.1196029,1.1197441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.465399,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025905536,0.0026301462,0.0026301225,0.0,0.0,0.0,0.0,0.0,0.0
27144000,27064000,0.10658173,0.10724236,0.21991035,1.1193601,1.1196525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.459369,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025732694,0.002620831,0.0026208744,0.0,0.0,0.0,0.0,0.0,0.0
27640000,27560000,0.106624156,0.10933905,0.21993627,1.1192274,1.1194756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.460289,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025622025,0.002602682,0.0026027404,0.0,0.0,0.0,0.0,0.0,0.0
28144000,28064000,0.10671569,0.11199543,0.21995142,1.119094,1.1192337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.462904,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025547624,0.0025771488,0.0025771582,0.0,0.0,0.0,0.0,0.0,0.0
28640000,28560000,0.1068554,0.11365569,0.21996531,1.118965,1.1190118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.465221,0.0,0.0,nan,0.0,0.0,0.091037594,0.002550168,0.0025559897,0.0025558602,0.0,0.0,0.0,0.0,0.0,0.0
29144000,29064000,0.10717389,0.11129594,0.22012603,1.1187505,1.1188933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.459148,0.0,0.0,nan,0.0,0.0,0.091037594,0.002546021,0.0025416426,0.0025411672,0.0,0.0,0.0,0.0,0.0,0.0
29640000,29560000,0.10730528,0.10887617,0.22012796,1.118674,1.1189907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.46081,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025421027,0.0025458974,0.0025449742,0.0,0.0,0.0,0.0,0.0,0.0
30144000,30064000,0.10742636,0.10754885,0.22011693,1.1186177,1.1190966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.463549,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025392212,0.0025582833,0.0025571543,0.0,0.0,0.0,0.0,0.0,0.0
30640000,30560000,0.107539535,0.108237766,0.22009805,1.1185797,1.1191155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.464601,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025364535,0.002562567,0.0025614735,0.0,0.0,0.0,0.0,0.0,0.0
31144000,31064000,0.107715726,0.11352783,0.22021492,1.1185493,1.1188068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.458705,0.0,0.0,nan,0.0,0.0,0.091037594,0.002533525,0.0025546192,0.0025536353,0.0,0.0,0.0,0.0,0.0,0.0
31648000,31568000,0.107761964,0.11484618,0.22020221,1.1185514,1.1186366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4614525,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025313233,0.0025392233,0.00253825,0.0,0.0,0.0,0.0,0.0,0.0
32144000,32064000,0.107781775,0.11388709,0.2201925,1.1185622,1.1185718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.461929,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025297066,0.0025269045,0.0025259221,0.0,0.0,0.0,0.0,0.0,0.0
32648000,32568000,0.10777684,0.11138963,0.22018659,1.1185808,1.1186335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.466236,0.0,0.0,nan,0.0,0.0,0.091037594,0.00252877,0.0025258674,0.0025250001,0.0,0.0,0.0,0.0,0.0,0.0
33144000,33064000,0.10767811,0.10774912,0.22029503,1.1186304,1.118932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.458605,0.0,0.0,nan,0.0,0.0,0.091037594,0.0025284374,0.002535285,0.0025346952,0.0,0.0,0.0,0.0,0.0,0.0
