timestamp,timestamp_sample,device_id,pressure,temperature,error_count
140472000,140472000,6620428,95538.97,11.794092,0
141480000,141480000,6620428,95537.68,11.793909,0
142488000,142488000,6620428,95537.375,11.794062,0
143472000,143472000,6620428,95538.734,11.794245,0
144476000,144476000,6620428,95537.234,11.794397,0
145488000,145488000,6620428,95539.17,11.794672,0
146472000,146472000,6620428,95538.7,11.794825,0
147480000,147480000,6620428,95540.016,11.795038,0
148488000,148488000,6620428,95541.35,11.795557,0
149472000,149472000,6620428,95542.51,11.795954,0
150480000,150480000,6620428,95540.09,11.795954,0
151488000,151488000,6620428,95541.92,11.795984,0
152472000,152472000,6620428,95542.055,11.796015,0
153480000,153480000,6620428,95541.03,11.795862,0
154488000,154488000,6620428,95539.55,11.795801,0
155472000,155472000,6620428,95541.97,11.795801,0
156476000,156476000,6620428,95541.86,11.795618,0
157488000,157488000,6620428,95542.3,11.7955265,0
158472000,158472000,6620428,95540.61,11.795465,0
159480000,159480000,6620428,95540.484,11.795343,0
160488000,160488000,6620428,95542.7,11.795435,0
161472000,161472000,6620428,95540.484,11.79574,0
162480000,162480000,6620428,95542.23,11.796045,0
163488000,163488000,6620428,95543.055,11.796076,0
164472000,164472000,6620428,95541.48,11.795984,0
165480000,165480000,6620428,95541.445,11.795679,0
166488000,166488000,6620428,95541.7,11.795588,0
167472000,167472000,6620428,95540.29,11.79574,0
168480000,168480000,6620428,95540.83,11.795832,0
169488000,169488000,6620428,95541.305,11.795801,0
170472000,170472000,6620428,95539.58,11.795862,0
171480000,171480000,6620428,95541.89,11.795649,0
172484000,172484000,6620428,95539.06,11.795343,0
173472000,173472000,6620428,95540.47,11.795282,0
174480000,174480000,6620428,95540.44,11.795282,0
175488000,175488000,6620428,95541.91,11.79513,0
176472000,176472000,6620428,95540.836,11.794977,0
177480000,177480000,6620428,95539.2,11.794733,0
178488000,178488000,6620428,95538.21,11.794397,0
179472000,179472000,6620428,95538.375,11.794306,0
180476000,180476000,6620428,95539.77,11.794397,0
181488000,181488000,6620428,95539.59,11.794397,0
182472000,182472000,6620428,95538.48,11.794397,0
183480000,183480000,6620428,95538.055,11.794489,0
184488000,184488000,6620428,95539.79,11.794458,0
185472000,185472000,6620428,95539.1,11.794458,0
186476000,186476000,6620428,95540.64,11.794764,0
187488000,187488000,6620428,95540.805,11.794977,0
188472000,188472000,6620428,95540.805,11.794977,0
189480000,189480000,6620428,95541.36,11.795038,0
190488000,190488000,6620428,95541.445,11.795008,0
191472000,191472000,6620428,95538.91,11.794825,0
192476000,192476000,6620428,95539.414,11.794916,0
193484000,193484000,6620428,95541.5,11.795008,0
194472000,194472000,6620428,95539.18,11.794916,0
195480000,195480000,6620428,95540.8,11.794947,0
196488000,196488000,6620428,95538.586,11.794886,0
197472000,197472000,6620428,95539.63,11.794764,0
198480000,198480000,6620428,95538.66,11.794886,0
199488000,199488000,6620428,95540.38,11.795008,0
200468000,200468000,6620428,95540.875,11.795038,0
201480000,201480000,6620428,95538.516,11.795099,0
202488000,202488000,6620428,95541.56,11.79513,0
203472000,203472000,6620428,95540.484,11.795069,0
204476000,204476000,6620428,95540.33,11.795099,0
205488000,205488000,6620428,95539.33,11.795221,0
206472000,206472000,6620428,95539.97,11.79516,0
207480000,207480000,6620428,95540.99,11.795069,0
208488000,208488000,6620428,95547.39,11.79928,0
209472000,209472000,6620428,95554.836,11.803644,0
210480000,210480000,6620428,95562.12,11.807917,0
211488000,211488000,6620428,95570.17,11.812342,0
212472000,212472000,6620428,95577.58,11.816828,0
213480000,213480000,6620428,95584.766,11.82107,0
214488000,214488000,6620428,95594.69,11.825403,0
215472000,215472000,6620428,95600.99,11.829889,0
216476000,216476000,6620428,95605.4,11.832544,0
217484000,217484000,6620428,95606.32,11.832087,0
218472000,218472000,6620428,95604.25,11.83227,0
219480000,219480000,6620428,95605.805,11.832727,0
220488000,220488000,6620428,95606.21,11.832727,0
221472000,221472000,6620428,95605.19,11.832727,0
222480000,222480000,6620428,95605.93,11.832727,0
