timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
8804000,8804000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
8840000,8840000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9000000,9000000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9200000,9200000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9404000,9404000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9608000,9608000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9800000,9800000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9996000,9996000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10184000,10184000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10392000,10392000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10596000,10596000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10808000,10808000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
11000000,11000000,0.0,0.0,0.177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11192000,11192000,0.0,0.0,0.47900003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11412000,11412000,0.0,0.0,0.656,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11620000,11620000,0.0,0.0,0.67700005,0.062000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11788000,11788000,0.0,0.0,0.77000004,-0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11988000,11988000,0.0,0.0,0.781,-0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
12192000,12192000,0.0,0.0,0.791,-0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12388000,12388000,0.0,0.0,0.81200004,-0.062000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12624000,12624000,0.0,0.0,0.822,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12820000,12820000,0.0,0.0,0.822,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12988000,12988000,0.0,0.0,0.822,-0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
