timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
9544000,9544000,1310996,-0.18682249,0.17515944,-9.91449,11.832727,0,0,0,0,1
10544000,10544000,1310996,-0.20991792,0.14579596,-9.897489,11.832727,0,0,0,0,1
11544000,11544000,1310996,-0.1901219,0.19526616,-9.8873005,11.832727,0,0,0,0,1
12544000,12544000,1310996,-0.16873014,0.13025957,-9.892712,11.832727,0,0,0,0,1
13544000,13544000,1310996,-0.14163388,0.13383353,-9.943673,11.832727,0,0,0,0,1
14544000,14544000,1310996,-0.16988823,0.13958082,-10.126638,11.832575,0,0,0,0,1
15544000,15544000,1310996,-0.19535156,0.09411817,-10.254578,11.830744,0,0,0,0,1
16544000,16544000,1310996,-0.1795874,0.183403,-10.084535,11.826624,0,0,0,0,1
17544000,17544000,1310996,-0.21412957,0.22721168,-9.98799,11.821131,0,0,0,0,1
18544000,18544000,1310996,-0.1838032,0.18043445,-9.920122,11.814966,0,0,0,0,1
19544000,19544000,1310996,-0.18231031,0.1519089,-9.99133,11.808313,0,0,0,0,1
20544000,20544000,1310996,-0.21458828,0.15208215,-9.9341955,11.801386,0,0,0,0,1
21544000,21544000,1310996,-0.13393798,0.18767634,-6.9348097,11.795038,0,0,0,0,1
22544000,22544000,1310996,-0.14780127,0.42781332,-9.753443,11.794519,0,0,0,0,1
23544000,23544000,1310996,-0.15685026,0.46551678,-9.952508,11.794397,0,0,0,0,1
24544000,24544000,1310996,-0.20271558,-0.020409975,-10.047403,11.794397,0,0,0,0,1
25544000,25544000,1310996,-0.20932618,-0.4984632,-9.903354,11.794275,0,0,0,0,1
26544000,26544000,1310996,-0.19610932,-0.33409253,-10.029239,11.794031,0,0,0,0,1
27544000,27544000,1310996,-0.14717339,0.2656673,-10.004563,11.793726,0,0,0,0,1
28544000,28544000,1310996,-0.18904993,0.82380944,-9.893041,11.793665,0,0,0,0,1
29544000,29544000,1310996,-0.16576585,0.7624882,-9.911247,11.7937565,0,0,0,0,1
30544000,30544000,1310996,-0.22415096,0.15594427,-10.099527,11.793879,0,0,0,0,1
31544000,31544000,1310996,-0.27686974,-0.47045332,-9.879867,11.79394,0,0,0,0,1
32544000,32544000,1310996,-0.17069516,-0.4991512,-9.90714,11.794092,0,0,0,0,1
33544000,33544000,1310996,-0.19634113,0.15305896,-10.083941,11.794184,0,0,0,0,1
34544000,34544000,1310996,-0.17357853,0.6988874,-9.87128,11.794184,0,0,0,0,1
