timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
8708000,8590000,0.0011141426,0.0013448109,0.0005388483,1,0,0,0,0,0,0,0,0,0,0
9116000,8994000,0.00040406876,0.00040934852,0.0008268744,1,0,0,0,0,0,0,0,0,0,0
9516000,9394000,0.000387906,0.00019155853,0.0011580125,1,0,0,0,0,0,0,0,0,0,0
9916000,9794000,0.00037238977,0.00018389619,0.001892447,1,0,0,0,0,0,0,0,0,0,0
10308000,10194000,0.0010747826,0.00037802994,0.0017720057,1,0,0,0,0,0,0,0,0,0,0
10716000,10594000,0.0004427158,6.3685264e-05,0.0020835658,1,0,0,0,0,0,0,0,0,0,0
11108000,10990000,0.00042518423,6.116333e-05,0.0020010564,1,0,0,0,0,0,0,0,0,0,0
11516000,11394000,0.00038488512,0.00024343168,0.0019202136,1,0,0,0,0,0,0,0,0,0,0
11916000,11794000,0.0003694897,0.0013323274,0.0018434051,1,0,0,0,0,0,0,0,0,0,0
12316000,12194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
12716000,12594000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
13116000,12994000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
13516000,13394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
13908000,13794000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
14316000,14194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
14708000,14590000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15116000,14994000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15508000,15394000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15908000,15790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
16316000,16194000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
16716000,16594000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
