timestamp,timestamp_sample,baro_device_id,bias,bias_var,innov,innov_var,innov_test_ratio
6308000,6209332,6620172,-0.0033256465,0.08923287,-0.06320106,13.339838,3.327022e-05
13116000,12978666,6620172,-0.0022643288,0.08007526,0.03255138,13.330563,8.831772e-06
17116000,17024000,6620172,-0.0012157377,0.07551741,0.07930445,13.325951,5.2439e-05
25508000,25400000,6620172,9.6076896e-05,0.06745603,0.10738421,13.317801,9.620681e-05
83920000,83828000,6620172,0.0012516392,0.038749296,0.15312684,13.288863,0.00019605245
86320000,86228000,6620172,0.0025962272,0.0380846,0.30482903,13.288195,0.0007769698
93916000,93776000,6620172,0.0014862254,0.03612294,-0.07444308,13.2862215,4.6345187e-05
124324000,124232000,6620172,0.0004479969,0.029893177,-0.08746784,13.279961,6.401143e-05
140728000,140636000,6620172,-0.00057955703,0.027384304,-0.09290469,13.277441,7.223012e-05
192332000,192200000,6620172,-0.0016077416,0.021681236,-0.06239817,13.271717,3.2596734e-05
211132000,211004000,6620172,-0.0026089866,0.02015848,-0.074775286,13.270189,4.6816243e-05
