timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
23120000,23120000,0.7,8.249807e-06,-0.17067778,1.00165,0.0032314355,1.0,1
23224000,23224000,0.7,8.087374e-06,-0.13718043,1.0016176,0.0020875647,1.0,1
23320000,23320000,0.7,7.943252e-06,-0.1493947,1.0015914,0.0024759239,1.0,1
23424000,23424000,0.7,7.792847e-06,-0.118730195,1.0015645,0.001563871,1.0,1
23520000,23520000,0.7,7.659181e-06,-0.1632144,1.0015385,0.0029553354,1.0,1
23624000,23624000,0.7,7.5199155e-06,-0.12500359,1.0015079,0.0017335968,1.0,1
23720000,23720000,0.7,7.3962174e-06,-0.09908447,1.0014839,0.0010892428,1.0,1
23824000,23824000,0.7,7.266906e-06,-0.10910208,1.0014594,0.0013206576,1.0,1
23920000,23920000,0.7,7.1518702e-06,-0.06712625,1.001434,0.0004999424,1.0,1
24024000,24024000,0.7,7.0320866e-06,-0.07098345,1.0014035,0.0005590653,1.0,1
24120000,24120000,0.7,6.9257303e-06,-0.06243617,1.0013788,0.00043254532,1.0,1
24224000,24224000,0.7,6.8146055e-06,-0.06853497,1.0013553,0.0005211872,1.0,1
24320000,24320000,0.7,6.715464e-06,-0.078201495,1.0013356,0.0006785908,1.0,1
24424000,24424000,0.7,6.6117227e-06,-0.05833379,1.001312,0.00037759694,1.0,1
24520000,24520000,0.7,6.519248e-06,-0.04796578,1.0012916,0.00025530535,1.0,1
24624000,24624000,0.7,6.4223186e-06,-0.059983157,1.0012727,0.00039926733,1.0,1
24720000,24720000,0.7,6.3355187e-06,-0.067649804,1.0012581,0.0005078606,1.0,1
24824000,24824000,0.7,6.2444196e-06,-0.09822534,1.0012383,0.0010706984,1.0,1
24920000,24920000,0.7,6.1628143e-06,-0.11307098,1.0012242,0.0014188237,1.0,1
25024000,25024000,0.7,6.076792e-06,-0.1104466,1.0012116,0.0013537434,1.0,1
25120000,25120000,0.7,5.999495e-06,-0.1371141,1.0011984,0.002086419,1.0,1
25224000,25224000,0.7,5.918228e-06,-0.14320579,1.0011818,0.0022759656,1.0,1
25320000,25320000,0.7,5.845239e-06,-0.16803354,1.0011708,0.0031335836,1.0,1
25424000,25424000,0.7,5.768145e-06,-0.14167094,1.0011597,0.0022274896,1.0,1
25520000,25520000,0.7,5.6987187e-06,-0.1250249,1.0011495,0.0017348087,1.0,1
25624000,25624000,0.7,5.6256185e-06,-0.1768093,1.0011334,0.0034695705,1.0,1
25720000,25720000,0.7,5.559997e-06,-0.1530029,1.0011209,0.0025981865,1.0,1
25824000,25824000,0.7,5.4908037e-06,-0.10405877,1.0011077,0.0012018051,1.0,1
25920000,25920000,0.7,5.428643e-06,-0.14397909,1.0010955,0.00230081,1.0,1
26024000,26024000,0.7,5.3633303e-06,-0.16256964,1.0010778,0.0029333816,1.0,1
26120000,26120000,0.7,5.304721e-06,-0.1320917,1.0010661,0.0019366262,1.0,1
26224000,26224000,0.7,5.242881e-06,-0.15646291,1.0010545,0.0027172058,1.0,1
26328000,26328000,0.7,5.182623e-06,-0.122697026,1.001043,0.0016709861,1.0,1
26424000,26424000,0.7,5.1285747e-06,-0.119817525,1.0010288,0.0015934984,1.0,1
26520000,26520000,0.7,5.075985e-06,-0.15403864,1.0010169,0.0026337553,1.0,1
26624000,26624000,0.7,5.0204367e-06,-0.10627078,1.0010055,0.0012535705,1.0,1
26720000,26720000,0.7,4.9704636e-06,-0.048513327,1.0009943,0.000261245,1.0,1
26824000,26824000,0.7,4.918184e-06,-0.05211146,1.0009723,0.0003014407,1.0,1
26920000,26920000,0.7,4.8715146e-06,-0.08171381,1.0009584,0.0007411948,1.0,1
27024000,27024000,0.7,4.822305e-06,-0.059076075,1.0009476,0.0003874087,1.0,1
27128000,27128000,0.7,4.774361e-06,-0.034821022,1.0009356,0.0001345967,1.0,1
27224000,27224000,0.6999996,4.7315298e-06,-0.012686901,1.0009186,1.7867747e-05,1.0,1
27320000,27320000,0.7,4.68992e-06,-0.037783824,1.000908,0.00015848025,1.0,1
27424000,27424000,0.6999982,4.645916e-06,0.006776437,1.0008994,5.097648e-06,1.0,1
27520000,27520000,0.7,4.606158e-06,-0.026709937,1.0008925,7.9198275e-05,1.0,1
27624000,27624000,0.6999929,4.5641605e-06,-0.0013494045,1.0008806,2.0214338e-07,1.0,1
27720000,27720000,0.7,4.5262814e-06,-0.038295776,1.000875,0.00016280936,1.0,1
27824000,27824000,0.7,4.485935e-06,-0.010559149,1.0008714,1.2377617e-05,1.0,1
27920000,27920000,0.7,4.4492767e-06,-0.031415828,1.0008681,0.00010956647,1.0,1
28024000,28024000,0.7,4.4103626e-06,-0.015551638,1.0008594,2.6849531e-05,1.0,1
28120000,28120000,0.7,4.375181e-06,-0.05891768,1.000855,0.00038536973,1.0,1
28224000,28224000,0.7,4.337641e-06,-0.060376015,1.0008525,0.00040468425,1.0,1
28320000,28320000,0.7,4.303489e-06,-0.054823283,1.0008491,0.0003336714,1.0,1
28424000,28424000,0.7,4.267201e-06,-0.043691292,1.0008425,0.00021192471,1.0,1
28520000,28520000,0.7,4.2343e-06,-0.07329493,1.0008391,0.0005964047,1.0,1
28624000,28624000,0.7,4.199185e-06,-0.09842804,1.0008361,0.0010755539,1.0,1
28720000,28720000,0.7,4.167264e-06,-0.08985228,1.0008322,0.0008963021,1.0,1
28824000,28824000,0.7,4.1334706e-06,-0.081793465,1.0008225,0.00074274145,1.0,1
28920000,28920000,0.7,4.102942e-06,-0.12998037,1.0008174,0.0018756776,1.0,1
29024000,29024000,0.7,4.0704e-06,-0.09788725,1.0008138,0.0010637913,1.0,1
29120000,29120000,0.7,4.04085e-06,-0.11202133,1.00081,0.0013931801,1.0,1
29224000,29224000,0.7,4.0095188e-06,-0.14487003,1.0008013,0.0023300578,1.0,1
29320000,29320000,0.7,3.981173e-06,-0.14649217,1.0007974,0.0023825397,1.0,1
29424000,29424000,0.7,3.9509214e-06,-0.15695965,1.0007952,0.002735195,1.0,1
29520000,29520000,0.7,3.923369e-06,-0.16200641,1.0007927,0.002913921,1.0,1
29624000,29624000,0.7,3.894055e-06,-0.13833484,1.0007862,0.0021246106,1.0,1
29720000,29720000,0.7,3.8675535e-06,-0.14354393,1.0007807,0.0022876428,1.0,1
29824000,29824000,0.7,3.8393678e-06,-0.14362231,1.0007758,0.002290153,1.0,1
29920000,29920000,0.7,3.8138503e-06,-0.10759531,1.0007696,0.0012853164,1.0,1
30024000,30024000,0.7,3.7869418e-06,-0.090491325,1.0007583,0.0009091639,1.0,1
30120000,30120000,0.7,3.7627365e-06,-0.08493595,1.0007514,0.0008009666,1.0,1
30224000,30224000,0.7,3.7370673e-06,-0.06688387,1.000745,0.00049668015,1.0,1
30320000,30320000,0.7,3.7138498e-06,-0.04733289,1.0007395,0.00024874968,1.0,1
30424000,30424000,0.7,3.6892823e-06,-0.033252895,1.000731,0.00012277193,1.0,1
30520000,30520000,0.7,3.667153e-06,-0.02880019,1.0007238,9.209455e-05,1.0,1
30624000,30624000,0.7,3.6437116e-06,-0.03634339,1.0007176,0.00014665497,1.0,1
30728000,30728000,0.7,3.6207261e-06,-0.017557949,1.0007132,3.4229095e-05,1.0,1
30824000,30824000,0.6999995,3.5999367e-06,0.009306564,1.0007075,9.616766e-06,1.0,1
30920000,30920000,0.7,3.5795008e-06,-0.092935935,1.0007043,0.00095900113,1.0,1
31024000,31024000,0.7,3.5576652e-06,-0.03624121,1.0007021,0.00014583376,1.0,1
31120000,31120000,0.7,3.5377816e-06,-0.017890202,1.0007001,3.553727e-05,1.0,1
31224000,31224000,0.7,3.5165963e-06,-0.09430067,1.0006956,0.0009873818,1.0,1
31320000,31320000,0.7,3.4973318e-06,-0.087359786,1.0006936,0.00084738253,1.0,1
31424000,31424000,0.7,3.4767177e-06,-0.073395915,1.000692,0.0005981372,1.0,1
31520000,31520000,0.7,3.4579189e-06,-0.0768337,1.0006901,0.00065548293,1.0,1
31624000,31624000,0.7,3.4378968e-06,-0.10860743,1.0006856,0.0013097213,1.0,1
31720000,31720000,0.7,3.4197012e-06,-0.1393765,1.0006833,0.0021569498,1.0,1
31824000,31824000,0.7,3.400225e-06,-0.11975936,1.0006821,0.0015925032,1.0,1
31920000,31920000,0.7,3.3824874e-06,-0.12885731,1.0006794,0.0018436594,1.0,1
32024000,32024000,0.7,3.3636045e-06,-0.07744146,1.0006745,0.0006659042,1.0,1
32120000,32120000,0.7,3.3464926e-06,-0.11288618,1.0006709,0.0014149718,1.0,1
32224000,32224000,0.7,3.3282502e-06,-0.1234087,1.0006678,0.0016910604,1.0,1
32320000,32320000,0.7,3.311661e-06,-0.10970744,1.0006651,0.0013364137,1.0,1
32424000,32424000,0.7,3.2940404e-06,-0.09121249,1.0006592,0.0009238041,1.0,1
32520000,32520000,0.7,3.2780704e-06,-0.16654918,1.0006566,0.0030800477,1.0,1
32624000,32624000,0.7,3.260972e-06,-0.11642398,1.0006554,0.001505074,1.0,1
32728000,32728000,0.7,3.2441023e-06,-0.116002455,1.0006529,0.0014941988,1.0,1
32824000,32824000,0.7,3.2287985e-06,-0.075118154,1.0006485,0.0006265645,1.0,1
32920000,32920000,0.7,3.213773e-06,-0.08551462,1.0006449,0.00081200415,1.0,1
33024000,33024000,0.7,3.1977663e-06,-0.06441204,1.0006412,0.00046069475,1.0,1
33120000,33120000,0.7,3.1832603e-06,-0.027676292,1.0006369,8.5054395e-05,1.0,1
33224000,33224000,0.7,3.1679513e-06,-0.002338592,1.0006282,6.072865e-07,1.0,1
33320000,33320000,0.7,3.1542102e-06,-0.026927702,1.0006222,8.051671e-05,1.0,1
33424000,33424000,0.6999934,3.1396753e-06,-0.022753237,1.0006163,5.748788e-05,1.0,1
33520000,33520000,0.69998384,3.126545e-06,0.015773691,1.0006119,2.7628575e-05,1.0,1
33624000,33624000,0.69995594,3.1126635e-06,0.058501117,1.0006052,0.0003800345,1.0,1
33720000,33720000,0.6999299,3.1001637e-06,0.041996494,1.0006007,0.00019584963,1.0,1
33824000,33824000,0.6999114,3.0868614e-06,0.015016478,1.0005978,2.5039986e-05,1.0,1
33920000,33920000,0.6998985,3.0747374e-06,0.0016007461,1.0005964,2.8454008e-07,1.0,1
34024000,34024000,0.69988257,3.0618178e-06,0.03499369,1.0005928,0.00013598142,1.0,1
34128000,34128000,0.6998816,3.049099e-06,-0.018445067,1.0005915,3.777993e-05,1.0,1
34224000,34224000,0.6998926,3.0374488e-06,-0.04583034,1.0005918,0.00023324198,1.0,1
34320000,34320000,0.6999004,3.0258786e-06,-0.031878244,1.0005914,0.000112846865,1.0,1
34424000,34424000,0.69991577,3.013497e-06,-0.07081846,1.0005896,0.00055692217,1.0,1
34520000,34520000,0.6999335,3.0021836e-06,-0.06150853,1.0005888,0.00042011924,1.0,1
34624000,34624000,0.69996005,2.9900339e-06,-0.06954838,1.0005889,0.0005371256,1.0,1
34728000,34728000,0.69999987,2.9779587e-06,-0.08022019,1.0005897,0.00071460963,1.0,1
34824000,34824000,0.7,2.9668652e-06,-0.08290973,1.0005904,0.00076332974,1.0,1
34920000,34920000,0.7,2.9558491e-06,-0.091925114,1.00059,0.00093836046,1.0,1
35024000,35024000,0.7,2.9440198e-06,-0.079447076,1.0005895,0.0007009022,1.0,1
35120000,35120000,0.7,2.9332111e-06,-0.07716486,1.0005883,0.0006612127,1.0,1
35224000,35224000,0.7,2.9216958e-06,-0.09166376,1.0005845,0.00093303743,1.0,1
35320000,35320000,0.7,2.911228e-06,-0.10970804,1.000583,0.0013365379,1.0,1
35424000,35424000,0.7,2.900004e-06,-0.15682614,1.0005823,0.0027311246,1.0,1
35520000,35520000,0.7,2.8897261e-06,-0.07631208,1.0005821,0.00064668286,1.0,1
35624000,35624000,0.7,2.8787997e-06,-0.16449262,1.0005773,0.0030046902,1.0,1
35720000,35720000,0.7,2.8688664e-06,-0.1907937,1.0005765,0.0040423623,1.0,1
35824000,35824000,0.7,2.85818e-06,-0.19766946,1.000577,0.0043389653,1.0,1
35920000,35920000,0.7,2.8483787e-06,-0.16777074,1.0005769,0.0031256438,1.0,1
36024000,36024000,0.7,2.8379022e-06,-0.11172564,1.000574,0.001386162,1.0,1
36120000,36120000,0.7,2.828381e-06,-0.10533972,1.0005723,0.0012322344,1.0,1
36224000,36224000,0.7,2.818216e-06,-0.122205675,1.0005696,0.001658414,1.0,1
36328000,36328000,0.7,2.8082127e-06,-0.057280876,1.0005671,0.0003643599,1.0,1
36424000,36424000,0.7,2.799194e-06,-0.07256441,1.0005617,0.0005847375,1.0,1
36520000,36520000,0.7,2.790379e-06,-0.04211836,1.000558,0.00019699632,1.0,1
36624000,36624000,0.7,2.7810343e-06,-0.033775512,1.0005541,0.00012668372,1.0,1
36720000,36720000,0.7,2.7725882e-06,-0.022020709,1.0005505,5.3849424e-05,1.0,1
36824000,36824000,0.7,2.7636659e-06,-0.0156006,1.0005457,2.7027332e-05,1.0,1
36920000,36920000,0.7,2.755596e-06,-0.06416604,1.0005434,0.00045722717,1.0,1
37024000,37024000,0.7,2.7469737e-06,-0.04789052,1.0005422,0.00025469548,1.0,1
37120000,37120000,0.7,2.7390943e-06,-0.108360775,1.0005416,0.0013039669,1.0,1
37224000,37224000,0.7,2.7306887e-06,-0.099792704,1.0005385,0.0011059138,1.0,1
37320000,37320000,0.7,2.723024e-06,-0.1066942,1.0005386,0.0012641693,1.0,1
37424000,37424000,0.7,2.7147655e-06,-0.10352281,1.0005388,0.0011901334,1.0,1
37528000,37528000,0.7,2.7065603e-06,-0.12189256,1.0005385,0.0016499776,1.0,1
37624000,37624000,0.7,2.6991015e-06,-0.13932304,1.000536,0.0021556125,1.0,1
37720000,37720000,0.7,2.6917342e-06,-0.13945475,1.0005356,0.0021596907,1.0,1
37824000,37824000,0.7,2.6837888e-06,-0.17907396,1.0005368,0.003561142,1.0,1
37920000,37920000,0.7,2.6764508e-06,-0.089180715,1.0005379,0.00088321377,1.0,1
38024000,38024000,0.7,2.6686052e-06,-0.16827647,1.0005352,0.003144647,1.0,1
38120000,38120000,0.7,2.6614516e-06,-0.15700054,1.0005349,0.0027373324,1.0,1
38224000,38224000,0.7,2.653752e-06,-0.12631166,1.0005351,0.0017717893,1.0,1
38320000,38320000,0.7,2.646695e-06,-0.13028091,1.0005347,0.0018848939,1.0,1
38424000,38424000,0.7,2.6391783e-06,-0.14938326,1.0005314,0.0024781674,1.0,1
38520000,38520000,0.7,2.6323446e-06,-0.1328769,1.0005304,0.001960768,1.0,1
38624000,38624000,0.7,2.6250273e-06,-0.12050105,1.000529,0.001612536,1.0,1
38728000,38728000,0.7,2.617813e-06,-0.09111587,1.0005268,0.0009219701,1.0,1
38824000,38824000,0.7,2.6113469e-06,-0.118095085,1.0005214,0.0015487978,1.0,1
38920000,38920000,0.7,2.605021e-06,-0.16570781,1.0005198,0.003049424,1.0,1
39024000,39024000,0.7,2.5982356e-06,-0.1517038,1.0005194,0.0025557885,1.0,1
