timestamp,timestamp_sample,baro_device_id,bias,bias_var,innov,innov_var,innov_test_ratio
8312000,8180000,6620172,-0.004727834,0.086328775,-0.06386454,13.336895,3.3979915e-05
13512000,13400000,6620172,-0.0035243116,0.07959486,0.08512085,13.330076,6.039441e-05
19912000,19808000,6620172,-0.0022280677,0.07262409,0.08840599,13.323025,6.518055e-05
27512000,27392000,6620172,-0.000898484,0.06578441,0.19304958,13.3161125,0.00031096945
41112000,40975000,6620172,-0.0019291799,0.056300662,-0.029537883,13.3065405,7.2853604e-06
53912000,53780000,6620172,-0.002967035,0.049578447,-0.12120475,13.299765,0.00012273058
61920000,61832000,6620172,-0.0017412831,0.04613765,0.07711356,13.296299,4.96922e-05
71120000,71000000,6620172,-0.0028824261,0.042729083,-0.087426364,13.292868,6.388864e-05
81116000,81007989,6620172,-0.0017997063,0.039554905,0.029842896,13.289674,7.446036e-06
83916000,83828000,6620172,-0.00071897043,0.038749292,0.15504202,13.288863,0.00020098724
86316000,86228000,6620172,0.00065854844,0.038084596,0.30671108,13.288195,0.00078659365
97920000,97808000,6620172,-0.00035349515,0.035170056,-0.12910908,13.285264,0.00013941224
124328000,124232000,6620172,-0.0015279975,0.029893173,-0.08554855,13.279961,6.123307e-05
187932000,187832000,6620172,-0.002667247,0.0220721,-0.10181143,13.272109,8.677819e-05
211128000,211004000,6620172,-0.0037626913,0.020158475,-0.07368095,13.270189,4.545596e-05
