timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count
80944000,80944000,197388,-0.005769233,-0.21848018,0.4246449,11.791346,0
81940000,81940000,197388,-0.002370323,-0.2856663,0.38572046,11.791254,0
82936000,82936000,197388,-0.012770957,-0.28625295,0.38929838,11.791132,0
83944000,83944000,197388,-0.0047623576,-0.22021396,0.4332217,11.790979,0
84940000,84940000,197388,-0.00800358,-0.13798319,0.45851484,11.79104,0
85936000,85936000,197388,-0.011874396,-0.12277502,0.46292058,11.7911625,0
86944000,86944000,197388,-0.012098338,-0.18733987,0.4296621,11.79104,0
87936000,87936000,197388,-0.0075898706,-0.27430716,0.39456248,11.790888,0
88936000,88936000,197388,-0.006790769,-0.28808612,0.38332465,11.79101,0
89940000,89940000,197388,-0.001301258,-0.24100517,0.41645685,11.791101,0
90940000,90940000,197388,-0.007607372,-0.16276512,0.45010945,11.791224,0
91936000,91936000,197388,-0.003770808,-0.13000129,0.4662618,11.791468,0
92944000,92944000,197388,-0.0068046995,-0.17338155,0.44631907,11.791681,0
93940000,93940000,197388,-0.0092507005,-0.2517598,0.40450165,11.791742,0
94944000,94944000,197388,-0.008323484,-0.29778284,0.38256,11.791864,0
95944000,95944000,197388,0.0010736642,-0.26895466,0.4005328,11.791925,0
96940000,96940000,197388,-0.012132468,-0.18608218,0.43995383,11.791925,0
97936000,97936000,197388,-0.0012300813,-0.12776324,0.46176282,11.792078,0
98944000,98944000,197388,-0.008199625,-0.15302478,0.45157784,11.792109,0
99940000,99940000,197388,-0.008401389,-0.23244368,0.41553375,11.791895,0
100948000,100948000,197388,-0.00498856,-0.28758207,0.38228685,11.791925,0
101944000,101944000,197388,0.0018551204,-0.27422264,0.38730004,11.791986,0
102940000,102940000,197388,-0.009054633,-0.20537916,0.43242776,11.7920475,0
103936000,103936000,197388,-0.008419167,-0.13946478,0.45829728,11.792139,0
104944000,104944000,197388,-0.0056455,-0.12711877,0.4643106,11.79217,0
105940000,105940000,197388,-0.013422345,-0.2089125,0.43891555,11.7920475,0
106936000,106936000,197388,-0.0063110385,-0.28611442,0.38909528,11.791956,0
107944000,107944000,197388,-0.008353831,-0.30227545,0.38267872,11.792078,0
108940000,108940000,197388,-0.013065345,-0.2325241,0.42086288,11.792109,0
109932000,109932000,197388,-0.010288663,-0.15805812,0.46312213,11.792078,0
110944000,110944000,197388,-0.010350129,-0.12600793,0.46275583,11.7920475,0
111936000,111936000,197388,-0.008741824,-0.17470734,0.4431852,11.791712,0
112932000,112932000,197388,-0.0043566767,-0.26489937,0.4019605,11.791254,0
113940000,113940000,197388,-0.005950227,-0.28487927,0.3783233,11.7911625,0
114940000,114940000,197388,-0.0013924686,-0.25356346,0.40077627,11.791224,0
115936000,115936000,197388,-0.006100831,-0.17506337,0.44761148,11.791285,0
116944000,116944000,197388,-0.0063907737,-0.11933651,0.46789235,11.791468,0
117936000,117936000,197388,-0.004568967,-0.15617019,0.45450053,11.79159,0
118936000,118936000,197388,-0.0050440794,-0.24021628,0.41725236,11.79159,0
119944000,119944000,197388,-0.004207686,-0.28930023,0.3856751,11.791803,0
120940000,120940000,197388,-0.0049581174,-0.27693236,0.39194584,11.791925,0
121948000,121948000,197388,-0.0051912363,-0.1915281,0.43546417,11.7920475,0
122944000,122944000,197388,-0.0048906,-0.13220854,0.4644572,11.792292,0
123936000,123936000,197388,-0.008853083,-0.14093956,0.45400903,11.792383,0
124932000,124932000,197388,-0.01340427,-0.21674645,0.42653647,11.792292,0
125940000,125940000,197388,-0.010599871,-0.28585538,0.3902404,11.792322,0
126940000,126940000,197388,-0.006706817,-0.2851469,0.38809115,11.792414,0
127936000,127936000,197388,-0.002641239,-0.22051069,0.4255625,11.792444,0
128944000,128944000,197388,-0.007457489,-0.14194725,0.45872697,11.792475,0
129940000,129940000,197388,-0.0044525224,-0.12552467,0.4624246,11.792536,0
130936000,130936000,197388,-0.009044383,-0.1905145,0.4373613,11.792383,0
131944000,131944000,197388,-0.006135353,-0.27426338,0.40520835,11.7922,0
132940000,132940000,197388,-0.0064861747,-0.29570505,0.38899833,11.79217,0
133936000,133936000,197388,-0.007858577,-0.24033333,0.41286653,11.792017,0
134944000,134944000,197388,-0.01388818,-0.1564464,0.45504677,11.791956,0
135940000,135940000,197388,-0.0074572847,-0.12143616,0.47175106,11.792017,0
136936000,136936000,197388,-0.008964966,-0.16301146,0.4546011,11.791925,0
137944000,137944000,197388,-0.005453641,-0.24828413,0.4096722,11.791529,0
138940000,138940000,197388,-0.0040328796,-0.2893366,0.3805403,11.791315,0
139936000,139936000,197388,-0.0058497293,-0.2594382,0.4038809,11.791101,0
140944000,140944000,197388,-0.0056172507,-0.18523338,0.44772112,11.790918,0
141940000,141940000,197388,-0.007846171,-0.12002808,0.4582886,11.790888,0
142936000,142936000,197388,-0.00865589,-0.13707279,0.45897892,11.790918,0
143940000,143940000,197388,-0.0041219783,-0.22795986,0.42138827,11.790918,0
144940000,144940000,197388,-0.008315204,-0.29069823,0.38527286,11.791132,0
145936000,145936000,197388,-0.004192941,-0.28370994,0.3908403,11.791376,0
146944000,146944000,197388,2.9035633e-05,-0.20606114,0.43007934,11.791559,0
147936000,147936000,197388,-0.008399945,-0.130124,0.457422,11.791925,0
