timestamp,timestamp_sample,baro_device_id,bias,bias_var,innov,innov_var,innov_test_ratio
6908000,6791996,6620172,-0.0024043617,0.08923359,-0.17252462,13.339839,0.00024791856
8908000,8796000,6620172,-0.0038208647,0.086329564,-0.07239545,13.336896,4.366418e-05
11712000,11591997,6620172,-0.004852647,0.08256792,-0.017964378,13.333086,2.6893738e-06
21112000,21012000,6620172,-0.005973578,0.071838,-0.061989464,13.322229,3.2049138e-05
27112000,27000000,6620172,-0.007047985,0.06644329,-0.026194945,13.316778,5.7252346e-06
29112000,29026000,6620172,-0.0060008774,0.06482103,0.07015635,13.31514,4.107199e-05
32712000,32628000,6620172,-0.007450633,0.062092427,-0.14238654,13.312385,0.00016921526
34312000,34224000,6620172,-0.008643815,0.06095223,-0.07847867,13.3112335,5.140939e-05
40704000,40605333,6620172,-0.009684432,0.056782346,-0.053165477,13.307027,2.3601298e-05
61912000,61776000,6620172,-0.010766856,0.046298206,-0.08103853,13.29646,5.487879e-05
67104000,67020000,6620172,-0.01183346,0.044293873,-0.12821306,13.294442,0.000137389
70312000,70188000,6620172,-0.012977656,0.04314467,-0.05614437,13.293285,2.634739e-05
116528000,116424000,6620172,-0.01406071,0.031293154,-0.17134151,13.281367,0.00024560653
125336000,125208000,6620172,-0.015067466,0.029693097,-0.089105606,13.279759,6.6432e-05
150544000,150444000,6620172,-0.016117854,0.026001267,-0.20303057,13.276052,0.0003449939
168952000,168852000,6620172,-0.017129907,0.023830632,-0.035638046,13.273873,1.063133e-05
181960000,181872000,6620172,-0.018192325,0.0225136,-0.067982756,13.272552,3.8690167e-05
