timestamp,timestamp_sample,device_id,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2],calibration_count
14308000,14272000,197388,0.007555709,-0.21505314,0.43027776,0
14368000,14344000,197388,0.00871728,-0.21703224,0.43238854,0
14452000,14414857,197388,0.008741624,-0.21295135,0.42734057,0
14500000,14482000,197388,0.011465151,-0.2159884,0.43135026,0
14596000,14553500,197388,0.010198931,-0.21789049,0.43001693,0
14644000,14626000,197388,0.010978574,-0.21844932,0.428592,0
14740000,14698000,197388,0.011612018,-0.21590519,0.43113056,0
14788000,14770000,197388,0.009540319,-0.21646124,0.42986473,0
14880000,14841000,197388,0.012606686,-0.21632753,0.4284596,0
14932000,14913000,197388,0.012837652,-0.21728542,0.42930317,0
15028000,14985000,197388,0.013459938,-0.21559022,0.43117696,0
15076000,15057000,197388,0.013193283,-0.2189645,0.42763895,0
15172000,15129500,197388,0.011642596,-0.21865651,0.42876646,0
15220000,15201000,197388,0.0117833335,-0.21783009,0.4267796,0
15316000,15273500,197388,0.011996265,-0.21826106,0.42682078,0
15364000,15346000,197388,0.012274003,-0.21715772,0.43027768,0
15456000,15417000,197388,0.010912314,-0.21676451,0.42783162,0
15496000,15484000,197388,0.012651496,-0.21871349,0.42768773,0
15604000,15555555,197388,0.011509132,-0.21725418,0.42833787,0
15640000,15628000,197388,0.009776911,-0.2180702,0.42694056,0
15748000,15699111,197388,0.011179884,-0.2199414,0.4292491,0
15772000,15766000,197388,0.009181347,-0.21440111,0.42548952,0
15892000,15836800,197388,0.011427905,-0.2197086,0.42750183,0
15904000,15904000,197388,0.010340451,-0.2163884,0.42528766,0
16036000,15975636,197388,0.009374936,-0.21713433,0.42700934,0
16048000,16048000,197388,0.005399885,-0.22237043,0.4292777,0
16180000,16119272,197388,0.00751152,-0.21667251,0.4285849,0
16192000,16192000,197388,0.004164249,-0.2203712,0.42596513,0
16324000,16263636,197388,0.0079236515,-0.21723035,0.4281436,0
16336000,16336000,197388,0.007414432,-0.21917556,0.4261235,0
16468000,16408000,197388,0.0060866713,-0.2177483,0.42899412,0
16480000,16480000,197388,0.007896054,-0.21996334,0.43206367,0
16608000,16551272,197388,0.004602257,-0.21713643,0.42727256,0
16624000,16624000,197388,0.0040582027,-0.21848449,0.42920116,0
16756000,16696000,197388,0.0029342365,-0.21703455,0.4295101,0
16768000,16768000,197388,0.004712041,-0.22192772,0.42607373,0
16900000,16839636,197388,0.005498582,-0.21845764,0.4293685,0
16912000,16912000,197388,0.0074521867,-0.2250842,0.43369362,0
17040000,16983636,197388,0.005275561,-0.21923374,0.42712674,0
17056000,17056000,197388,0.008403404,-0.21449137,0.4245214,0
17188000,17127636,197388,0.0041821795,-0.21702406,0.42770877,0
17200000,17200000,197388,-0.0017310029,-0.22136195,0.4312098,0
17332000,17270909,197388,0.0043913964,-0.22078845,0.42699862,0
17340000,17340000,197388,0.007352977,-0.22183242,0.42859888,0
17464000,17409200,197388,0.006882979,-0.22000583,0.4275193,0
17476000,17476000,197388,0.01499941,-0.21907844,0.4242741,0
17608000,17546909,197388,0.007025408,-0.21850006,0.4261408,0
17620000,17620000,197388,0.016849432,-0.22452989,0.42827827,0
17752000,17691272,197388,0.0074019697,-0.21755904,0.4277811,0
17760000,17760000,197388,0.011355483,-0.2144909,0.42879835,0
17884000,17829600,197388,0.0067057195,-0.21913889,0.42732364,0
17908000,17902000,197388,0.0022326163,-0.21613617,0.42568913,0
18028000,17972800,197388,0.0068975613,-0.2200182,0.42543975,0
18052000,18044000,197388,0.0017070152,-0.22253177,0.43067688,0
18160000,18112000,197388,0.005465683,-0.21860844,0.42690244,0
18196000,18182666,197388,0.0038915807,-0.21708153,0.4296171,0
18288000,18249500,197388,0.004040994,-0.21860729,0.4303606,0
18340000,18322000,197388,0.0011187785,-0.2162098,0.4272088,0
18432000,18393500,197388,0.0023292406,-0.21609017,0.42693835,0
18484000,18466000,197388,0.002691292,-0.21544,0.42996782,0
18580000,18537500,197388,0.0014462918,-0.21529303,0.4301695,0
18628000,18610000,197388,0.0027411527,-0.21596116,0.4293952,0
18724000,18682000,197388,0.0031055105,-0.21437976,0.42845094,0
18772000,18754000,197388,0.005563906,-0.21587901,0.42838526,0
18868000,18826000,197388,0.0020861793,-0.21523009,0.42996046,0
18916000,18898000,197388,0.0014048035,-0.21177028,0.431293,0
19012000,18970000,197388,0.0041075614,-0.21470515,0.42991185,0
19060000,19042000,197388,0.003553629,-0.21347675,0.43096164,0
19156000,19114000,197388,0.0035201744,-0.21410015,0.4305821,0
19200000,19185000,197388,0.002009125,-0.21543957,0.42605463,0
19288000,19252000,197388,0.004628272,-0.2132317,0.43038005,0
19348000,19323200,197388,0.0025013261,-0.21419445,0.42954078,0
19432000,19394857,197388,0.0006120532,-0.21461864,0.43177027,0
19480000,19462000,197388,0.0029558097,-0.21254155,0.42602417,0
19576000,19534000,197388,0.0015623592,-0.213885,0.43149903,0
19624000,19606000,197388,0.0021436294,-0.21450774,0.43196136,0
19720000,19677500,197388,0.0009774077,-0.21427697,0.43043342,0
19768000,19750000,197388,0.0018478194,-0.21238983,0.42598534,0
19860000,19820500,197388,-0.00026261597,-0.21439324,0.42896444,0
19900000,19888000,197388,0.005232969,-0.21294329,0.4291639,0
20008000,19960000,197388,0.00067665137,-0.21471928,0.4313077,0
20044000,20032000,197388,0.002599405,-0.2126556,0.43265718,0
20152000,20103111,197388,-0.00046215826,-0.21542089,0.42997834,0
20176000,20170000,197388,-0.00026694767,-0.21460232,0.43446606,0
20296000,20242000,197388,0.000973667,-0.21546996,0.42984992,0
20320000,20314000,197388,-0.000847825,-0.21194836,0.42814732,0
20440000,20386000,197388,0.0015061268,-0.21905851,0.43052217,0
20464000,20458000,197388,0.0023408863,-0.21774098,0.4285608,0
20580000,20529200,197388,0.004425884,-0.21502185,0.4269224,0
20596000,20596000,197388,0.0031139285,-0.21038046,0.42654338,0
20728000,20667272,197388,0.0018277841,-0.21771955,0.42844236,0
20736000,20736000,197388,0.0012882841,-0.21996851,0.42882225,0
20860000,20805200,197388,0.0018867666,-0.21657589,0.4285283,0
20872000,20872000,197388,0.006548198,-0.21286173,0.42247295,0
21004000,20942545,197388,0.00321141,-0.2162167,0.42764148,0
21016000,21016000,197388,0.0035702544,-0.21390112,0.4306087,0
21148000,21087272,197388,0.0034358322,-0.21457608,0.43018785,0
21160000,21160000,197388,-0.00081283494,-0.2170268,0.4260057,0
21292000,21231636,197388,0.0014202326,-0.21634787,0.42964396,0
21304000,21304000,197388,-0.000254314,-0.2063622,0.432688,0
21436000,21375272,197388,0.004776544,-0.1965176,0.4386415,0
21448000,21448000,197388,-0.001673238,-0.1903807,0.4403083,0
21580000,21518909,197388,0.0017464961,-0.1834801,0.44475532,0
21592000,21592000,197388,-0.0012861828,-0.17766114,0.4519243,0
21724000,21664000,197388,0.003195153,-0.17024702,0.4477182,0
21736000,21736000,197388,0.0020191814,-0.16128477,0.45118102,0
21864000,21806545,197388,0.0027714751,-0.15990372,0.4538592,0
21880000,21880000,197388,0.0048208265,-0.15912737,0.454086,0
22012000,21951636,197388,0.00086865644,-0.14949977,0.45714155,0
22024000,22024000,197388,0.0072665527,-0.14376627,0.46184757,0
22152000,22095636,197388,0.0010774226,-0.14070714,0.46024767,0
22164000,22164000,197388,-0.0010995653,-0.13377807,0.45652393,0
22288000,22233600,197388,0.0018739359,-0.13102084,0.46051627,0
22312000,22306000,197388,0.0024538247,-0.12826686,0.46132725,0
22432000,22378000,197388,-0.0010793642,-0.1272051,0.4631898,0
22456000,22450000,197388,0.0014525254,-0.122993514,0.46696776,0
22572000,22521600,197388,-0.0005763743,-0.12280046,0.4658973,0
22600000,22594000,197388,-0.0003550799,-0.124,0.46316105,0
22720000,22665600,197388,0.00024101697,-0.119885184,0.46441254,0
22744000,22738000,197388,-7.052056e-05,-0.118986994,0.46871203,0
22864000,22810000,197388,-0.00086948334,-0.11932021,0.46537548,0
22888000,22882000,197388,-0.001345702,-0.11519505,0.46054786,0
23008000,22953200,197388,-0.00062750414,-0.11941844,0.46279868,0
23020000,23020000,197388,-0.0032449102,-0.12055507,0.46600848,0
23152000,23092000,197388,4.087321e-06,-0.123803936,0.46313,0
23164000,23164000,197388,-0.0044280346,-0.12992594,0.45973897,0
23292000,23234909,197388,-0.0021322854,-0.12778409,0.46255463,0
23308000,23308000,197388,0.0003364236,-0.12999752,0.4637113,0
23440000,23380000,197388,-0.002883584,-0.13412857,0.4590921,0
23452000,23452000,197388,-0.00014275577,-0.13960911,0.45543295,0
23584000,23524000,197388,-0.0034212216,-0.14184307,0.45917287,0
23592000,23592000,197388,-0.0054068407,-0.15007663,0.45595616,0
23716000,23661200,197388,-0.0052079945,-0.15355489,0.45217186,0
23728000,23728000,197388,-0.0034477822,-0.15424159,0.46142548,0
23860000,23800000,197388,-0.0028920188,-0.16336492,0.45257396,0
23872000,23872000,197388,-0.0038791469,-0.16918828,0.45297247,0
24004000,23944000,197388,-0.0063865674,-0.1741421,0.4455467,0
24016000,24016000,197388,0.00060309714,-0.18080471,0.44110194,0
24148000,24087636,197388,-0.0050772117,-0.18796447,0.44026038,0
24160000,24160000,197388,-0.0049455375,-0.19576389,0.44732374,0
