timestamp,timestamp_sample,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],control_mode_flags,filter_fault_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,accel_device_id,gyro_device_id,baro_device_id,mag_device_id,gps_check_fail_flags,innovation_check_flags,solution_status_flags,reset_count_vel_ne,reset_count_vel_d,reset_count_pos_ne,reset_count_pod_d,reset_count_quat,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,pre_flt_fail_mag_field_disturbed,health_flags,timeout_flags
8268000,8180000,9.235624e-05,0.0022318373,0.0005461884,67109399,0,0.5000098,0.3130662,0.00636361,0.013597082,0.0002401835,0.00035084801,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8276000,8188000,8.591067e-05,0.0021556325,0.0005391033,67109399,0,0.5000104,0.31306666,0.00636361,0.013597082,0.0002401835,0.00035084801,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8460000,8372000,0.00036851314,0.0025621546,0.0009679952,67109399,0,0.5000104,0.30937594,0.004617448,0.013597082,0.0002401835,0.0017804615,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8668000,8580000,0.00020522822,0.0019881635,0.0012378087,67109399,0,0.47141516,0.30465317,0.0063789585,0.0016443207,0.002121598,0.0001094463,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
8868000,8780000,0.00016326975,0.0016831041,0.0006301179,67109399,0,0.4714164,0.30124974,0.0026301509,0.0016443207,0.002121598,0.0057959333,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
9060000,8972000,0.00010061137,0.00068537635,0.0003306116,67109399,0,0.4472249,0.2979577,0.0039473325,0.0006726457,0.00018749402,0.0017010429,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
9268000,9188000,0.00013957014,0.00026224574,0.0003956169,67109399,0,0.44722673,0.29373196,0.0013882692,0.0006726457,0.00018749402,0.0044381106,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
9460000,9380000,0.0005004663,0.0025570325,0.0008812932,67109399,0,0.42641422,0.29067808,0.002712283,0.015276401,0.00023539113,0.001247767,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
9660000,9580000,0.00032059307,0.0034650436,0.0013688983,67109399,0,0.42641577,0.28675038,0.003811869,0.015276401,0.00023539113,0.004096464,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
9864000,9780000,0.00029915333,0.001686616,0.0012122074,67109399,0,0.4082625,0.28390726,0.0046047,0.013216469,0.00018709803,0.0064014774,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10064000,9980000,0.0003257508,0.0017130774,0.0011061704,67109399,0,0.40826428,0.28114715,0.0055679283,0.013216469,0.00018709803,8.517309e-05,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10264000,10180000,0.00012224552,0.0018308088,0.0008970359,67109399,0,0.39224818,0.2775889,0.0026516847,0.013339692,0.00020060323,0.004078212,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10464000,10380000,0.00032764525,0.0024061007,0.00094183144,67109399,0,0.39225,0.2750075,0.0023191278,0.013339692,0.00020060323,0.0016028695,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10660000,10572000,0.00028140916,0.0013112777,0.00032285356,67109399,0,0.3779821,0.2724968,0.0051574158,0.0069736023,0.0012597021,0.002086282,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
10860000,10772000,0.00038841533,0.0013128431,0.00032861263,67109399,0,0.37798408,0.2692535,0.0065647927,0.0069736023,0.0012597021,0.0018186736,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11060000,10972000,0.0005302731,0.0021014,0.0018435554,67109399,0,0.365168,0.266896,0.0094073,0.006205197,0.0017672929,0.0056023616,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11260000,11172000,9.824259e-05,0.001219731,0.0011796284,67109399,0,0.36517012,0.26459947,0.011884443,0.006205197,0.0017672929,0.0043593496,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11460000,11380000,0.00048080247,0.003044367,0.0008020466,67109399,0,0.35357505,0.26162708,0.0045353947,0.012442702,0.00020985653,0.0008451456,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11660000,11580000,0.0005478754,0.0016566949,0.0006486963,67109399,0,0.35357735,0.2594629,0.00043358377,0.012442702,0.00020985653,0.00051997986,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
11860000,11780000,0.00016344429,0.0017777759,0.00028062254,67109399,0,0.34302124,0.2566587,0.0014788514,0.018013055,0.000175025,0.00052870665,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12068000,11988000,0.0001903591,0.0007532532,0.00050121255,1049239,0,0.33336985,0.254623,0.005682677,0.013713931,0.0001699231,0.0042802724,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12268000,12188000,0.00068396656,0.00037948825,0.0009255678,1049239,0,0.33345586,0.25202733,0.0049292827,0.013713931,0.0001699231,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12468000,12388000,0.0003714379,0.0003491446,0.0003104592,1049239,0,0.32478872,0.25024962,0.006434964,0.0018834934,0.00022743561,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12668000,12588000,0.000116735304,0.00037725654,0.00042976355,1049239,0,0.32528844,0.24868552,0.00050336914,0.0018834934,0.00022743561,0.0031762496,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
12868000,12788000,0.00068876706,0.00033237046,0.000657164,1049239,0,0.31786415,0.24679132,0.020482378,0.005871426,0.00029899925,0.003181586,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13068000,12988000,0.0004530633,0.0003384006,0.00039575208,1049239,0,0.31930214,0.24590603,0.01789111,0.005871426,0.00029899925,0.0034878117,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13260000,13180000,0.00021156657,0.0005007607,0.00077038514,1049239,0,0.31337845,0.2454005,0.012488278,0.010358426,0.00042928325,0.00913977,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13460000,13380000,0.00011155677,0.00036497938,0.0009909705,1049239,0,0.3164171,0.244944,0.0043359473,0.010358426,0.00042928325,0.006798314,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13660000,13580000,0.00024969064,0.0005872789,0.0006300427,1049239,0,0.31248048,0.24566019,0.012899293,0.005724824,0.00081566785,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
13860000,13780000,7.224804e-05,0.00075045327,0.0003812605,1049239,0,0.3179579,0.24725659,0.009860547,0.005724824,0.00081566785,0.0040618177,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14060000,13980000,6.483425e-05,0.00086410134,0.0010181216,1049239,0,0.31603417,0.24880919,0.0072956644,0.015785169,0.0029149593,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14268000,14188000,2.7585196e-05,0.0003662491,0.00042954512,1049239,0,0.32513693,0.25243932,0.0020979159,0.015785169,0.0029149593,0.0008053244,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14460000,14380000,0.00011190482,0.0020680805,0.00249271,1049239,0,0.324438,0.2559685,0.001124448,0.024065657,0.0018481521,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14660000,14580000,0.000103116115,0.0008514789,0.0011128762,1049239,0,0.33687615,0.26068813,0.0011106986,0.024065657,0.0018481521,0.003895427,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
14860000,14780000,0.00020829195,0.001823721,0.002681275,1049239,0,0.33718148,0.26593646,0.013602827,0.015045604,0.0030255374,1.1754944e-38,0.0,0.0,0.0,0.0,1311004,1311004,6620172,197388,0,0,895,2,1,2,0,2,0,0,0,0,0,0,0
