timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
8264000,0.00092228083,0,0,0,0,0,0,0,0
8768000,-9.4450486e-05,0,0,0,0,0,0,0,0
9272000,-0.0014979589,0,0,0,0,0,0,0,0
9776000,-0.0008030011,0,0,0,0,0,0,0,0
10280000,-0.0016161103,0,0,0,0,0,0,0,0
10784000,-0.00097405736,0,0,0,0,0,0,0,0
11288000,0.0011492196,0,0,0,0,0,0,0,0
11792000,0.00081122865,0,0,0,0,0,0,0,0
12296000,-0.0006432212,0,0,0,0,0,0,0,0
12800000,-3.501348e-05,0,0,0,0,0,0,0,0
13304000,-0.0020183085,0,0,0,0,0,0,0,0
13808000,-0.011110239,0,0,0,0,0,0,0,0
14312000,-0.010437253,0,0,0,0,0,0,0,0
14816000,-0.008212534,0,0,0,0,0,0,0,0
15320000,-0.0035346388,0,0,0,0,0,0,0,0
15824000,-0.002398611,0,0,0,0,0,0,0,0
16328000,-0.00021945918,0,0,0,0,0,0,0,0
16832000,-0.003013037,0,0,0,0,0,0,0,0
17336000,-0.0015451751,0,0,0,0,0,0,0,0
17840000,-0.0020443758,0,0,0,0,0,0,0,0
18344000,-0.0025097076,0,0,0,0,0,0,0,0
18848000,-0.0027013158,0,0,0,0,0,0,0,0
19352000,-0.0008514231,0,0,0,0,0,0,0,0
19856000,-0.001501237,0,0,0,0,0,0,0,0
20360000,-0.13197136,0,0,0,0,0,0,0,0
20864000,-0.21651606,0,0,0,0,0,0,0,0
21368000,-0.09770078,0,0,0,0,0,0,0,0
21872000,-0.045740914,0,0,0,0,0,0,0,0
22376000,-0.021544417,0,0,0,0,0,0,0,0
22880000,-0.009623796,0,0,0,0,0,0,0,0
23384000,-0.0083366,0,0,0,0,0,0,0,0
23888000,-0.022347322,0,0,0,0,0,0,0,0
24392000,-0.00970922,0,0,0,0,0,0,0,0
24896000,-0.0051719197,0,0,0,0,0,0,0,0
25400000,-0.0020645142,0,0,0,0,0,0,0,0
25904000,0.001580409,0,0,0,0,0,0,0,0
26408000,0.0023862813,0,0,0,0,0,0,0,0
26912000,-0.0011814663,0,0,0,0,0,0,0,0
27416000,-0.0005760548,0,0,0,0,0,0,0,0
27920000,-0.0006546042,0,0,0,0,0,0,0,0
28424000,0.0013423649,0,0,0,0,0,0,0,0
28928000,0.0048413845,0,0,0,0,0,0,0,0
29432000,0.0022143424,0,0,0,0,0,0,0,0
29936000,0.00065450923,0,0,0,0,0,0,0,0
30440000,-0.000573474,0,0,0,0,0,0,0,0
30944000,-0.0019487374,0,0,0,0,0,0,0,0
31448000,-0.0005013902,0,0,0,0,0,0,0,0
31952000,-0.0010554284,0,0,0,0,0,0,0,0
32456000,0.0013126025,0,0,0,0,0,0,0,0
32960000,0.0022344736,0,0,0,0,0,0,0,0
33464000,-6.127838e-05,0,0,0,0,0,0,0,0
33968000,0.0011170545,0,0,0,0,0,0,0,0
34472000,-0.0011545714,0,0,0,0,0,0,0,0
34976000,-1.7572544e-05,0,0,0,0,0,0,0,0
35480000,0.0020688989,0,0,0,0,0,0,0,0
35984000,0.0013849192,0,0,0,0,0,0,0,0
36488000,-0.0014015054,0,0,0,0,0,0,0,0
36992000,0.00010171815,0,0,0,0,0,0,0,0
37496000,-0.0012674169,0,0,0,0,0,0,0,0
38000000,0.0014241451,0,0,0,0,0,0,0,0
38504000,0.00018312573,0,0,0,0,0,0,0,0
39008000,0.002496879,0,0,0,0,0,0,0,0
39512000,-3.7071266e-05,0,0,0,0,0,0,0,0
40016000,-0.0025340957,0,0,0,0,0,0,0,0
40520000,-0.00288859,0,0,0,0,0,0,0,0
41024000,-0.0005775932,0,0,0,0,0,0,0,0
41528000,0.0020934225,0,0,0,0,0,0,0,0
42032000,-0.0001645759,0,0,0,0,0,0,0,0
42536000,0.00063676364,0,0,0,0,0,0,0,0
43040000,-0.0010013862,0,0,0,0,0,0,0,0
43544000,-0.0037412823,0,0,0,0,0,0,0,0
44048000,-0.0043079685,0,0,0,0,0,0,0,0
44552000,-0.0015157369,0,0,0,0,0,0,0,0
45056000,-0.00010633399,0,0,0,0,0,0,0,0
45560000,0.0010169657,0,0,0,0,0,0,0,0
46064000,-0.0009396623,0,0,0,0,0,0,0,0
46568000,-0.0020550075,0,0,0,0,0,0,0,0
47072000,-0.0010614527,0,0,0,0,0,0,0,0
47576000,0.0003931456,0,0,0,0,0,0,0,0
48080000,-0.0016475888,0,0,0,0,0,0,0,0
48584000,0.0012430231,0,0,0,0,0,0,0,0
49088000,-0.0016440758,0,0,0,0,0,0,0,0
49592000,-0.00072257704,0,0,0,0,0,0,0,0
50096000,0.002398455,0,0,0,0,0,0,0,0
50600000,0.0018769212,0,0,0,0,0,0,0,0
51104000,0.00068502186,0,0,0,0,0,0,0,0
51608000,0.0009215474,0,0,0,0,0,0,0,0
52112000,0.0024717047,0,0,0,0,0,0,0,0
52616000,0.001982543,0,0,0,0,0,0,0,0
53120000,-0.00073721126,0,0,0,0,0,0,0,0
53624000,0.0013784231,0,0,0,0,0,0,0,0
54128000,0.00028865435,0,0,0,0,0,0,0,0
54632000,0.0034359966,0,0,0,0,0,0,0,0
55136000,0.000819171,0,0,0,0,0,0,0,0
55640000,0.0003832953,0,0,0,0,0,0,0,0
56144000,0.0021564048,0,0,0,0,0,0,0,0
56648000,0.0002597082,0,0,0,0,0,0,0,0
57152000,0.0012773537,0,0,0,0,0,0,0,0
57656000,0.0013382633,0,0,0,0,0,0,0,0
58160000,0.0011867525,0,0,0,0,0,0,0,0
58664000,0.0016829914,0,0,0,0,0,0,0,0
59168000,-0.00209879,0,0,0,0,0,0,0,0
59672000,-0.0010935839,0,0,0,0,0,0,0,0
60176000,0.0005757131,0,0,0,0,0,0,0,0
60680000,0.004033535,0,0,0,0,0,0,0,0
61184000,0.004290848,0,0,0,0,0,0,0,0
61688000,0.002194453,0,0,0,0,0,0,0,0
62192000,-0.0006736594,0,0,0,0,0,0,0,0
62696000,0.0006092964,0,0,0,0,0,0,0,0
63200000,0.001379524,0,0,0,0,0,0,0,0
63704000,0.0027804822,0,0,0,0,0,0,0,0
64208000,0.0004719115,0,0,0,0,0,0,0,0
64712000,-0.0023487431,0,0,0,0,0,0,0,0
65216000,-0.0005909185,0,0,0,0,0,0,0,0
65720000,-3.3288263e-05,0,0,0,0,0,0,0,0
66224000,0.0005444229,0,0,0,0,0,0,0,0
66728000,0.0027662204,0,0,0,0,0,0,0,0
67232000,0.0004098053,0,0,0,0,0,0,0,0
67740000,0.0006174957,0,0,0,0,0,0,0,0
68244000,-0.0021915447,0,0,0,0,0,0,0,0
68748000,-0.0001079302,0,0,0,0,0,0,0,0
69252000,0.0032426799,0,0,0,0,0,0,0,0
69756000,0.00407065,0,0,0,0,0,0,0,0
70260000,0.00232757,0,0,0,0,0,0,0,0
70764000,0.0014732991,0,0,0,0,0,0,0,0
71268000,0.0004663053,0,0,0,0,0,0,0,0
71772000,0.0011534275,0,0,0,0,0,0,0,0
72280000,0.00017704384,0,0,0,0,0,0,0,0
72784000,0.0018956738,0,0,0,0,0,0,0,0
73288000,0.004872256,0,0,0,0,0,0,0,0
73792000,0.0031075082,0,0,0,0,0,0,0,0
74296000,0.0018989949,0,0,0,0,0,0,0,0
74800000,0.0032584637,0,0,0,0,0,0,0,0
75304000,0.0011995942,0,0,0,0,0,0,0,0
75808000,-3.5857083e-05,0,0,0,0,0,0,0,0
76312000,0.00042910752,0,0,0,0,0,0,0,0
76816000,0.0004414998,0,0,0,0,0,0,0,0
77320000,0.0012830836,0,0,0,0,0,0,0,0
77824000,0.0018173184,0,0,0,0,0,0,0,0
78328000,-0.00012154668,0,0,0,0,0,0,0,0
78832000,-0.00077419373,0,0,0,0,0,0,0,0
79336000,0.0008750197,0,0,0,0,0,0,0,0
79840000,0.0036457742,0,0,0,0,0,0,0,0
80344000,0.0023382124,0,0,0,0,0,0,0,0
80848000,9.406055e-05,0,0,0,0,0,0,0,0
81352000,-0.0024581822,0,0,0,0,0,0,0,0
81856000,-0.00079685217,0,0,0,0,0,0,0,0
82360000,0.0018192034,0,0,0,0,0,0,0,0
82864000,0.00094128016,0,0,0,0,0,0,0,0
83368000,0.0013250725,0,0,0,0,0,0,0,0
83876000,-0.00017740592,0,0,0,0,0,0,0,0
84380000,-2.7288916e-05,0,0,0,0,0,0,0,0
84884000,0.0022045034,0,0,0,0,0,0,0,0
85388000,0.0015185155,0,0,0,0,0,0,0,0
85892000,0.0027731466,0,0,0,0,0,0,0,0
86396000,0.00192158,0,0,0,0,0,0,0,0
86900000,-0.002285888,0,0,0,0,0,0,0,0
87404000,-0.0011863487,0,0,0,0,0,0,0,0
87908000,-0.0017762576,0,0,0,0,0,0,0,0
88412000,0.00025104405,0,0,0,0,0,0,0,0
88916000,0.0006341159,0,0,0,0,0,0,0,0
89424000,0.0016106094,0,0,0,0,0,0,0,0
89928000,-0.0003788448,0,0,0,0,0,0,0,0
90432000,-0.0008669066,0,0,0,0,0,0,0,0
90936000,-0.0010986836,0,0,0,0,0,0,0,0
91440000,0.0004080658,0,0,0,0,0,0,0,0
91944000,0.0013670089,0,0,0,0,0,0,0,0
92448000,0.0029841748,0,0,0,0,0,0,0,0
92952000,0.0005838235,0,0,0,0,0,0,0,0
93456000,-0.0012328816,0,0,0,0,0,0,0,0
93960000,-0.00020328135,0,0,0,0,0,0,0,0
94464000,0.0004049103,0,0,0,0,0,0,0,0
94968000,2.615602e-05,0,0,0,0,0,0,0,0
95472000,0.0033577257,0,0,0,0,0,0,0,0
95976000,-0.00037725718,0,0,0,0,0,0,0,0
96480000,-0.0004951945,0,0,0,0,0,0,0,0
96984000,-0.0012243276,0,0,0,0,0,0,0,0
97488000,-0.00018134952,0,0,0,0,0,0,0,0
97992000,0.0011982005,0,0,0,0,0,0,0,0
98496000,0.00015866978,0,0,0,0,0,0,0,0
99000000,0.0013065203,0,0,0,0,0,0,0,0
99504000,-0.00014959318,0,0,0,0,0,0,0,0
100008000,0.0024384144,0,0,0,0,0,0,0,0
100512000,0.00082771975,0,0,0,0,0,0,0,0
101016000,0.001292201,0,0,0,0,0,0,0,0
101520000,0.004023738,0,0,0,0,0,0,0,0
102024000,0.0018473063,0,0,0,0,0,0,0,0
102532000,0.0014039013,0,0,0,0,0,0,0,0
103036000,0.000149364,0,0,0,0,0,0,0,0
103540000,0.0009104888,0,0,0,0,0,0,0,0
104044000,0.0015420055,0,0,0,0,0,0,0,0
104548000,0.0035271493,0,0,0,0,0,0,0,0
105052000,9.976071e-05,0,0,0,0,0,0,0,0
105556000,0.0016788688,0,0,0,0,0,0,0,0
106064000,0.0017104389,0,0,0,0,0,0,0,0
106568000,0.0021014498,0,0,0,0,0,0,0,0
107072000,0.002441336,0,0,0,0,0,0,0,0
107572000,0.0042778663,0,0,0,0,0,0,0,0
108076000,0.0033095148,0,0,0,0,0,0,0,0
108580000,0.0009999172,0,0,0,0,0,0,0,0
109084000,0.0012597372,0,0,0,0,0,0,0,0
109588000,0.0015382508,0,0,0,0,0,0,0,0
110092000,-0.0005944499,0,0,0,0,0,0,0,0
110596000,0.0011355508,0,0,0,0,0,0,0,0
111100000,0.0016167945,0,0,0,0,0,0,0,0
111604000,0.0015603595,0,0,0,0,0,0,0,0
112108000,-0.00021908258,0,0,0,0,0,0,0,0
112612000,-4.1984546e-05,0,0,0,0,0,0,0,0
113116000,0.0008699142,0,0,0,0,0,0,0,0
113620000,-0.00018520896,0,0,0,0,0,0,0,0
114124000,0.00033682853,0,0,0,0,0,0,0,0
114628000,0.0013254884,0,0,0,0,0,0,0,0
115132000,-9.92109e-05,0,0,0,0,0,0,0,0
115636000,-0.00046849964,0,0,0,0,0,0,0,0
116140000,-0.0010840606,0,0,0,0,0,0,0,0
116644000,6.91585e-05,0,0,0,0,0,0,0,0
117148000,0.0022664343,0,0,0,0,0,0,0,0
117652000,0.0031197434,0,0,0,0,0,0,0,0
118156000,0.0032093332,0,0,0,0,0,0,0,0
118660000,0.0007609272,0,0,0,0,0,0,0,0
119168000,0.0007107031,0,0,0,0,0,0,0,0
119672000,0.0015187843,0,0,0,0,0,0,0,0
120176000,0.003852586,0,0,0,0,0,0,0,0
120680000,0.0017404242,0,0,0,0,0,0,0,0
121184000,0.0005962251,0,0,0,0,0,0,0,0
121688000,-0.00095675915,0,0,0,0,0,0,0,0
122192000,0.00013631332,0,0,0,0,0,0,0,0
122696000,0.0020096959,0,0,0,0,0,0,0,0
