timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
19056000,18972000,0.6835398,0.0005061603,-0.009344557,0.7298533,0.044368077,0.010171489,-1.2459555,0.022462232,0.05650858,-4.6983953,-1.0771158e-05,-4.7944228e-05,2.559289e-06,-4.6804114e-05,-8.324645e-05,-0.0009818434,0.20798148,0.011111676,0.43286556,0.0,0.0,0.0,0.0,0.0,0.00025317422,5.217255e-05,5.2095507e-05,0.00022336424,0.043218195,0.04322069,0.017073797,0.11985639,0.119855024,0.1831843,1.9861413e-11,1.9783671e-11,1.3304221e-09,1.3396382e-06,1.3398158e-06,5.000011e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
20056000,19972000,0.68176943,0.0005138506,-0.009355649,0.7315072,-0.011944682,-0.011823221,-1.1909381,0.0532467,0.07308419,-5.9969387,-1.0809041e-05,-4.796488e-05,2.4233289e-06,-6.751832e-05,-5.8902315e-05,-0.0009690437,0.20798148,0.011111676,0.43286556,0.0,0.0,0.0,0.0,0.0,0.00020450921,4.9909388e-05,4.9832463e-05,0.0001788667,0.026903532,0.02691034,0.016147753,0.11066781,0.11066721,0.19362155,2.0116749e-11,2.004078e-11,1.3147425e-09,1.2551421e-06,1.2553477e-06,5.0000075e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
21056000,20972000,0.6818286,-0.0006492312,-0.010725014,0.7314331,-0.03316591,-0.025273388,-0.063916154,0.03534562,0.07135646,-6.2959204,-1.08323e-05,-4.798549e-05,2.2320219e-06,-9.3062605e-05,-4.1902706e-05,-0.00094795227,0.20798148,0.011111676,0.43286556,0.0,0.0,0.0,0.0,0.0,0.00017591346,5.0402894e-05,5.0316346e-05,0.00015407823,0.025122944,0.025126971,0.01650307,0.12629387,0.12629351,0.20735492,2.052842e-11,2.0454471e-11,1.2906279e-09,1.2106575e-06,1.2108585e-06,5.000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
22056000,21972000,0.6803036,0.050323695,0.044730593,0.72983134,-0.56598246,-0.0652847,0.009234063,-0.0857224,0.082088634,-6.3511143,-1.0840521e-05,-4.7988764e-05,2.1540418e-06,-0.00012472752,-1.7198795e-06,-0.0009361081,0.20798148,0.011111676,0.43286556,0.0,0.0,0.0,0.0,0.0,0.00015855076,5.1230574e-05,5.1488638e-05,0.00013867044,0.018419206,0.018709866,0.015732877,0.1143731,0.114373066,0.20705749,2.0982275e-11,2.091102e-11,1.256762e-09,1.1805176e-06,1.18085e-06,5.000004e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
23056000,22976000,0.6785431,0.06880226,0.068941996,0.72807455,-2.080003,-0.19129156,-0.1972245,-1.3818837,0.010863628,-6.438676,-1.0805963e-05,-4.795691e-05,2.5966533e-06,-0.00015071162,1.1888849e-05,-0.0009285344,0.20763832,0.011089733,0.43247613,-0.00051615265,0.00027741594,-0.00044604397,0.0,0.0,0.00015303308,5.1500843e-05,5.1663425e-05,0.00013324387,0.018525345,0.020864956,0.016541189,0.12715293,0.12728648,0.21732105,2.1452163e-11,2.1394352e-11,1.2238957e-09,1.1591948e-06,1.1649036e-06,5.000011e-08,0.0013676807,2.08869e-05,0.0013654883,0.0004853126,0.0013725157,0.001364229,0.0,0.0,24
24056000,23976000,0.6818234,0.02481747,0.02584296,0.7306389,-2.7518756,-0.27311867,-0.04047052,-3.9141796,-0.12607598,-6.7180734,-1.0741306e-05,-4.778934e-05,3.7441366e-06,-0.0001753869,2.9031447e-05,-0.0009038996,0.20776543,0.011087798,0.43271056,-0.0018214852,-0.00029089037,-0.00028892758,0.0,0.0,0.00016529902,5.187303e-05,5.171004e-05,0.00014315729,0.015123917,0.016298749,0.016199451,0.11497835,0.115085304,0.21282506,2.178273e-11,2.1772395e-11,1.2169594e-09,1.1543833e-06,1.1607709e-06,5.000015e-08,0.001269898,2.0238327e-05,0.0012663091,0.00021035872,0.0012737785,0.0012650613,0.0,0.0,24
25056000,24976000,0.6810784,-0.03902768,-0.045388065,0.7297596,-1.8150945,-0.25902715,0.16522667,-6.3571024,-0.36095196,-6.6902423,-1.0835545e-05,-4.7623646e-05,3.3826086e-06,-0.00018765696,4.317525e-05,-0.00088535383,0.20750679,0.011073218,0.43351778,-0.0019299093,-0.0013978708,-0.00082456914,0.0,0.0,0.00018801208,5.5038345e-05,5.3879823e-05,0.00016299578,0.016072026,0.017334597,0.017282404,0.12600994,0.12615947,0.21681051,2.2004934e-11,2.1984569e-11,1.2088166e-09,1.1524972e-06,1.154202e-06,5.0000164e-08,0.0010903334,1.9379284e-05,0.0010836973,0.00016373051,0.0010876394,0.0010823101,0.0,0.0,24
26056000,25976000,0.67951685,-0.062898494,-0.07836737,0.7267456,0.034989867,-0.12795785,0.16567805,-7.310281,-0.55268717,-6.6251187,-1.1073287e-05,-4.7557325e-05,2.9942425e-06,-0.00019441199,8.2676874e-05,-0.00084523554,0.20723902,0.0110590635,0.43325123,-0.0018714757,-0.0020000176,-0.00059379666,0.0,0.0,0.00019069848,5.5788816e-05,5.3949734e-05,0.00016623856,0.014441349,0.021640476,0.016697874,0.11407157,0.11418049,0.21204895,2.1654076e-11,2.1414039e-11,1.0944264e-09,1.1513026e-06,1.1433468e-06,5.0000175e-08,0.000860571,1.838056e-05,0.00084964454,0.00014422226,0.0008496086,0.0008476373,0.0,0.0,24
27056000,26976000,0.68222296,-0.022548454,-0.04648098,0.72931683,1.1993442,0.038318623,0.14704302,-6.566935,-0.6286166,-6.542786,-1.1022064e-05,-4.7719688e-05,4.751662e-06,-0.00019598898,0.000101836886,-0.0008204947,0.20686658,0.01103674,0.43328056,-0.0022035097,-0.0024470794,-0.0005371483,0.0,0.0,0.00018233909,5.3733333e-05,5.2841926e-05,0.00015816033,0.016490778,0.02443945,0.017289355,0.12466285,0.12606333,0.2159117,2.1251287e-11,2.1062173e-11,9.695925e-10,1.1509667e-06,1.1387897e-06,5.000015e-08,0.0007816527,1.7821565e-05,0.00076855393,0.00013181056,0.00076795806,0.0007664293,0.0,0.0,24
28056000,27976000,0.6797537,0.040758494,0.026381865,0.7318318,0.68360716,0.09947612,0.14876592,-5.435651,-0.56613034,-6.4932003,-1.0678643e-05,-4.786461e-05,5.629199e-06,-0.00019894583,0.00010639258,-0.0007867391,0.20649311,0.011015312,0.4332021,-0.0025365793,-0.002544081,-0.00049757335,0.0,0.0,0.00018144498,5.3654403e-05,5.3849326e-05,0.00015470566,0.015064976,0.01561418,0.016586138,0.11328817,0.114154965,0.2107986,2.0030333e-11,2.0249004e-11,8.879895e-10,1.1503892e-06,1.1366304e-06,5.0000075e-08,0.00076630583,1.7474624e-05,0.0007524917,0.00012515072,0.00075268827,0.00074990606,0.0,0.0,24
