timestamp,timestamp_sample,x,y,z,r,flaps,aux1,aux2,aux3,aux4,aux5,aux6,valid,data_source,sticks_moving
8240000,8240000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
8272000,8272000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
8452000,8452000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
8648000,8648000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
8848000,8848000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9040000,9040000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9244000,9244000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9448000,9448000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9648000,9648000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
9844000,9844000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10048000,10048000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10240000,10240000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10440000,10440000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10644000,10644000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
10844000,10844000,0.0,0.0,0.25,0.020000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11044000,11044000,0.0,0.0,0.625,0.062000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11260000,11260000,0.0,0.0,0.80200005,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11444000,11444000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,1
11660000,11660000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
11860000,11860000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12056000,12056000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12256000,12256000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12440000,12440000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12644000,12644000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12856000,12856000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
12992000,12992000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
13260000,13256000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
13452000,13452000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
13660000,13660000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
13864000,13864000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
14056000,14056000,0.0,0.0,0.85400003,0.104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0
