timestamp,timestamp_sample,baro_device_id,bias,bias_var,innov,innov_var,innov_test_ratio
6912000,6791999,6620172,-0.0030998273,0.08923359,-0.17182444,13.339839,0.00024591034
8908000,8796000,6620172,-0.0044936743,0.086329564,-0.07171823,13.336896,4.2851087e-05
15508000,15396000,6620172,-0.0033865308,0.07772978,0.111861356,13.328189,0.000104314946
17908000,17772000,6620172,-0.004753527,0.07509023,-0.091253124,13.325519,6.9433474e-05
22712000,22620000,6620172,-0.005760174,0.070315465,-0.08962512,13.32069,6.700238e-05
33108000,32988000,6620172,-0.007007652,0.06180334,-0.10784475,13.312093,9.707539e-05
37508000,37392000,6620172,-0.008014854,0.058793254,-0.120970406,13.309055,0.00012217111
61908000,61776000,6620172,-0.009258703,0.046298217,-0.08255197,13.29646,5.694772e-05
67908000,67788000,6620172,-0.010434656,0.04400083,-0.11926438,13.2941475,0.00011888266
77108000,76980000,6620172,-0.01154525,0.040891185,-0.041194186,13.291018,1.4186364e-05
86308000,86218000,6620172,-0.0103075495,0.03819378,0.10916348,13.288304,9.964205e-05
94516000,94404000,6620172,-0.011415454,0.036025118,-0.05679316,13.286123,2.6974369e-05
121932000,121848000,6620172,-0.012500332,0.03029929,-0.06464334,13.280369,3.496189e-05
124940000,124860000,6620172,-0.013554047,0.029759295,-0.02813512,13.279826,6.623121e-06
144144000,144060000,6620172,-0.014569981,0.026834423,-0.05775157,13.276889,2.791186e-05
158152000,158050000,6620172,-0.015672991,0.025030136,-0.15992208,13.275078,0.00021406087
172152000,172056000,6620172,-0.016843066,0.023497283,-0.20321335,13.273539,0.0003456808
190352000,190272000,6620172,-0.017910823,0.021749895,-0.19361916,13.271786,0.0003138519
