timestamp,safety_switch_available,safety_off
8096000,1,1
9104000,1,1
10112000,1,1
11120000,1,1
12128000,1,1
13136000,1,1
14144000,1,1
15152000,1,1
16160000,1,1
17168000,1,1
18176000,1,1
19184000,1,1
20192000,1,1
21200000,1,1
22208000,1,1
23216000,1,1
24224000,1,1
25232000,1,1
26240000,1,1
27248000,1,1
28256000,1,1
29264000,1,1
30272000,1,1
31280000,1,1
32288000,1,1
33296000,1,1
34304000,1,1
35312000,1,1
36320000,1,1
37328000,1,1
38336000,1,1
39344000,1,1
40352000,1,1
41360000,1,1
42368000,1,1
43376000,1,1
44384000,1,1
45392000,1,1
46400000,1,1
47408000,1,1
48416000,1,1
49424000,1,1
50432000,1,1
51440000,1,1
52448000,1,1
53456000,1,1
54464000,1,1
55472000,1,1
56480000,1,1
57488000,1,1
58496000,1,1
59504000,1,1
60512000,1,1
61520000,1,1
62528000,1,1
63536000,1,1
64544000,1,1
65552000,1,1
66560000,1,1
67568000,1,1
68568000,1,1
69576000,1,1
70584000,1,1
71592000,1,1
72592000,1,1
73600000,1,1
74608000,1,1
75616000,1,1
76624000,1,1
77632000,1,1
78640000,1,1
79648000,1,1
80656000,1,1
81664000,1,1
82672000,1,1
83672000,1,1
84680000,1,1
85688000,1,1
86696000,1,1
87704000,1,1
88712000,1,1
89712000,1,1
90720000,1,1
91728000,1,1
92736000,1,1
93744000,1,1
94752000,1,1
95760000,1,1
96768000,1,1
97776000,1,1
98784000,1,1
99792000,1,1
100800000,1,1
101808000,1,1
102808000,1,1
103816000,1,1
104824000,1,1
105832000,1,1
106832000,1,1
107836000,1,1
108844000,1,1
109852000,1,1
110860000,1,1
111868000,1,1
112876000,1,1
113884000,1,1
114892000,1,1
115900000,1,1
116908000,1,1
117916000,1,1
118924000,1,1
119924000,1,1
120932000,1,1
121940000,1,1
122948000,1,1
123956000,1,1
124964000,1,1
125972000,1,1
126980000,1,1
127988000,1,1
128996000,1,1
130004000,1,1
131012000,1,1
132020000,1,1
133020000,1,1
134028000,1,1
135028000,1,1
136036000,1,1
137044000,1,1
138052000,1,1
139060000,1,1
140060000,1,1
141068000,1,1
142076000,1,1
143084000,1,1
144092000,1,1
145100000,1,1
146108000,1,1
147116000,1,1
148124000,1,1
149132000,1,1
150140000,1,1
151148000,1,1
152156000,1,1
153164000,1,1
154164000,1,1
155172000,1,1
156180000,1,1
157188000,1,1
158196000,1,1
159204000,1,1
160212000,1,1
161212000,1,1
162212000,1,1
163220000,1,1
164228000,1,1
165236000,1,1
166244000,1,1
167252000,1,1
168260000,1,1
169268000,1,1
170276000,1,1
171276000,1,1
172284000,1,1
173292000,1,1
174300000,1,1
175308000,1,1
176316000,1,1
177324000,1,1
178332000,1,1
179340000,1,1
180348000,1,1
181356000,1,1
182364000,1,1
183372000,1,1
184380000,1,1
185388000,1,1
186396000,1,1
187404000,1,1
188412000,1,1
189416000,1,1
190424000,1,1
191432000,1,1
192440000,1,1
193448000,1,1
194456000,1,1
195464000,1,1
196472000,1,1
197480000,1,1
198488000,1,1
199496000,1,1
200504000,1,1
201512000,1,1
202520000,1,1
203528000,1,1
204536000,1,1
205544000,1,1
206552000,1,1
207560000,1,1
208568000,1,1
209576000,1,1
210584000,1,1
211592000,1,1
212600000,1,1
213608000,1,1
214616000,1,1
215624000,1,1
216632000,1,1
217640000,1,1
218648000,1,1
219656000,1,1
220664000,1,1
221672000,1,1
222680000,1,1
223680000,1,1
224680000,1,1
225688000,1,1
226688000,1,1
227696000,1,1
228704000,1,1
229712000,1,1
230720000,1,1
231728000,1,1
232736000,1,1
233744000,1,1
234752000,1,1
