timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,delta_angle_coning_metric,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
8872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032208063,0.0033724625,1.74978e-11,-0.1969736,0.15526788,-9.930876,-0.0005912615,-0.0062532476,-0.00017606773,0.0008371984,0.0008871518,0.0005697372,5.312938e-06,8.19372e-06,7.802682e-06,11.832729,11.832729
9872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032702625,0.0036005876,2.4593808e-11,-0.18986969,0.16984582,-9.925726,-0.00049054215,-0.0058271233,5.68924e-05,0.00044017367,0.0011205436,0.00069554674,6.355007e-06,1.3891221e-05,8.124578e-06,11.832729,11.832729
10872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03301717,0.0034678625,2.3480062e-11,-0.18438482,0.16247746,-9.935914,-0.0005385513,-0.0053290287,-0.00016296015,0.0011744843,0.0009758989,0.000820148,9.746503e-06,1.1585741e-05,1.0230948e-05,11.832729,11.832729
11872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033972364,0.003422242,1.9093485e-11,-0.1888216,0.16195238,-9.929174,-0.0007193067,-0.0043478953,0.00024143454,0.0005640634,0.000500292,0.0009053089,9.520174e-06,6.7590677e-06,1.0335857e-05,11.832729,11.832729
12872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032723457,0.0033136886,2.4674644e-11,-0.17238654,0.1593729,-9.930347,-0.0019666334,-0.005489555,-0.00028544324,0.0010688277,0.00053266337,0.0013084223,1.1972676e-05,1.1765206e-05,9.171612e-06,11.832729,11.832729
13872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03497419,0.004972392,3.5531228e-10,-0.16603334,0.14959477,-10.422348,-0.02366958,0.051222604,0.0070813014,0.0007185506,0.0008407672,0.002147189,0.0001554858,0.001217133,9.300503e-06,11.832608,11.832608
14872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033834144,0.0035938325,8.437437e-11,-0.13199632,0.12717855,-10.323587,-0.015600305,-0.017731195,0.004900159,0.0006454607,0.0006648604,0.0009268389,2.1695558e-05,1.6874317e-05,6.6859684e-06,11.830203,11.830203
15872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032598082,0.0031603342,1.7912248e-11,-0.17403856,0.15285043,-10.150735,-0.00062152965,0.002102921,0.0040784283,0.0006082496,0.0007819649,0.00039910234,9.584855e-06,8.2271645e-06,9.524798e-06,11.825148,11.825148
16872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031434976,0.0035262543,9.3775876e-11,-0.18421708,0.17679863,-10.056265,-0.025104377,-0.006311163,0.0041201455,0.0012230343,0.000742002,0.0003648757,4.3456326e-05,3.9367824e-05,7.5559365e-06,11.818533,11.818533
17872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034366094,0.0032959804,2.7623338e-11,-0.18417042,0.1969983,-9.998862,0.008371615,-0.0002742315,0.0031837134,0.00090941164,0.0008998251,0.0010038834,1.4504973e-05,6.9416546e-06,7.158539e-06,11.810982,11.810982
18872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03455448,0.003386684,5.589488e-11,-0.18090764,0.19656849,-9.942351,0.012611031,-0.0075052152,0.0046387827,0.00087097986,0.0013249535,0.00037066813,1.2153345e-05,7.1116447e-06,9.684879e-06,11.80287,11.80287
19872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033492118,0.0032510567,2.9743853e-11,-0.17268905,0.17622744,-9.905066,-0.0061821896,-0.0046410654,0.0040296135,0.00094358186,0.00076005765,0.0025894619,8.009247e-06,1.6175134e-05,9.8963465e-06,11.794465,11.794465
20872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.048804846,0.003353535,1.8718582e-11,-0.17544673,0.16003862,-10.300387,-0.0005289115,0.0036219284,-0.0012714659,0.00081476435,0.0006341269,0.028491842,1.1996553e-05,1.455915e-05,7.4741706e-06,11.7914505,11.7914505
21872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034874395,0.01368315,7.8626644e-10,-0.17205884,0.02107022,-9.919703,0.21122454,-0.00247705,-5.5686352e-05,0.0008677926,0.0010860617,0.001544391,0.0034910915,1.6463688e-05,5.5822647e-06,11.791008,11.791008
22872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033843305,0.005084943,3.4992773e-11,-0.15179873,-0.49679506,-10.361626,-0.012524084,-0.0019070014,0.0012778821,0.0010227636,0.0008772485,0.0010072538,1.3461033e-05,1.0469759e-05,6.674856e-06,11.790516,11.790516
23872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03661044,0.003443351,6.613978e-10,-0.12780945,-0.80462193,-9.425313,-0.17286089,0.0019403558,0.0044175633,0.0013675633,0.0007809194,0.0022101742,2.8655706e-05,2.0254623e-05,1.1938786e-05,11.788665,11.788665
24872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032527555,0.0035469912,6.814857e-10,-0.11079164,-0.5603983,-9.857991,-0.18298846,-0.011689289,0.00025075316,0.0010196815,0.0011964185,0.0011222444,1.0445661e-05,1.0725929e-05,7.5182224e-06,11.788387,11.788387
25872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033979677,0.0034245753,1.14002e-10,-0.119655654,0.099572055,-10.104181,-0.022193877,-0.020703593,-0.0036082452,0.0009260018,0.0019206717,0.0005345126,2.1724847e-05,6.398243e-06,1.0427644e-05,11.788818,11.788818
26872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034160584,0.003499308,5.8003974e-10,-0.15727954,0.58811754,-9.89476,0.15640086,-0.016197735,0.0029503983,0.00078147737,0.0010154111,0.0010327108,1.677795e-05,1.0613349e-05,8.488469e-06,11.789199,11.789199
27872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031675905,0.0037770132,8.072551e-10,-0.22373347,0.49398226,-9.902994,0.18786184,0.0067700036,0.0047485004,0.0009771549,0.0013724499,0.00063986075,1.9009081e-05,1.4291931e-05,1.126944e-05,11.789538,11.789538
28872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033129882,0.0033534486,1.4563055e-10,-0.23173164,-0.09856161,-10.029667,0.04692236,0.008319204,-0.0010296095,0.0010849088,0.001387139,0.0014958617,8.777054e-06,8.685894e-06,9.777982e-06,11.789933,11.789933
29872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033321645,0.0037264402,5.745287e-10,-0.21775939,-0.62232405,-9.920735,-0.14144672,0.0043268423,0.0042547532,0.0011457726,0.0009166563,0.0010350831,1.7928753e-05,1.5836067e-05,1.0153455e-05,11.790252,11.790252
30872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.034562964,0.0033546817,7.1810385e-10,-0.18041864,-0.60204077,-9.871074,-0.20685406,-0.0085615115,0.0038608937,0.0011743705,0.00055790384,0.0014768543,1.0334911e-05,7.666478e-06,1.00510915e-05,11.790401,11.790401
31872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.030079145,0.0034748442,2.6212146e-10,-0.17240688,-0.032607697,-10.081566,-0.07451419,-0.01374344,-0.0017762361,0.00039605738,0.0013672828,0.0015686376,5.876351e-05,8.6888695e-06,9.727504e-06,11.790605,11.790605
32872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032580096,0.0032256974,3.5325118e-10,-0.1939664,0.55371225,-9.953738,0.1115009,-0.011382779,-0.0038090383,0.0007393034,0.0009640086,0.00073730905,2.9092167e-05,5.522438e-06,7.257881e-06,11.790771,11.790771
33872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032998428,0.0035454792,8.3301843e-10,-0.21093032,0.62802285,-9.838549,0.20141387,-0.0046723844,0.00058472884,0.0009120823,0.0010250042,0.0006179368,1.30985945e-05,1.9817086e-05,1.0089562e-05,11.79089,11.79089
34872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033646867,0.0035986379,3.222014e-10,-0.21884407,0.1318527,-10.077018,0.09263022,0.004275196,-0.0006253841,0.0004262821,0.0011647147,0.0008204124,6.781075e-05,1.2543281e-05,1.1873279e-05,11.791116,11.791116
35872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03319374,0.003406047,2.9760375e-10,-0.20798486,-0.4962708,-9.972574,-0.092097186,-0.00013260137,0.0059163854,0.000987056,0.0006969085,0.0007292298,4.869415e-05,7.451904e-06,5.254e-06,11.7911625,11.7911625
36872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033374824,0.0035124812,7.2390594e-10,-0.18706599,-0.64355624,-9.8169,-0.20173226,-0.0068418854,0.0039767837,0.00095533725,0.0007818251,0.0007911201,8.392819e-06,1.1340558e-05,6.6522152e-06,11.790913,11.790913
37872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032080464,0.003568643,4.8898724e-10,-0.17991653,-0.1906846,-9.97183,-0.12289936,-0.010982431,0.00061854976,0.0010111219,0.0007944734,0.00092372013,5.789494e-05,1.0504975e-05,7.550338e-06,11.790688,11.790688
38872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032522235,0.003599074,2.194292e-10,-0.17157872,0.45132473,-9.935327,0.062028427,-0.008851829,-0.0039237617,0.00086919364,0.000825906,0.0008781301,3.595228e-05,9.913905e-06,7.0536707e-06,11.790572,11.790572
39872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.032001536,0.0033759451,6.9721473e-10,-0.19290422,0.6862874,-9.823937,0.19377379,-0.008144188,0.0014307336,0.0007838065,0.0004348947,0.0009926293,1.4073896e-05,1.6196509e-05,9.704096e-06,11.790415,11.790415
40872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033290446,0.0034232684,4.792425e-10,-0.21788806,0.32156897,-9.976669,0.14567694,0.0015522308,-0.00015028205,0.0011706387,0.00086245994,0.0009797357,6.5156164e-05,5.3597923e-06,1.10584115e-05,11.790279,11.790279
41872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.033155985,0.003373224,1.0623228e-10,-0.19935694,-0.31758353,-9.95755,-0.040302172,-0.0010807991,0.0010353049,0.00086910505,0.0006890225,0.0012094541,6.342308e-05,5.1881298e-06,8.250197e-06,11.790199,11.790199
42872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03357858,0.0033681856,7.0366885e-10,-0.18896721,-0.65141,-9.803835,-0.18744661,-0.006226938,0.00032205658,0.0007207431,0.0009306362,0.0015789316,1.6012751e-05,9.845128e-06,8.205979e-06,11.790018,11.790018
43872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03299473,0.0032858208,6.6500494e-10,-0.17815186,-0.37094772,-9.90488,-0.16238548,-0.007935515,-0.000735067,0.0007611795,0.0008821797,0.0014142344,1.3852335e-05,1.0311492e-05,1.1581172e-05,11.789822,11.789822
44872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03288982,0.0035282795,5.0013833e-11,-0.17786945,0.28289756,-9.942713,0.01059214,-0.010171783,-0.0036279454,0.0004999032,0.0017497456,0.0013910119,8.62141e-05,9.949913e-06,6.076109e-06,11.789791,11.789791
45872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.03341341,0.0033234186,4.8576754e-10,-0.19831543,0.6887706,-9.791654,0.1739797,-0.0038022534,-0.001331222,0.0005690704,0.0010352061,0.0009826403,7.0996434e-06,6.08461e-06,4.4468093e-06,11.789791,11.789791
46872000,1311004,1311004,0,0,0,0,0,250.0,250.0,250.0,250.0,0.031968076,0.0032543172,4.875022e-10,-0.20934002,0.48624736,-9.852718,0.17804068,0.00019528081,0.0022351223,0.00059423555,0.00057073846,0.00074544136,1.2897972e-05,5.919647e-06,5.657785e-06,11.789867,11.789867
