timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
28732000,28732000,0.67708415,0.07023147,0.06319682,0.7298156,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
29232000,29232000,0.6773267,0.071360245,0.06739716,0.7291049,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
29732000,29732000,0.6789487,0.0564431,0.053898603,0.73002595,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
30232000,30232000,0.6806326,0.028940963,0.025848486,0.73159665,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
30732000,30732000,0.68120253,-0.0044051725,-0.010146138,0.73201144,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
31232000,31232000,0.680308,-0.035421666,-0.04510994,0.7306788,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
31732000,31732000,0.67880315,-0.056126263,-0.069925256,0.72882557,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
32232000,32232000,0.6785027,-0.061528075,-0.07941215,0.7276965,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
32732000,32732000,0.6793761,-0.05105165,-0.070772596,0.728583,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
33232000,33232000,0.6809569,-0.026380807,-0.046442542,0.73037314,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
33732000,33732000,0.681608,0.0064669126,-0.011881646,0.73159254,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
34232000,34232000,0.68004656,0.038598605,0.02459959,0.7317388,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
34732000,34732000,0.6780322,0.062213413,0.053598702,0.7304307,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
35232000,35232000,0.6772127,0.07248288,0.0674158,0.7290983,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
35732000,35732000,0.67818224,0.06750926,0.063042834,0.7290659,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
36232000,36232000,0.6798263,0.046710033,0.04249252,0.7306496,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
36732000,36732000,0.6809021,0.015699418,0.010118089,0.7321363,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
37232000,37232000,0.6809329,-0.017433465,-0.02694598,0.73164225,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
37732000,37732000,0.67973304,-0.044665884,-0.058629807,0.7297469,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
38232000,38232000,0.6784843,-0.059881337,-0.07679099,0.7281321,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
38732000,38732000,0.6785104,-0.059312556,-0.07747325,0.7280821,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
39232000,39232000,0.6800118,-0.042700004,-0.060998537,0.72941065,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
39732000,39732000,0.681498,-0.013428846,-0.031757943,0.7310073,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
40232000,40232000,0.6812629,0.020525303,0.0045001083,0.73173726,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
40732000,40732000,0.6792929,0.050544214,0.0382554,0.73112446,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
41232000,41232000,0.67742294,0.06951189,0.060576607,0.72979224,0.999995,-9.313227e-10,-8.1490736e-10,-0.003183723,3
