timestamp,time_estimate,safe_time_estimate,valid
208856000,52.3301,157.56311,1
209864000,51.9938,157.19318,1
210912000,51.80409,156.9845,1
211920000,51.970436,157.16748,1
212936000,52.345425,157.57997,1
213944000,52.604416,157.86487,1
214952000,52.532604,157.78586,1
215960000,52.20237,157.4226,1
216968000,51.950645,157.1457,1
217976000,52.022125,157.22433,1
218984000,52.36341,157.59976,1
219992000,52.667023,157.93373,1
221000000,52.663925,157.93033,1
222008000,52.61035,157.87138,1
223016000,52.562767,157.81905,1
224024000,52.788715,158.0676,1
225040000,53.306927,158.63762,1
226048000,53.87229,159.25952,1
227056000,54.18248,159.60074,1
228064000,54.16079,159.57687,1
229072000,54.06577,159.47235,1
230080000,54.149845,159.56483,1
231088000,54.142105,159.55632,1
232096000,54.129005,159.5419,1
233104000,54.181213,159.59933,1
234112000,54.181023,159.59912,1
235144000,0.015036865,100.01654,1
