timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
28916000,28828000,1.6455986,0.028919213,2.3706744,-0.48745972,1.3053577,1.6218438,1.7021517,-0.13022602,0.38728702,-0.3259882,-0.3082082,-0.3692583,-0.4918008,0.20168963,0.21767235,-0.057467125,-0.1396163,7.4252945e-05,7.4252945e-05,0.0011121782,0.69843,0.30030936
29916000,29828000,1.6337068,0.025002219,2.276452,-0.3279972,1.3407435,1.6138244,1.6848148,0.61387146,2.2795417,0.020236969,0.034961462,0.009100914,-1.2369442,1.6067989,0.48728237,-0.107604615,-0.26982594,7.3460746e-05,7.3460746e-05,0.00091797614,0.71501374,0.28392142
30916000,30828000,1.6292932,0.02317606,2.2257662,-0.23740003,1.363286,1.6116349,1.6755278,0.7774327,1.5992613,0.3133781,0.364043,0.34543908,-0.76017636,1.2342976,0.29587048,-0.08053447,-0.18320902,7.590488e-05,7.590488e-05,0.00085502514,0.7188484,0.28014472
31916000,31828000,1.6269922,0.022614695,2.216634,-0.21724011,1.3658999,1.6097965,1.6713341,0.4535467,-0.93323606,0.38331348,0.4783093,0.46121368,0.4466976,-0.83375865,-0.26922166,-0.09842484,-0.057709992,7.880651e-05,7.880651e-05,0.00091031776,0.7154002,0.28353193
32916000,32828000,1.6326445,0.020182531,2.1782346,-0.1315903,1.3899571,1.6166039,1.6727936,0.008821845,-2.2286053,0.15000951,0.24431217,0.2255547,0.9061321,-1.9409745,-0.55586183,-0.1509829,-0.051541265,7.5189724e-05,7.5189724e-05,0.00076967006,0.70991206,0.28916785
33916000,33828000,1.6432701,0.01746336,2.121521,-0.0047056936,1.428926,1.6290393,1.6780491,-0.41387373,-1.759773,-0.34182227,-0.29687822,-0.31175172,0.4382361,-1.477943,-0.40808323,-0.17709698,-0.12230656,7.508854e-05,7.508854e-05,0.0005713497,0.7057839,0.29349464
34916000,34828000,1.6489567,0.017445417,2.1217089,0.00281217,1.4365982,1.6348135,1.683737,-0.35069045,-0.42716452,-0.47288197,-0.4454134,-0.4515473,-0.2848476,0.003912993,-0.15927792,-0.21659413,-0.23221746,7.907113e-05,7.97718e-05,0.00055323384,0.70709944,0.29218844
35916000,35828000,1.6404113,0.015992153,2.0844405,0.08424012,1.4444169,1.6274688,1.6738225,0.16212726,1.3385099,-0.21751058,-0.18889725,-0.18124151,-1.0325778,1.830875,0.13311483,-0.23412624,-0.32704502,7.5369106e-05,7.5369106e-05,0.0005837082,0.71684855,0.28241706
36916000,36828000,1.636921,0.0147867,2.0503252,0.17171961,1.4572912,1.6251782,1.6681961,0.47264934,1.3108735,0.13338113,0.16862798,0.17737603,-0.8083965,1.7138994,0.14964674,-0.14945841,-0.22616321,7.345011e-05,7.345011e-05,0.0005955687,0.7229685,0.276289
37916000,37828000,1.631566,0.014553013,2.037013,0.19514096,1.4570472,1.6202037,1.6623355,0.49119473,-0.1281079,0.3674683,0.41320717,0.41764355,-0.022390857,-0.32529247,-0.21624625,-0.17470616,-0.16374862,7.707046e-05,8.0028156e-05,0.00062974327,0.72595745,0.2732557
