timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
8268000,8268000,0.07768902,-0.11903955,0.075055875
8272000,8272000,0.22452253,0.08222451,0.21755265
8280000,8280000,0.03871414,-0.20461556,-0.12541837
8288000,8288000,-0.03503947,-0.0728157,0.030248763
8300000,8300000,-0.0041076527,-0.05621625,0.06761095
8308000,8308000,-0.21656552,-0.08623658,0.012380255
8320000,8320000,0.17456368,0.34237134,-0.066471495
8328000,8328000,0.2604999,0.2102137,0.16659388
8340000,8340000,-0.26334572,-0.333288,-0.05332093
8348000,8348000,0.12025654,-0.021759734,-0.022453377
8360000,8360000,-0.05188229,0.06621924,0.124666214
8368000,8368000,-0.062164508,-0.09417789,0.044558056
8380000,8380000,-0.1016538,-0.0009632331,-0.122513905
8388000,8388000,-0.14731014,0.22029127,-0.07036747
8400000,8400000,0.030347675,0.03619314,0.03518604
8408000,8408000,0.03522699,-0.09770518,0.29998928
8416000,8416000,-0.029327068,-0.11007219,0.004120631
8428000,8428000,0.10034981,0.048188694,0.017939655
8440000,8440000,-0.124273784,0.016455757,-0.099823624
8448000,8448000,-0.009829149,0.0016548989,0.101610035
8460000,8460000,-0.1574944,-0.13164476,-0.044896558
8468000,8468000,0.2555964,-0.30180103,-0.021909846
8480000,8480000,0.09479174,0.4883008,-0.05834224
8488000,8488000,0.013650965,0.22970144,0.013557361
8500000,8500000,-0.2610674,-0.2334646,-0.01489199
8504000,8504000,-0.2670356,-0.063233584,0.03186975
8520000,8520000,0.04579637,-0.20612213,0.012004558
8528000,8528000,0.014897544,0.09987527,0.035557296
8540000,8540000,-0.008349113,-0.21369448,-0.12571298
8548000,8548000,-0.021037772,-0.06847547,0.0927253
8560000,8560000,0.1862104,0.121901855,-0.1386244
8568000,8568000,0.056063212,0.13604626,-0.11626596
8580000,8580000,-0.030152924,0.03713771,0.04887916
8584000,8584000,-0.06709054,-0.0077747414,-0.053228304
8600000,8600000,-0.08708414,-0.24315281,-0.07478936
8608000,8608000,-0.021293916,0.12478581,0.11114678
8620000,8620000,-0.085396044,-0.29903543,0.010577815
8628000,8628000,-0.034416832,0.08138798,0.06622902
8640000,8640000,0.061228238,0.014080958,-0.21869646
8648000,8648000,0.108901255,0.1676411,0.13546303
8656000,8656000,0.19630003,-0.00844611,-0.12336081
8668000,8668000,-0.06443004,0.03970338,-0.17890449
8680000,8680000,-0.1379234,-0.17335951,0.12545137
8688000,8688000,-0.04162943,0.0041408204,0.2041694
8700000,8700000,0.019216962,0.32321888,-0.0776797
8708000,8708000,0.0074359365,0.101641625,0.025747176
8720000,8720000,0.044246595,-0.13800162,0.06601
8728000,8728000,0.12160132,-0.20613495,0.0058453158
8736000,8736000,0.037531413,0.018059684,-0.19909766
8748000,8748000,-0.058708075,-0.14227636,0.2531802
8760000,8760000,-0.033635944,0.17933843,0.021485794
8768000,8768000,-0.029914793,0.16914289,-0.19045967
8780000,8780000,0.0029249527,-0.15308525,-0.004071216
8788000,8788000,0.013093908,-0.007046219,0.065924786
8800000,8800000,-0.032680996,0.119084105,-0.007229468
8808000,8808000,-0.04182756,-0.19392307,-0.056240343
8820000,8820000,-0.041982584,0.30826402,-0.27023444
8828000,8828000,-0.13384128,-0.14067379,0.11193009
8840000,8840000,0.07519467,-0.15945767,-0.14280984
8848000,8848000,0.02994672,-0.16021058,0.035622865
8860000,8860000,0.1470164,0.22369574,0.039776362
8868000,8868000,0.06251128,-0.030706499,-0.21266383
8880000,8880000,-0.008555949,0.022132505,0.22738126
