timestamp,speed_up,speed_down,want_takeoff
9248000,3.0,1.0,0
10248000,3.0,1.0,0
11248000,3.0,1.0,1
12248000,3.0,1.0,1
13248000,3.0,1.0,1
14248000,3.0,1.0,1
15248000,3.0,1.0,1
16248000,3.0,1.0,1
17248000,3.0,1.0,1
18248000,3.0,1.0,1
19248000,3.0,1.0,1
20248000,3.0,1.0,0
21248000,3.0,1.0,0
22248000,3.0,1.0,0
23248000,3.0,1.0,0
24248000,3.0,1.0,0
25248000,3.0,1.0,0
26248000,3.0,1.0,0
27248000,3.0,1.0,0
28248000,3.0,1.0,0
29248000,3.0,1.0,0
30248000,3.0,1.0,0
31248000,3.0,1.0,0
32248000,3.0,1.0,0
33248000,3.0,1.0,0
34248000,3.0,1.0,0
35248000,3.0,1.0,0
36248000,3.0,1.0,0
37248000,3.0,1.0,0
38248000,3.0,1.0,0
39248000,3.0,1.0,0
40248000,3.0,1.0,0
41248000,3.0,1.0,0
42248000,3.0,1.0,0
43248000,3.0,1.0,0
44248000,3.0,1.0,0
45248000,3.0,1.0,0
46248000,3.0,1.0,0
47248000,3.0,1.0,0
48248000,3.0,1.0,0
49248000,3.0,1.0,0
50248000,3.0,1.0,0
51248000,3.0,1.0,0
52248000,3.0,1.0,0
53248000,3.0,1.0,0
54248000,3.0,1.0,0
55248000,3.0,1.0,0
56248000,3.0,1.0,0
57248000,3.0,1.0,0
58248000,3.0,1.0,0
59248000,3.0,1.0,0
60248000,3.0,1.0,0
61248000,3.0,1.0,0
62248000,3.0,1.0,0
63248000,3.0,1.0,0
64248000,3.0,1.0,0
65248000,3.0,1.0,0
66248000,3.0,1.0,0
67248000,3.0,1.0,0
68248000,3.0,1.0,0
69248000,3.0,1.0,0
70248000,3.0,1.0,0
71248000,3.0,1.0,0
72248000,3.0,1.0,0
73248000,3.0,1.0,0
74248000,3.0,1.0,0
75248000,3.0,1.0,0
76248000,3.0,1.0,0
77248000,3.0,1.0,0
78248000,3.0,1.0,0
79248000,3.0,1.0,0
80248000,3.0,1.0,0
81248000,3.0,1.0,0
82248000,3.0,1.0,0
83248000,3.0,1.0,0
84248000,3.0,1.0,0
85248000,3.0,1.0,0
86248000,3.0,1.0,0
87248000,3.0,1.0,0
88248000,3.0,1.0,0
89248000,3.0,1.0,0
90248000,3.0,1.0,0
91248000,3.0,1.0,0
92248000,3.0,1.0,0
93248000,3.0,1.0,0
94248000,3.0,1.0,0
95248000,3.0,1.0,0
96248000,3.0,1.0,0
97248000,3.0,1.0,0
98248000,3.0,1.0,0
99248000,3.0,1.0,0
100248000,3.0,1.0,0
101248000,3.0,1.0,0
102248000,3.0,1.0,0
103248000,3.0,1.0,0
104248000,3.0,1.0,0
105248000,3.0,1.0,0
106248000,3.0,1.0,0
107248000,3.0,1.0,0
108248000,3.0,1.0,0
109248000,3.0,1.0,0
110248000,3.0,1.0,0
111248000,3.0,1.0,0
112248000,3.0,1.0,0
113248000,3.0,1.0,0
114248000,3.0,1.0,0
115248000,3.0,1.0,0
116248000,3.0,1.0,0
117248000,3.0,1.0,0
118248000,3.0,1.0,0
119248000,3.0,1.0,0
120248000,3.0,1.0,0
121248000,3.0,1.0,0
122248000,3.0,1.0,0
123248000,3.0,1.0,0
124248000,3.0,1.0,0
125248000,3.0,1.0,0
126248000,3.0,1.0,0
127248000,3.0,1.0,0
128248000,3.0,1.0,0
129248000,3.0,1.0,0
130248000,3.0,1.0,0
131248000,3.0,1.0,0
132248000,3.0,1.0,0
133248000,3.0,1.0,0
134248000,3.0,1.0,0
135248000,3.0,1.0,0
136248000,3.0,1.0,0
137248000,3.0,1.0,0
138248000,3.0,1.0,0
139248000,3.0,1.0,0
140248000,3.0,1.0,0
141248000,3.0,1.0,0
142248000,3.0,1.0,0
143248000,3.0,1.0,0
144248000,3.0,1.0,0
145248000,3.0,1.0,0
146248000,3.0,1.0,0
147248000,3.0,1.0,0
148248000,3.0,1.0,0
149248000,3.0,1.0,0
150248000,3.0,1.0,0
151248000,3.0,1.0,0
152248000,3.0,1.0,0
153248000,3.0,1.0,0
154248000,3.0,1.0,0
155248000,3.0,1.0,0
156248000,3.0,1.0,0
157248000,3.0,1.0,0
158248000,3.0,1.0,0
159248000,3.0,1.0,0
160248000,3.0,1.0,0
161248000,3.0,1.0,0
162248000,3.0,1.0,0
163248000,3.0,1.0,0
164248000,3.0,1.0,0
165248000,3.0,1.0,0
166248000,3.0,1.0,0
167248000,3.0,1.0,0
168248000,3.0,1.0,0
169248000,3.0,1.0,0
170248000,3.0,1.0,0
171248000,3.0,1.0,0
172248000,3.0,1.0,0
173248000,3.0,1.0,0
174248000,3.0,1.0,0
175248000,3.0,1.0,0
176248000,3.0,1.0,0
177248000,3.0,1.0,0
178248000,3.0,1.0,0
179248000,3.0,1.0,0
