timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
8988000,8988000,1310988,-0.19632454,0.16280572,-9.91439,11.832727,0,0,0,0,1
9988000,9988000,1310988,-0.15083471,0.16280572,-9.909601,11.832727,0,0,0,0,1
10988000,10988000,1310988,-0.17477672,0.1604115,-9.938332,11.832727,0,0,0,0,1
11988000,11988000,1310988,-0.19153613,0.19632454,-9.931149,11.832727,0,0,0,0,1
12988000,12988000,1310988,-0.16280572,0.1388637,-9.923966,11.832727,0,0,0,0,1
13988000,13988000,1310988,-0.16280572,0.1436521,-10.488997,11.832453,0,0,0,0,1
14988000,14988000,1310988,-0.11252748,0.15083471,-10.283096,11.829523,0,0,0,0,1
15988000,15988000,1310988,-0.16280572,0.14844051,-10.15381,11.824091,0,0,0,0,1
16988000,16988000,1310988,-0.16759412,0.18674773,-10.0748005,11.817377,0,0,0,0,1
17988000,17988000,1310988,-0.18195933,0.19871874,-9.967062,11.809656,0,0,0,0,1
18988000,18988000,1310988,-0.14844051,0.19153613,-9.928755,11.801416,0,0,0,0,1
19988000,19988000,1310988,-0.1364695,0.15801731,-8.281544,11.793146,0,0,0,0,1
20988000,20988000,1310988,-0.17477672,0.14604631,-9.832987,11.791346,0,0,0,0,1
21988000,21988000,1310988,-0.17238252,-0.06464344,-10.012551,11.790979,0,0,0,0,1
22988000,22988000,1310988,-0.1340753,-0.59855044,-10.3214035,11.7902775,0,0,0,0,1
23988000,23988000,1310988,-0.16759412,-0.82121116,-9.476251,11.788507,0,0,0,0,1
24988000,24988000,1310988,-0.11971009,-0.47644615,-9.950302,11.788446,0,0,0,0,1
25988000,25988000,1310988,-0.08619126,0.22266077,-10.0508585,11.788874,0,0,0,0,1
26988000,26988000,1310988,-0.15083471,0.61530983,-9.842564,11.78924,0,0,0,0,1
27988000,27988000,1310988,-0.23942018,0.39504328,-9.967062,11.789606,0,0,0,0,1
28988000,28988000,1310988,-0.22266077,-0.23702596,-10.014946,11.790003,0,0,0,0,1
29988000,29988000,1310988,-0.20829555,-0.6871359,-9.900024,11.7902775,0,0,0,0,1
30988000,30988000,1310988,-0.15322891,-0.51954174,-9.861717,11.79043,0,0,0,0,1
31988000,31988000,1310988,-0.21308395,0.06464344,-10.0748005,11.790644,0,0,0,0,1
