timestamp,timestamp_sample,yaw_composite,yaw_variance,yaw[0],yaw[1],yaw[2],yaw[3],yaw[4],innov_vn[0],innov_vn[1],innov_vn[2],innov_vn[3],innov_vn[4],innov_ve[0],innov_ve[1],innov_ve[2],innov_ve[3],innov_ve[4],weight[0],weight[1],weight[2],weight[3],weight[4]
11920000,11836000,2.6779451,3.5801747,-2.5132742,-1.2566371,0.0,1.2566371,2.5132742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
11928000,11844000,2.4980917,3.5532885,-2.5132809,-1.2566435,-6.533436e-06,1.2566305,2.5132678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.2
12920000,12836000,0.5487631,3.8431096,-2.5130668,-1.2554107,0.00071214576,1.2560132,2.512339,-0.14481749,-0.008943703,0.111712515,0.05051054,-0.10801307,-0.057043783,-0.13982488,-0.036204364,0.110549614,0.09774326,0.19942084,0.19986492,0.20049597,0.20044146,0.19977686
13920000,13836000,-1.9884388,3.8015673,-2.5083318,-1.2529138,0.0034621372,1.2611538,2.5187087,-0.13228123,0.057875074,0.20399757,0.10451762,-0.103085965,-0.044252336,-0.13645509,0.01590208,0.20176083,0.16489597,0.20048538,0.20041251,0.19976923,0.19944541,0.1998875
14920000,14836000,-2.1941593,3.5319736,-2.4999197,-1.2577527,-0.001057517,1.2701061,2.5356503,-0.13546392,0.10492846,0.28119448,0.14722754,-0.11132257,-0.061856687,-0.16710964,0.029262535,0.25846946,0.20018227,0.20665962,0.20405382,0.19587252,0.19342089,0.19999318
15920000,15836000,2.7486267,3.4458275,-2.5083199,-1.2515372,0.018116217,1.2824532,2.530863,-0.42619625,-0.026590033,0.37835202,0.21955882,-0.27992767,-0.22631006,-0.51605344,-0.2236951,0.2537188,0.24520585,0.20330669,0.19537866,0.1938366,0.20076422,0.20671381
16920000,16836000,2.0715265,3.4530954,-2.5170252,-1.2425714,0.039683614,1.2938275,2.5235124,-0.4271271,-0.045602486,0.37532532,0.24202263,-0.2439559,-0.1472211,-0.46768272,-0.19479841,0.28130072,0.30641592,0.19713926,0.18424633,0.19261765,0.21153031,0.21446645
17920000,17836000,1.6052425,3.1841772,-2.5202434,-1.2243023,0.059535336,1.2929344,2.5086336,-0.47520438,-0.15501246,0.2652068,0.19539016,-0.24754688,-0.10687277,-0.45136794,-0.24246171,0.20904797,0.29183713,0.18329252,0.17389186,0.19927548,0.22732158,0.21621853
18920000,18836000,1.417526,2.9943826,-2.5177908,-1.2090926,0.07263562,1.2920039,2.5012956,-0.40138507,-0.12628897,0.22038202,0.15629812,-0.21060027,-0.060520783,-0.34737715,-0.163971,0.20731989,0.27504408,0.17321897,0.16840751,0.20577955,0.23785423,0.21473974
19920000,19836000,1.3591838,2.966267,-2.510812,-1.2024646,0.07616284,1.2940034,2.5054483,-0.20030293,0.028811177,0.22756696,0.12705342,-0.12638989,-0.068343855,-0.21402203,-0.037069775,0.19715425,0.18524401,0.171111,0.16869186,0.20831373,0.23914054,0.21274279
20920000,20836000,1.3985655,2.9887815,-2.5104854,-1.2052327,0.07422037,1.2956793,2.5085456,-0.10092692,0.08050562,0.21093899,0.11568491,-0.06987192,-0.060022708,-0.14634822,0.0015962948,0.16518064,0.13311926,0.17315224,0.16938685,0.20661826,0.23727474,0.21356787
21920000,21836000,1.6302471,2.8485463,-2.5355499,-1.2079563,0.09652193,1.3120339,2.496724,0.44369325,0.7005749,0.44147176,0.055286735,0.048889846,-0.3311093,0.016139578,0.35344812,0.21839847,-0.1874495,0.16773309,0.14986081,0.19603403,0.25421768,0.23215435
22920000,22840000,1.6998178,0.5288036,-2.8513772,-1.1229969,0.4483838,1.4441211,2.2540193,1.9108573,2.5722582,1.1908104,0.17592084,0.49069846,-1.0669608,0.47376248,1.3186507,0.4091751,-0.8061001,0.023713248,0.005160286,0.0732769,0.54508716,0.35276243
23920000,23840000,1.6636531,0.09680304,2.9039006,-0.92272353,1.0071583,1.5857869,1.8875538,1.9669058,3.318656,0.81994367,0.55980134,0.59837484,-1.5444174,1.0404457,1.3644409,0.18909778,-0.48731863,9.094122e-05,9.094122e-05,0.0027103568,0.73302203,0.26408574
24920000,24840000,1.6666254,0.079356715,2.853897,-0.91142917,1.0866479,1.6139212,1.8091356,1.2678026,1.5842769,0.71603334,0.8181249,0.7354176,-0.56388867,0.49397376,0.63117874,0.09430304,-0.103740305,9.437185e-05,9.437185e-05,0.0015302096,0.72407174,0.27420932
25920000,25840000,1.6566789,0.05770186,2.725997,-0.80925715,1.1343224,1.6201574,1.7400872,-0.38378698,-2.3852458,0.3905981,0.70020473,0.5718349,1.4568778,-0.9981898,-0.55361366,0.095269896,0.2536232,9.4363364e-05,9.4363364e-05,0.0018163448,0.6865176,0.31147736
26920000,26840000,1.6422478,0.037717022,2.501084,-0.6166007,1.2334454,1.6143982,1.7028979,-0.7339851,-3.4531603,0.1009534,0.3522244,0.23099786,1.7216122,-1.8438519,-0.6859139,0.08100362,0.23997699,8.214408e-05,8.214408e-05,0.0014444321,0.67760175,0.32078952
27920000,27840000,1.6411637,0.02895762,2.3714447,-0.50134486,1.2982762,1.6174258,1.6942014,-0.5284653,-1.7373164,-0.2792974,-0.20856678,-0.29757404,0.56079936,-1.2242005,-0.17269234,0.011075176,0.03584575,7.340823e-05,7.340823e-05,0.0011639424,0.6845628,0.3141264
28920000,28840000,1.6441735,0.028881144,2.3666725,-0.49350527,1.3049809,1.6204748,1.6997176,-0.1391201,0.39331847,-0.34129992,-0.32316723,-0.38345066,-0.50421286,0.21572164,0.21833545,-0.061344527,-0.14389688,7.463466e-05,7.463466e-05,0.0011422841,0.69497186,0.30373672
29920000,29840000,1.6320027,0.02498648,2.2727628,-0.3346431,1.3399894,1.612126,1.6822666,0.6168263,2.2824254,0.024908781,0.04058528,0.01488924,-1.2324485,1.600501,0.48185763,-0.10976338,-0.26979384,7.3483934e-05,7.3483934e-05,0.00094707595,0.7115307,0.28737524
