timestamp,load,ram_usage
8004000,0.14285715,0.23665695
8504000,0.13725491,0.236661
9004000,0.16,0.23668905
9504000,0.14,0.23668659
10004000,0.14,0.2366888
10504000,0.14,0.23669347
11004000,0.15686275,0.23668954
11504000,0.14,0.23667859
12004000,0.14,0.23667416
12504000,0.16,0.23667134
13004000,0.16,0.23667514
13504000,0.1632653,0.23665018
14004000,0.13461539,0.23663655
14504000,0.1632653,0.23664969
15004000,0.14,0.23662978
15504000,0.13725491,0.23663494
16004000,0.16,0.23663679
16504000,0.12,0.23663445
17004000,0.14,0.23663765
17504000,0.13725491,0.23663421
18004000,0.14285715,0.23664576
18504000,0.1764706,0.23662646
19004000,0.14285715,0.23663089
19504000,0.12244898,0.23662744
20004000,0.13461539,0.23662917
20504000,0.16,0.23661834
21004000,0.14,0.23662953
21504000,0.14285715,0.23662782
22004000,0.13725491,0.23663016
22504000,0.16,0.23663531
23004000,0.16,0.23663077
23504000,0.13725491,0.2366288
24004000,0.16,0.23663224
24504000,0.14285715,0.23662966
25004000,0.16,0.23662597
25504000,0.16,0.23663077
26004000,0.16,0.23664084
26504000,0.16,0.23663887
27004000,0.15686275,0.2366347
27504000,0.14285715,0.23662166
28004000,0.16,0.2366004
28504000,0.16,0.23659892
29004000,0.16,0.2365934
29504000,0.14,0.23659068
30004000,0.1764706,0.23659363
30504000,0.1632653,0.23660494
31004000,0.13725491,0.23660126
31504000,0.1632653,0.23659965
32004000,0.15686275,0.23659277
32504000,0.1632653,0.2365833
33004000,0.13725491,0.23658441
33504000,0.16,0.23658244
34004000,0.18,0.2366004
34504000,0.16,0.23658589
35004000,0.14,0.23658589
35504000,0.1764706,0.23658319
36004000,0.18,0.23657876
36504000,0.14285715,0.23657556
37004000,0.15686275,0.23653929
37504000,0.14,0.23653758
38004000,0.1632653,0.23654667
38504000,0.14,0.23654433
39004000,0.15686275,0.23653191
39504000,0.14,0.23653093
40004000,0.16,0.23652454
40504000,0.14,0.23652245
41004000,0.16,0.23651667
41504000,0.16,0.23651913
42004000,0.14583333,0.23651655
42504000,0.15384616,0.23652159
43004000,0.12,0.2365329
43504000,0.15686275,0.2365383
44004000,0.1632653,0.2365259
44504000,0.14285715,0.23652294
45004000,0.17307693,0.23653364
45504000,0.1632653,0.23653167
46004000,0.16,0.23651925
46504000,0.13725491,0.2365233
47004000,0.1632653,0.23652662
47504000,0.13461539,0.2365318
48004000,0.16,0.23652638
48504000,0.14,0.23653105
49004000,0.14583333,0.23652712
49504000,0.15686275,0.23652442
50004000,0.16,0.2365195
50504000,0.16,0.23652416
51004000,0.15686275,0.23651224
51504000,0.16,0.2365163
52004000,0.14285715,0.23651962
52504000,0.16,0.23652515
53004000,0.1764706,0.236527
53504000,0.14,0.23652454
54004000,0.16,0.23652072
54504000,0.16,0.23652564
55004000,0.14,0.23652098
55504000,0.16,0.23651458
56004000,0.1632653,0.23651409
56504000,0.13725491,0.23651887
57004000,0.16,0.23651384
57504000,0.18,0.23651826
58004000,0.14,0.23650672
58504000,0.1764706,0.23651089
59004000,0.14285715,0.2365077
59504000,0.16,0.23651236
60004000,0.15686275,0.23650831
60504000,0.15686275,0.23651482
61004000,0.1632653,0.23650843
61504000,0.16,0.23650585
62004000,0.1632653,0.23650892
62504000,0.15686275,0.23648176
63004000,0.1764706,0.23647831
63504000,0.14285715,0.2364761
64004000,0.1764706,0.23648642
64504000,0.1632653,0.23648298
65004000,0.14285715,0.23649429
65504000,0.15686275,0.23649196
66004000,0.16,0.23651002
66504000,0.1632653,0.23650733
67004000,0.15686275,0.23647204
67504000,0.13725491,0.23648372
68004000,0.1632653,0.23648003
68504000,0.15686275,0.2364772
69004000,0.14,0.23647302
69504000,0.16,0.23647031
70004000,0.1632653,0.2364729
70504000,0.14,0.23647068
71004000,0.13725491,0.23647228
71504000,0.16,0.23647782
72004000,0.1632653,0.23645802
72504000,0.15686275,0.23645568
73004000,0.13559322,0.23647314
73504000,0.16,0.23647942
74004000,0.15686275,0.23645963
74504000,0.16,0.23645593
75004000,0.14,0.23645027
75504000,0.15686275,0.23644818
76004000,0.14,0.23645876
76504000,0.16,0.23647216
77004000,0.15686275,0.23647474
77504000,0.1632653,0.23648064
78004000,0.15686275,0.23648225
78504000,0.1632653,0.23647265
79004000,0.14,0.23647536
79504000,0.14,0.23647277
80004000,0.1764706,0.23648408
80504000,0.15686275,0.23648876
81004000,0.1632653,0.23646761
81504000,0.14,0.23646466
82004000,0.16,0.23646823
82504000,0.16,0.23647375
83004000,0.16,0.23645273
83504000,0.16,0.23646553
84004000,0.14,0.23645347
84504000,0.16,0.236452
85004000,0.1632653,0.23645446
85504000,0.15686275,0.23646036
86004000,0.14,0.23647057
86504000,0.16,0.23646712
87004000,0.16,0.23646958
87504000,0.14,0.23647375
88004000,0.15686275,0.2364472
88504000,0.15686275,0.23644572
89004000,0.1632653,0.23647045
89504000,0.15686275,0.23646848
90004000,0.14583333,0.23643982
90504000,0.18,0.23643675
91004000,0.14,0.2364327
91504000,0.14,0.23642938
92004000,0.15686275,0.2364332
92504000,0.18367347,0.23643158
93004000,0.15686275,0.23642544
93504000,0.16,0.23642237
94004000,0.15686275,0.2364649
94504000,0.15686275,0.23646478
95004000,0.14285715,0.23645827
95504000,0.18367347,0.23645593
96004000,0.15384616,0.23645076
96504000,0.14583333,0.23646307
97004000,0.1764706,0.23645914
97504000,0.16,0.23646455
98004000,0.18,0.23646773
98504000,0.16,0.23646626
99004000,0.16,0.23646736
99504000,0.18,0.23648101
100004000,0.14,0.2364767
100504000,0.1764706,0.23717076
101004000,0.18367347,0.23716952
101504000,0.1764706,0.23717493
102004000,0.13725491,0.23716952
102504000,0.16,0.23716141
103004000,0.20408164,0.23715636
103504000,0.15686275,0.23715329
104004000,0.1632653,0.2371565
104504000,0.16,0.2365576
105004000,0.18,0.2365683
105504000,0.1764706,0.23657396
106004000,0.16,0.23659289
106504000,0.16,0.23658626
107004000,0.16,0.23659216
107504000,0.15384616,0.23659007
108004000,0.1632653,0.23660162
108504000,0.18,0.23653892
109004000,0.13725491,0.23653498
109504000,0.1875,0.23654003
110004000,0.15686275,0.23653536
110504000,0.15384616,0.23654753
111004000,0.14583333,0.2365506
111504000,0.16,0.2365324
112004000,0.13725491,0.23654348
112504000,0.16,0.23654851
113004000,0.15384616,0.2365442
113504000,0.16,0.23654999
114004000,0.16,0.23655233
114504000,0.18367347,0.23654974
115004000,0.14,0.23654433
115504000,0.16,0.23655011
116004000,0.14,0.23653695
116504000,0.15686275,0.2365495
117004000,0.1632653,0.23654556
117504000,0.14,0.23654397
118004000,0.15686275,0.2365431
118504000,0.15686275,0.23654003
119004000,0.14285715,0.23653203
119504000,0.1632653,0.23653695
120004000,0.14,0.23655502
120504000,0.15384616,0.23655207
121004000,0.18367347,0.2365629
121504000,0.16,0.23656118
122004000,0.16,0.23655564
122504000,0.16,0.23655207
123004000,0.16,0.23654875
123504000,0.16,0.23654617
124004000,0.13725491,0.23654802
124504000,0.1764706,0.23654568
125004000,0.1632653,0.23654102
125504000,0.14,0.23653929
126004000,0.16,0.23653327
126504000,0.1764706,0.23653744
127004000,0.14,0.23653388
127504000,0.14285715,0.2365463
128004000,0.1764706,0.23653486
