timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
25472000,25472000,1310988,1310988,-0.0003685816,-5.7524147e-05,-1.2783239e-05,-0.00060333894,-0.0005841846,-0.040366247,4000,4000,0,0,0
25972000,25972000,1310988,1310988,2.7696884e-05,-7.563379e-05,-1.704423e-05,-0.00047884037,0.0006751657,-0.040375818,4000,4000,0,0,0
26472000,26472000,1310988,1310988,0.0004261058,-0.00010120016,4.2615084e-06,-0.00066079973,0.001733403,-0.039949656,4000,4000,0,0,0
26972000,26972000,1310988,1310988,0.00068176934,-9.054694e-05,5.3255308e-06,-0.00059855054,0.0025139125,-0.039446875,4000,4000,0,0,0
27472000,27472000,1310988,1310988,0.0008021443,1.0655223e-06,3.7284397e-05,-0.00068953016,0.002456452,-0.039628834,4000,4000,0,0,0
27972000,27972000,1310988,1310988,0.0006817693,4.261046e-05,-3.1952409e-06,-0.000914585,0.0015801741,-0.0398874,4000,4000,0,0,0
28472000,28472000,1310988,1310988,0.00044847644,3.1957825e-05,1.1717608e-05,-0.0009576808,0.00045489907,-0.040136404,4000,4000,0,0,0
28972000,28972000,1310988,1310988,6.9242196e-05,2.237058e-05,-1.2783147e-05,-0.0009433156,-0.00082360476,-0.03995923,4000,4000,0,0,0
29472000,29472000,1310988,1310988,-0.00032916677,1.7044407e-05,9.587241e-06,-0.00090500835,-0.0019105725,-0.039949656,4000,4000,0,0,0
29972000,29972000,1310988,1310988,-0.0006572683,-2.1305297e-05,7.4571226e-06,-0.0008667011,-0.002686294,-0.039571367,4000,4000,0,0,0
30472000,30472000,1310988,1310988,-0.0008127969,-2.2371421e-05,4.260553e-06,-0.00072304904,-0.0026671404,-0.039509118,4000,4000,0,0,0
30972000,30972000,1310988,1310988,-0.00076486,-3.941506e-05,1.3848031e-05,-0.0006703766,-0.0021882998,-0.039451662,4000,4000,0,0,0
31472000,31472000,1310988,1310988,-0.0005379585,-5.645921e-05,5.326309e-06,-0.00051235914,-0.0010342945,-0.04024175,4000,4000,0,0,0
31972000,31972000,1310988,1310988,-0.00017896443,-5.3263335e-05,-1.7044194e-05,-0.00070389535,0.00032082375,-0.040332723,4000,4000,0,0,0
32472000,32472000,1310988,1310988,0.00018002976,-3.728407e-05,-1.91747e-05,-0.00062249246,0.001484406,-0.03989219,4000,4000,0,0,0
32972000,32972000,1310988,1310988,0.00054435025,-3.3023487e-05,-1.2783091e-05,-0.00076614454,0.0023894145,-0.03963841,4000,4000,0,0,0
33472000,33472000,1310988,1310988,0.0007605988,-4.3676315e-05,5.3264603e-06,-0.0008092403,0.0027485446,-0.039403778,4000,4000,0,0,0
33972000,33972000,1310988,1310988,0.00075953355,-1.5979167e-05,7.4559807e-06,-0.00073262583,0.002327165,-0.039542638,4000,4000,0,0,0
34472000,34472000,1310988,1310988,0.00058056915,2.450103e-05,2.1307642e-06,-0.00090021995,0.0012449856,-0.04004063,4000,4000,0,0,0
34972000,34972000,1310988,1310988,0.00029614358,1.4913703e-05,2.130854e-06,-0.0009097967,0.00016280642,-0.040031053,4000,4000,0,0,0
35472000,35472000,1310988,1310988,-0.00011398331,-2.1305023e-06,6.391536e-06,-0.0008523358,-0.0011683699,-0.04018428,4000,4000,0,0,0
35972000,35972000,1310988,1310988,-0.0004538027,-3.1960415e-06,1.5978565e-05,-0.0008714895,-0.0022601257,-0.03973896,4000,4000,0,0,0
36472000,36472000,1310988,1310988,-0.0007265104,-5.3263266e-06,2.1305676e-05,-0.0007852982,-0.0027006592,-0.039346315,4000,4000,0,0,0
36972000,36972000,1310988,1310988,-0.0008064052,-2.5565349e-05,1.8110144e-05,-0.0007948751,-0.002561795,-0.039240967,4000,4000,0,0,0
37472000,37472000,1310988,1310988,-0.00068496505,-4.9002585e-05,-1.4914218e-05,-0.000675165,-0.0017573435,-0.039810784,4000,4000,0,0,0
37972000,37972000,1310988,1310988,-0.00039201733,-5.1132836e-05,-5.3263416e-06,-0.0006512228,-0.00048362813,-0.040078934,4000,4000,0,0,0
38472000,38472000,1310988,1310988,-4.4741108e-05,-2.4501116e-05,-1.8109473e-05,-0.00072304904,0.0007757221,-0.039997537,4000,4000,0,0,0
38972000,38972000,1310988,1310988,0.00035153734,-1.8109435e-05,-2.5566329e-05,-0.00059855054,0.0021883012,-0.039710235,4000,4000,0,0,0
39472000,39472000,1310988,1310988,0.00066579034,-3.7284022e-05,-4.569303e-10,-0.00086191273,0.0028538893,-0.039494753,4000,4000,0,0,0
39972000,39972000,1310988,1310988,0.0007744473,-1.9174904e-05,6.391704e-06,-0.0007565678,0.0027485446,-0.039322373,4000,4000,0,0,0
40472000,40472000,1310988,1310988,0.00074888096,-8.522266e-06,1.49139605e-05,-0.0008667011,0.0020973217,-0.03936547,4000,4000,0,0,0
40972000,40972000,1310988,1310988,0.0005091964,-7.456944e-06,-3.1957456e-06,-0.0008810663,0.0007709337,-0.03992571,4000,4000,0,0,0
41472000,41472000,1310988,1310988,0.00014168018,2.1304413e-06,4.260958e-06,-0.0010199299,-0.00027772674,-0.040050216,4000,4000,0,0,0
41972000,41972000,1310988,1310988,-0.0002716425,-6.3917764e-06,-8.5222155e-06,-0.0008044519,-0.0015945378,-0.039748542,4000,4000,0,0,0
42472000,42472000,1310988,1310988,-0.0005933524,-1.2783174e-05,7.457224e-06,-0.00086191273,-0.002413355,-0.039360676,4000,4000,0,0,0
42972000,42972000,1310988,1310988,-0.00078083895,-1.4913869e-05,2.4501276e-05,-0.00072304904,-0.0025905254,-0.039054215,4000,4000,0,0,0
43472000,43472000,1310988,1310988,-0.0007744472,-1.917435e-05,8.52177e-06,-0.00069910695,-0.002116474,-0.039284065,4000,4000,0,0,0
43972000,43972000,1310988,1310988,-0.00055074174,-4.2610533e-05,2.1306037e-06,-0.00076614454,-0.0011683699,-0.03987304,4000,4000,0,0,0
44472000,44472000,1310988,1310988,-0.00024714138,-1.7044169e-05,3.1959032e-06,-0.0006799534,0.0002633629,-0.03992571,4000,4000,0,0,0
44972000,44972000,1310988,1310988,0.00012463596,-2.6631602e-05,-1.0652579e-05,-0.00073262583,0.0014460988,-0.039695866,4000,4000,0,0,0
45472000,45472000,1310988,1310988,0.0005155881,-4.261062e-05,6.39199e-06,-0.0006847418,0.0025282777,-0.03947081,4000,4000,0,0,0
45972000,45972000,1310988,1310988,0.0007446199,-1.9174893e-05,-6.391324e-06,-0.00090021995,0.002729391,-0.039178725,4000,4000,0,0,0
46472000,46472000,1310988,1310988,0.0008000138,-1.0652361e-05,-1.0654172e-06,-0.000746991,0.0025617965,-0.039082948,4000,4000,0,0,0
46972000,46972000,1310988,1310988,0.0006263756,7.4572376e-06,4.2607317e-06,-0.0008762779,0.0016089045,-0.03962404,4000,4000,0,0,0
47472000,47472000,1310988,1310988,0.00031212252,-1.4913677e-05,2.1303827e-06,-0.0008906431,0.0003782846,-0.040093306,4000,4000,0,0,0
47972000,47972000,1310988,1310988,-3.9414786e-05,-1.0652642e-05,-3.195796e-06,-0.00084754743,-0.0009864104,-0.039925706,4000,4000,0,0,0
48472000,48472000,1310988,1310988,-0.00043569322,-2.2370554e-05,8.522203e-06,-0.00071347214,-0.0019919751,-0.039576158,4000,4000,0,0,0
48972000,48972000,1310988,1310988,-0.00071053137,-3.1957964e-06,1.27831745e-05,-0.0007805098,-0.0025522183,-0.039331954,4000,4000,0,0,0
