timestamp,last_instance_change,instance_changed_count,accel_device_id,baro_device_id,gyro_device_id,mag_device_id,combined_test_ratio[0],combined_test_ratio[1],combined_test_ratio[2],combined_test_ratio[3],combined_test_ratio[4],combined_test_ratio[5],combined_test_ratio[6],combined_test_ratio[7],combined_test_ratio[8],relative_test_ratio[0],relative_test_ratio[1],relative_test_ratio[2],relative_test_ratio[3],relative_test_ratio[4],relative_test_ratio[5],relative_test_ratio[6],relative_test_ratio[7],relative_test_ratio[8],accumulated_gyro_error[0],accumulated_gyro_error[1],accumulated_gyro_error[2],accumulated_gyro_error[3],accumulated_accel_error[0],accumulated_accel_error[1],accumulated_accel_error[2],accumulated_accel_error[3],primary_instance,instances_available,healthy[0],healthy[1],healthy[2],healthy[3],healthy[4],healthy[5],healthy[6],healthy[7],healthy[8],gyro_fault_detected,accel_fault_detected
7952000,904000,1,1310988,6620172,1310988,197388,0.0055120955,0.0055501084,0.0055223233,nan,nan,nan,nan,nan,nan,0.0,0.065086216,0.01699635,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
8960000,904000,1,1310988,6620172,1310988,197388,0.002074612,0.0020293824,0.0020554445,nan,nan,nan,nan,nan,nan,0.0,0.1035732,0.04846076,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
9968000,904000,1,1310988,6620172,1310988,197388,0.006675493,0.006715313,0.0067017837,nan,nan,nan,nan,nan,nan,0.0,0.116024874,0.06327505,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
10976000,904000,1,1310988,6620172,1310988,197388,0.004738186,0.004779835,0.00482852,nan,nan,nan,nan,nan,nan,0.0,0.1240374,0.07279955,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
11984000,904000,1,1310988,6620172,1310988,197388,0.0069673057,0.007005714,0.006941927,nan,nan,nan,nan,nan,nan,0.0,0.12682682,0.079642355,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
12992000,904000,1,1310988,6620172,1310988,197388,0.002917125,0.0030617404,0.0030852125,nan,nan,nan,nan,nan,nan,0.0,0.14499839,0.096847735,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
14000000,904000,1,1310988,6620172,1310988,197388,0.010228258,0.009675916,0.009350064,nan,nan,nan,nan,nan,nan,0.0,0.14602327,0.097856246,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
15008000,904000,1,1310988,6620172,1310988,197388,0.011396627,0.010833698,0.009035571,nan,nan,nan,nan,nan,nan,0.0,0.14602327,0.097856246,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
16016000,904000,1,1310988,6620172,1310988,197388,0.015424641,0.015833002,0.0152516,nan,nan,nan,nan,nan,nan,0.0,0.17302002,0.097856246,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
17024000,904000,1,1310988,6620172,1310988,197388,0.02137645,0.02218098,0.020460203,nan,nan,nan,nan,nan,nan,0.0,0.25864553,0.097856246,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
18032000,904000,1,1310988,6620172,1310988,197388,0.009350719,0.010781596,0.009408711,nan,nan,nan,nan,nan,nan,0.0,0.32201472,0.14123563,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
19040000,904000,1,1310988,6620172,1310988,197388,0.015024024,0.015251449,0.015223965,nan,nan,nan,nan,nan,nan,0.0,0.38871992,0.1727229,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
20048000,904000,1,1310988,6620172,1310988,197388,0.0064676823,0.0070579005,0.007321936,nan,nan,nan,nan,nan,nan,0.0,0.44654486,0.22186814,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,nan,0.0,0.0,0.0,nan,0,3,1,1,1,0,0,0,0,0,0,0,0
