timestamp,u[0],u[1],u[2],ueq[0],ueq[1],ueq[2],k[0],k[1],k[2],r[0],r[1],r[2],ut[0],ut[1],ut[2],sigma[0],sigma[1],sigma[2],derr[0],derr[1],derr[2],delta[0],delta[1],delta[2],rho[0],rho[1],rho[2],att[0],att[1],att[2],att_sp[0],att_sp[1],att_sp[2],rate[0],rate[1],rate[2],rate_sp[0],rate_sp[1],rate_sp[2]
10268000,0.0,0.0,0.0,0.035909306,0.04053109,-8.2553684e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.0356605,0.040536486,-3.0942814e-05,-0.016940858,-0.019257238,1.4699675e-05,0.0008348209,0.00015767198,0.00014580466,-0.0024396628,-0.0069369525,0.03388177,1.0,1.0,401.0,-0.01702434,-0.019273005,1.6198646,0.0,-0.0,1.6198645,0.0008348209,0.00015767198,0.00014580466,0.0,0.0,0.0
10468000,0.0,0.0,0.0,0.035914008,0.040570777,4.813762e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.03590298,0.040529624,0.00018365352,-0.01705605,-0.01925398,-8.7246335e-05,-0.0011053364,-0.0007536155,-0.0009129945,-0.0022842884,-0.0070083886,0.033957273,1.0,1.0,401.0,-0.016945517,-0.01917862,1.6201609,0.0,-0.0,1.6201569,-0.0011053364,-0.0007536155,-0.0009129945,0.0,0.0,0.0
10664000,0.0,0.0,0.0,0.0356635,0.04037855,-0.00045087273,0.18399991,0.18399991,0.18399991,0.5,0.5,400.5,0.035889406,0.040280737,-0.00051341904,-0.017009197,-0.019090397,0.00024332658,-9.764847e-05,0.0003273161,0.0023629323,0.0021282881,-0.0028523803,0.037586585,1.0,1.0,401.0,-0.016999433,-0.01912313,1.6200398,0.0,-0.0,1.6200328,-9.764847e-05,0.0003273161,0.0023629323,0.0,0.0,0.0
10868000,0.0,0.0,0.0,0.035361882,0.040047385,3.8542425e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.03528642,0.040148783,1.6995915e-05,-0.016763145,-0.019073058,-8.074069e-06,0.0013523574,-0.00018713018,-3.067279e-05,-0.0017699897,-0.006383717,0.03394647,1.0,1.0,401.0,-0.01689838,-0.019054346,1.6197203,0.0,-0.0,1.6197253,0.0013523574,-0.00018713018,-3.067279e-05,0.0,0.0,0.0
11068000,0.0,0.0,0.0,0.035361305,0.03990165,4.021069e-05,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.035124205,0.039879177,-0.00013896252,-0.016686084,-0.018944979,6.6015455e-05,0.0015257188,-0.0010150233,0.00072214333,-0.0018782467,-0.006319925,0.03383863,1.0,1.0,401.0,-0.016838655,-0.018843476,1.6190537,0.0,-0.0,1.6190599,0.0015257188,-0.0010150233,0.00072214333,0.0,0.0,0.0
11268000,0.0,0.0,0.0,0.03507858,0.039524086,-0.00019250886,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.035162464,0.039618883,-0.00010423132,-0.01670426,-0.018821323,4.951607e-05,-0.0008250311,0.0010830187,0.0005261551,-0.0013765097,-0.0058595836,0.033746004,1.0,1.0,401.0,-0.016741563,-0.018605812,1.6190369,-0.00011980768,0.0003238139,1.61904,-0.0008250311,0.0010830187,0.0005261551,0.0,0.0,0.0
11468000,0.0,0.0,0.0,0.034914546,0.03872808,-0.00031013435,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.03522695,0.038271982,-0.00036208323,-0.016734894,-0.018181466,0.00017201104,-0.0007122527,0.0027226107,0.0016926923,-0.0010569394,-0.0054264963,0.033721626,1.0,1.0,401.0,-0.016663669,-0.018453727,1.6189449,0.0,-0.0,1.6189421,-0.0007122527,0.0027226107,0.0016926923,0.0,0.0,0.0
11668000,0.0,0.0,0.0,0.03291349,0.03823599,-0.00021079907,0.17999992,0.17999992,0.17999992,0.5,0.5,400.5,0.033014648,0.03803835,-0.00028430737,-0.01568392,-0.018070476,0.00013506289,0.0007269541,0.0019028289,0.0014376516,0.00082206726,-0.0047553927,0.033836484,1.0,1.0,401.0,-0.016591838,-0.01839364,1.6184591,-0.00083522376,-0.00013288093,1.6184678,0.0007269541,0.0019028289,0.0014376516,0.0,0.0,0.0
11864000,0.0,0.0,0.0,0.03444576,0.037796307,-9.600766e-05,0.18399991,0.18399991,0.18399991,0.5,0.5,400.5,0.034308292,0.037769187,-0.00031153453,-0.016259855,-0.017900089,0.0001476467,0.0020303528,0.0011889553,0.0013036135,0.0031136274,-0.00019645691,0.037951738,1.0,1.0,401.0,-0.01661997,-0.018326452,1.61841,-0.00015707857,-0.0003074665,1.6183927,0.0020303528,0.0011889553,0.0013036135,0.0,0.0,0.0
12068000,0.0,0.0,0.0,0.03434699,0.03809819,-0.00041305134,0.1879999,0.1879999,0.1879999,0.5,0.5,400.5,0.03433089,0.038001787,-0.00057844835,-0.016309213,-0.018053107,0.00027479735,0.001736417,0.0012395191,0.0027074423,-0.0007048547,-0.004548028,0.03369406,1.0,1.0,401.0,-0.016482854,-0.018177059,1.6182824,0.0,-0.0,1.6182784,0.001736417,0.0012395191,0.0027074423,0.0,0.0,0.0
