timestamp,timestamp_sample,position_drift_rate_horizontal_m_s,position_drift_rate_vertical_m_s,filtered_horizontal_speed_m_s,checks_passed,check_fail_gps_fix,check_fail_min_sat_count,check_fail_max_pdop,check_fail_max_horz_err,check_fail_max_vert_err,check_fail_max_spd_err,check_fail_max_horz_drift,check_fail_max_vert_drift,check_fail_max_horz_spd_err,check_fail_max_vert_spd_err
8908000,8790000,0.0003243813,5.8251375e-05,0.00069757295,1,0,0,0,0,0,0,0,0,0,0
10112000,9989978,0.0002866329,0.0007245174,0.0007678546,1,0,0,0,0,0,0,0,0,0,0
10912000,10789992,0.00052230794,0.00096581096,0.00071638613,1,0,0,0,0,0,0,0,0,0,0
11912000,11789998,0.0002397042,0.0011002631,0.00059404434,1,0,0,0,0,0,0,0,0,0,0
13112000,12990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
13912000,13790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15112000,14990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
15912000,15790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
17112000,16990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
17904000,17786000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
19112000,18990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
19912000,19790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21112000,20990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
21912000,21790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
23104000,22985987,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
23904000,23785996,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
25104000,24985999,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
25912000,25790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
27112000,26990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
27912000,27790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
29112000,28990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
29912000,29790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
31104000,30986000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
31912000,31790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33112000,32990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
33912000,33790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
35112000,34994000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
35904000,35786000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37112000,36990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
37912000,37790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39112000,38990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
39912000,39790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41112000,40990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
41912000,41790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43112000,42990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
43912000,43790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45112000,44990000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
45912000,45790000,nan,nan,nan,1,0,0,0,0,0,0,0,0,0,0
