timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
8988000,8988000,1310996,-0.1930501,0.14707977,-9.909512,11.832727,0,0,0,0,1
9988000,9988000,1310996,-0.16693525,0.15376838,-9.925946,11.832727,0,0,0,0,1
10988000,10988000,1310996,-0.16929567,0.19714127,-9.9382515,11.832727,0,0,0,0,1
11988000,11988000,1310996,-0.24821965,0.20278254,-9.946328,11.832727,0,0,0,0,1
12988000,12988000,1310996,-0.20711201,0.12278519,-9.889305,11.832727,0,0,0,0,1
13988000,13988000,1310996,-0.1343859,0.16179194,-10.459417,11.832453,0,0,0,0,1
14988000,14988000,1310996,-0.1212147,0.16014144,-10.3101,11.829523,0,0,0,0,1
15988000,15988000,1310996,-0.17877747,0.16515513,-10.117965,11.824091,0,0,0,0,1
16988000,16988000,1310996,-0.15888837,0.20211147,-10.073542,11.817377,0,0,0,0,1
17988000,17988000,1310996,-0.20584452,0.22228307,-10.00224,11.809656,0,0,0,0,1
18988000,18988000,1310996,-0.14596266,0.1739879,-9.925937,11.801416,0,0,0,0,1
19988000,19988000,1310996,-0.16977565,0.111197,-8.27238,11.793146,0,0,0,0,1
20988000,20988000,1310996,-0.1555673,0.16662234,-9.851766,11.791346,0,0,0,0,1
21988000,21988000,1310996,-0.18160184,-0.009892831,-10.0060425,11.790979,0,0,0,0,1
22988000,22988000,1310996,-0.14347877,-0.63030034,-10.33126,11.7902775,0,0,0,0,1
23988000,23988000,1310996,-0.16679455,-0.8436158,-9.49431,11.788507,0,0,0,0,1
24988000,24988000,1310996,-0.10359667,-0.46631965,-9.967301,11.788446,0,0,0,0,1
25988000,25988000,1310996,-0.095583744,0.25578856,-10.047475,11.788874,0,0,0,0,1
26988000,26988000,1310996,-0.16393037,0.6236654,-9.839444,11.78924,0,0,0,0,1
27988000,27988000,1310996,-0.24107759,0.39269033,-9.99331,11.789606,0,0,0,0,1
28988000,28988000,1310996,-0.23127241,-0.25574142,-10.0401745,11.790003,0,0,0,0,1
29988000,29988000,1310996,-0.20351446,-0.6613411,-9.893306,11.7902775,0,0,0,0,1
30988000,30988000,1310996,-0.18962969,-0.53712416,-9.847925,11.79043,0,0,0,0,1
31988000,31988000,1310996,-0.21870826,0.07258147,-10.076401,11.790644,0,0,0,0,1
32988000,32988000,1310996,-0.13775538,0.6161519,-9.946895,11.790796,0,0,0,0,1
33988000,33988000,1310996,-0.24196884,0.52124196,-9.899322,11.790918,0,0,0,0,1
34988000,34988000,1310996,-0.1959202,0.02042846,-10.001733,11.791132,0,0,0,0,1
35988000,35988000,1310996,-0.26013362,-0.5222471,-9.968152,11.791132,0,0,0,0,1
36988000,36988000,1310996,-0.13041988,-0.6686448,-9.849042,11.790857,0,0,0,0,1
37988000,37988000,1310996,-0.1288846,-0.11277279,-10.008353,11.790674,0,0,0,0,1
38988000,38988000,1310996,-0.19026497,0.5298792,-9.909263,11.790552,0,0,0,0,1
39988000,39988000,1310996,-0.16589242,0.67078286,-9.875756,11.790369,0,0,0,0,1
40988000,40988000,1310996,-0.21475118,0.20557359,-9.970857,11.7902775,0,0,0,0,1
41988000,41988000,1310996,-0.21501808,-0.43763793,-9.983583,11.790186,0,0,0,0,1
42988000,42988000,1310996,-0.13641429,-0.6613354,-9.801419,11.789972,0,0,0,0,1
43988000,43988000,1310996,-0.14436154,-0.24217057,-9.956367,11.789789,0,0,0,0,1
44988000,44988000,1310996,-0.24338433,0.35806343,-9.935732,11.789789,0,0,0,0,1
45988000,45988000,1310996,-0.19660008,0.68361634,-9.7816,11.789789,0,0,0,0,1
